GeneID,X50274,X50275,X50276,X50289,X50290,X50291,X50304,X50305,X50306,X50319,X50320,X50321,X50334,X50335,X50336,X50349,X50350,X50351
EQB47_RS05870,66,31,669,148,46,581,51,52,388,75,36,482,34,53,491,66,42,402
EQB47_RS05875,169,133,2179,373,157,1796,159,162,1154,228,172,1473,134,174,1668,198,169,1322
EQB47_RS05880,1572,982,82756,3292,1874,79226,1593,1294,70506,1684,1247,87096,1184,1113,100262,1639,1879,72299
EQB47_RS05885,1276,650,56126,2531,1119,54296,1275,819,46673,1329,798,62190,887,681,72667,1363,1265,50757
EQB47_RS05890,677,281,24557,1122,464,23770,642,331,21032,706,345,28948,438,264,30931,691,521,23906
EQB47_RS05895,551,214,19703,1014,350,18669,567,282,16605,559,276,22567,375,212,24781,776,397,18788
EQB47_RS05900,66,46,225,88,61,227,57,41,122,76,49,237,35,43,318,63,62,172
EQB47_RS00595,466,113,6729,2337,220,4584,485,200,3933,547,189,4845,424,178,7612,497,328,4270
EQB47_RS05905,72,68,368,145,100,476,100,66,247,109,82,383,79,68,567,93,116,321
EQB47_RS05910,13,9,67,28,20,85,16,9,56,17,7,76,4,19,109,7,10,78
EQB47_RS05915,8,23,85,34,27,121,11,15,81,25,28,85,10,29,145,10,25,87
EQB47_RS05920,5586,8788,10964,10940,12114,10270,6185,8462,6426,7652,9720,8438,4699,9628,11725,6002,11596,8617
EQB47_RS05925,522,2069,2279,1405,2851,2418,745,2047,1337,889,2417,2062,534,2434,2246,543,2978,2113
EQB47_RS05930,1335,4976,5926,3342,6478,6369,1772,4458,3140,2197,5614,5245,1389,5561,5670,1506,7119,4850
EQB47_RS05935,245,922,1109,666,1218,1257,334,782,580,416,1083,1019,268,928,1105,297,1334,937
EQB47_RS05940,475,1718,1974,997,2315,2094,594,1573,1191,786,1887,1863,503,1960,2250,504,2548,1805
EQB47_RS05945,598,1880,2198,1128,2375,2550,848,1715,1368,948,2208,2203,647,2024,2477,683,2919,2078
EQB47_RS05950,116,237,330,216,315,365,144,220,178,206,267,290,125,267,359,158,429,298
EQB47_RS00600,188,73,4141,1329,144,2908,203,135,2543,241,116,2966,153,152,4134,134,247,2773
EQB47_RS05955,861,1656,2336,1710,2273,2695,1217,1657,1428,1499,1898,2161,982,1750,2666,1081,2805,2056
EQB47_RS05960,3854,618,970,4280,602,692,5171,368,558,5927,566,482,3006,527,1018,5981,566,854
EQB47_RS05965,34,8,14,34,9,8,28,4,4,42,9,8,19,7,16,30,14,10
EQB47_RS05970,2117,1489,1781,2557,1774,1515,2300,1144,1217,3170,1418,1278,1630,1313,1780,2560,1310,1454
EQB47_RS05975,1100,1385,2026,1337,1986,1869,1232,1247,1011,1530,1468,1501,883,966,2027,1233,1584,1416
EQB47_RS05980,1015,1257,1815,1453,1816,1873,960,961,780,1327,1240,1538,802,799,1688,1040,1435,1187
EQB47_RS05985,116,279,468,240,484,481,151,291,269,184,355,381,119,261,471,157,457,349
EQB47_RS05990,1716,2655,7004,3947,2955,3755,1904,2223,3726,2217,2649,3269,1595,2541,5638,2140,2798,3937
EQB47_RS05995,3691,4908,5390,3978,6566,5005,3855,4855,3211,5629,5585,4403,3286,5059,5054,4049,6067,4257
EQB47_RS06000,13991,18221,21045,16398,25166,20577,15313,18345,12339,21212,20198,17653,12220,17684,19776,16272,25095,16559
EQB47_RS00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQB47_RS00605,200,38,123,216,58,98,176,51,70,249,52,92,165,25,130,243,49,101
EQB47_RS06005,11428,38113,40030,12173,62399,42381,11757,40273,24962,19040,43335,30087,9142,33252,37526,14471,52521,29430
EQB47_RS06010,3913,734,1167,2746,1308,1149,3565,725,563,4760,934,865,3323,700,798,3849,1013,669
EQB47_RS06015,1109,293,500,1106,519,420,1013,302,245,1334,324,344,743,235,437,1193,363,272
EQB47_RS06020,925,318,486,1096,527,409,857,292,213,1196,327,407,531,240,372,872,400,251
EQB47_RS06025,2703,9456,8546,4331,10174,8442,2763,7178,4540,4027,8492,7351,2063,7987,7354,3137,8625,6796
EQB47_RS06030,4169,17354,17458,7698,21449,18116,4620,14027,8816,7236,17250,15840,3595,15047,15971,5311,17506,13038
