,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_0133,18,18,23,21,23,,,,,,,,,,,,,,,,,,,,,
SMD_0134,5,7,8,7,5,,,,,,,,,,,,,,,,,,,,,
SMD_0135,34,34,32,46,33,,,,,,,,,,,,,,,,,,,,,
SMD_0136,76,99,87,130,118,,,,,,,,,,,,,,,,,,,,,
SMD_0137,502,651,511,591,561,,,,,,,,,,,,,,,,,,,,,
SMD_0138,18,20,15,16,16,,,,,,,,,,,,,,,,,,,,,
SMD_0139,12,11,9,11,12,,,,,,,,,,,,,,,,,,,,,
SMD_0140,62,83,60,58,53,,,,,,,,,,,,,,,,,,,,,
SMD_0142,8,2,8,9,8,,,,,,,,,,,,,,,,,,,,,
SMD_0143,11,5,11,10,9,,,,,,,,,,,,,,,,,,,,,
SMD_0144,12,12,10,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_0145,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_0146,13,14,15,15,11,,,,,,,,,,,,,,,,,,,,,
SMD_0147,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_0148,3,4,5,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_0149,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_0150,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,
SMD_0152,76,102,48,56,63,,,,,,,,,,,,,,,,,,,,,
SMD_0153,371,577,282,324,454,,,,,,,,,,,,,,,,,,,,,
SMD_0154,28,33,26,28,34,,,,,,,,,,,,,,,,,,,,,
SMD_0155,16,16,12,14,19,,,,,,,,,,,,,,,,,,,,,
SMD_0156,154,153,122,107,103,,,,,,,,,,,,,,,,,,,,,
SMD_0157,33,32,27,27,28,,,,,,,,,,,,,,,,,,,,,
SMD_0158,5,5,4,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_0159,11,9,14,14,12,,,,,,,,,,,,,,,,,,,,,
SMD_0160,19,17,22,24,26,,,,,,,,,,,,,,,,,,,,,
SMD_0161,90,112,65,91,122,,,,,,,,,,,,,,,,,,,,,
SMD_0162,25,17,17,15,16,,,,,,,,,,,,,,,,,,,,,
SMD_0163,52,31,27,30,36,,,,,,,,,,,,,,,,,,,,,
SMD_0164,25,33,26,21,26,,,,,,,,,,,,,,,,,,,,,
SMD_0165,29,39,26,26,37,,,,,,,,,,,,,,,,,,,,,
SMD_0166,41,44,40,36,43,,,,,,,,,,,,,,,,,,,,,
SMD_0167,12,13,10,10,11,,,,,,,,,,,,,,,,,,,,,
SMD_0168,49,35,32,38,52,,,,,,,,,,,,,,,,,,,,,
SMD_0169,116,130,87,96,115,,,,,,,,,,,,,,,,,,,,,
SMD_0170,54,55,53,53,64,,,,,,,,,,,,,,,,,,,,,
SMD_0171,72,70,80,77,70,,,,,,,,,,,,,,,,,,,,,
SMD_0172,5,2,2,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_0173,63,71,54,61,74,,,,,,,,,,,,,,,,,,,,,
