,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_2087,101,90,142,113,81,,,,,,,,,,,,,,,,,,,,,
SMD_2088,92,77,122,96,66,,,,,,,,,,,,,,,,,,,,,
SMD_2089,26,29,30,36,37,,,,,,,,,,,,,,,,,,,,,
SMD_2090,33,22,32,34,25,,,,,,,,,,,,,,,,,,,,,
SMD_2091,123,94,107,152,175,,,,,,,,,,,,,,,,,,,,,
SMD_2092,57,48,58,81,86,,,,,,,,,,,,,,,,,,,,,
SMD_2093,80,86,83,85,79,,,,,,,,,,,,,,,,,,,,,
SMD_2094,50,56,56,48,50,,,,,,,,,,,,,,,,,,,,,
SMD_2095,28,22,24,25,27,,,,,,,,,,,,,,,,,,,,,
SMD_2096,10,12,12,16,16,,,,,,,,,,,,,,,,,,,,,
SMD_2097,17,18,17,18,14,,,,,,,,,,,,,,,,,,,,,
SMD_2098,28,17,34,35,39,,,,,,,,,,,,,,,,,,,,,
SMD_2099,81,77,87,96,87,,,,,,,,,,,,,,,,,,,,,
SMD_2100,141,116,131,127,141,,,,,,,,,,,,,,,,,,,,,
SMD_2101,141,128,146,140,133,,,,,,,,,,,,,,,,,,,,,
SMD_2102,142,114,143,156,177,,,,,,,,,,,,,,,,,,,,,
SMD_2103,452,475,512,418,400,,,,,,,,,,,,,,,,,,,,,
SMD_2104,314,324,352,296,287,,,,,,,,,,,,,,,,,,,,,
SMD_2105,6,6,5,5,8,,,,,,,,,,,,,,,,,,,,,
SMD_2106,90,132,74,92,118,,,,,,,,,,,,,,,,,,,,,
SMD_2107,42,26,48,44,19,,,,,,,,,,,,,,,,,,,,,
SMD_2108,1071,902,1252,988,596,,,,,,,,,,,,,,,,,,,,,
SMD_2109,18,17,17,20,22,,,,,,,,,,,,,,,,,,,,,
SMD_2110,66,66,54,55,56,,,,,,,,,,,,,,,,,,,,,
SMD_2111,7,9,8,7,7,,,,,,,,,,,,,,,,,,,,,
SMD_2112,234,238,248,245,247,,,,,,,,,,,,,,,,,,,,,
SMD_2113,125,133,131,118,128,,,,,,,,,,,,,,,,,,,,,
SMD_2114,138,132,141,138,133,,,,,,,,,,,,,,,,,,,,,
SMD_2115,206,237,238,206,200,,,,,,,,,,,,,,,,,,,,,
SMD_2116,153,160,159,146,156,,,,,,,,,,,,,,,,,,,,,
SMD_2117,59,50,72,71,43,,,,,,,,,,,,,,,,,,,,,
SMD_2118,71,66,90,79,69,,,,,,,,,,,,,,,,,,,,,
SMD_2119,12,8,20,24,14,,,,,,,,,,,,,,,,,,,,,
SMD_2120,10,8,11,14,8,,,,,,,,,,,,,,,,,,,,,
SMD_2121,7,8,7,9,6,,,,,,,,,,,,,,,,,,,,,
SMD_2122,3,2,2,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_2123,6,4,4,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_2124,23,18,18,17,16,,,,,,,,,,,,,,,,,,,,,
SMD_2125,15,14,13,15,14,,,,,,,,,,,,,,,,,,,,,
SMD_2126,30,28,42,39,37,,,,,,,,,,,,,,,,,,,,,
SMD_2127,135,162,156,141,130,,,,,,,,,,,,,,,,,,,,,
SMD_2129,54,92,53,65,74,,,,,,,,,,,,,,,,,,,,,
SMD_2130,100,100,100,84,100,,,,,,,,,,,,,,,,,,,,,
SMD_2131,9,9,10,9,9,,,,,,,,,,,,,,,,,,,,,
SMD_2132,9,6,9,6,7,,,,,,,,,,,,,,,,,,,,,
SMD_2133,7,6,7,6,6,,,,,,,,,,,,,,,,,,,,,
SMD_2134,28,24,35,24,24,,,,,,,,,,,,,,,,,,,,,
SMD_2135,65,73,71,69,59,,,,,,,,,,,,,,,,,,,,,
SMD_2136,47,36,41,43,41,,,,,,,,,,,,,,,,,,,,,
SMD_2137,97,94,101,83,82,,,,,,,,,,,,,,,,,,,,,
SMD_2138,167,188,179,152,140,,,,,,,,,,,,,,,,,,,,,
SMD_2139,173,180,189,169,150,,,,,,,,,,,,,,,,,,,,,
SMD_2140,125,113,134,129,112,,,,,,,,,,,,,,,,,,,,,
SMD_2141,106,103,110,107,90,,,,,,,,,,,,,,,,,,,,,
SMD_2142,129,134,136,133,136,,,,,,,,,,,,,,,,,,,,,
SMD_2143,75,75,81,85,89,,,,,,,,,,,,,,,,,,,,,
SMD_2144,98,138,92,85,99,,,,,,,,,,,,,,,,,,,,,
SMD_2145,73,93,66,66,76,,,,,,,,,,,,,,,,,,,,,
SMD_2146,50,54,47,45,49,,,,,,,,,,,,,,,,,,,,,
SMD_2147,32,31,27,24,23,,,,,,,,,,,,,,,,,,,,,
SMD_2149,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_2150,17,21,22,23,22,,,,,,,,,,,,,,,,,,,,,
SMD_2151,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_2152,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2153,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2154,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2155,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2156,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2157,1,0,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2158,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2159,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2160,7,8,6,9,8,,,,,,,,,,,,,,,,,,,,,
SMD_2161,4,5,6,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2162,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2163,32,29,32,31,30,,,,,,,,,,,,,,,,,,,,,
SMD_2164,52,44,45,34,36,,,,,,,,,,,,,,,,,,,,,
SMD_2165,45,40,38,36,40,,,,,,,,,,,,,,,,,,,,,
SMD_2166,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_2167,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2168,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2169,12,14,9,9,9,,,,,,,,,,,,,,,,,,,,,
SMD_2170,31,38,25,25,21,,,,,,,,,,,,,,,,,,,,,
SMD_2171,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2172,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2173,7,12,7,10,9,,,,,,,,,,,,,,,,,,,,,
SMD_2174,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2175,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2176,4,3,5,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2177,104,126,76,80,92,,,,,,,,,,,,,,,,,,,,,
SMD_2178,69,59,58,59,74,,,,,,,,,,,,,,,,,,,,,
SMD_2179,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2180,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2181,1,1,1,2,0,,,,,,,,,,,,,,,,,,,,,
SMD_2182,3,2,3,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_2183,7,8,8,9,9,,,,,,,,,,,,,,,,,,,,,
SMD_2184,6,5,5,6,8,,,,,,,,,,,,,,,,,,,,,
SMD_2185,11,10,10,15,11,,,,,,,,,,,,,,,,,,,,,
SMD_2186,15,17,15,17,14,,,,,,,,,,,,,,,,,,,,,
SMD_2187,31,37,28,30,26,,,,,,,,,,,,,,,,,,,,,
SMD_2188,18,21,20,20,15,,,,,,,,,,,,,,,,,,,,,
SMD_2189,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2190,59,55,56,46,45,,,,,,,,,,,,,,,,,,,,,
SMD_2191,8,13,6,8,10,,,,,,,,,,,,,,,,,,,,,
SMD_2192,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2193,14,15,16,17,15,,,,,,,,,,,,,,,,,,,,,
SMD_2194,7,7,8,4,8,,,,,,,,,,,,,,,,,,,,,
SMD_2195,3,4,3,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_2196,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2197,1,2,0,0,3,,,,,,,,,,,,,,,,,,,,,
SMD_2198,9,11,9,10,16,,,,,,,,,,,,,,,,,,,,,
SMD_2199,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2200,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2201,6,5,4,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_2202,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2203,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2204,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2205,3,5,2,3,6,,,,,,,,,,,,,,,,,,,,,
SMD_2206,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2207,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2208,3,2,3,4,5,,,,,,,,,,,,,,,,,,,,,
SMD_2209,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2210,0,3,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2211,6,5,5,7,5,,,,,,,,,,,,,,,,,,,,,
SMD_2212,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2213,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2214,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2215,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2216,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2217,3,3,2,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_2218,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2219,1,2,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2220,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2221,94,75,58,42,40,,,,,,,,,,,,,,,,,,,,,
SMD_2222,69,77,50,46,43,,,,,,,,,,,,,,,,,,,,,
SMD_2223,235,221,163,148,131,,,,,,,,,,,,,,,,,,,,,
SMD_2224,449,369,310,294,332,,,,,,,,,,,,,,,,,,,,,
SMD_2225,155,90,96,102,86,,,,,,,,,,,,,,,,,,,,,
SMD_2226,170,91,117,108,90,,,,,,,,,,,,,,,,,,,,,
SMD_2227,151,101,125,92,62,,,,,,,,,,,,,,,,,,,,,
SMD_2228,195,133,166,114,77,,,,,,,,,,,,,,,,,,,,,
SMD_2229,7,6,7,6,5,,,,,,,,,,,,,,,,,,,,,
SMD_2230,15,12,14,13,12,,,,,,,,,,,,,,,,,,,,,
SMD_2231,4,2,3,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2232,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_2233,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_2234,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2235,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_2236,23,26,23,22,26,,,,,,,,,,,,,,,,,,,,,
SMD_2237,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_2238,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,
SMD_2239,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2240,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2241,6,6,6,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_2242,6,6,7,6,7,,,,,,,,,,,,,,,,,,,,,
SMD_2243,12,11,13,11,11,,,,,,,,,,,,,,,,,,,,,
SMD_2244,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2245,5,5,2,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_2246,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2247,14,13,14,16,16,,,,,,,,,,,,,,,,,,,,,
SMD_2248,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2249,7,5,7,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2250,5,7,7,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_2251,8,10,9,7,8,,,,,,,,,,,,,,,,,,,,,
SMD_2252,5,6,5,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2253,70,76,64,56,64,,,,,,,,,,,,,,,,,,,,,
SMD_2254,27,35,22,20,25,,,,,,,,,,,,,,,,,,,,,
SMD_2255,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2256,5,6,3,4,6,,,,,,,,,,,,,,,,,,,,,
SMD_2257,20,23,13,12,17,,,,,,,,,,,,,,,,,,,,,
SMD_2258,28,41,20,18,25,,,,,,,,,,,,,,,,,,,,,
SMD_2259,5,5,1,2,4,,,,,,,,,,,,,,,,,,,,,
SMD_2260,9,12,4,4,7,,,,,,,,,,,,,,,,,,,,,
SMD_2261,7,10,5,4,6,,,,,,,,,,,,,,,,,,,,,
SMD_2262,13,14,12,13,17,,,,,,,,,,,,,,,,,,,,,
SMD_2263,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2264,2,2,2,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2265,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2266,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2267,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2268,10,9,12,9,8,,,,,,,,,,,,,,,,,,,,,
SMD_2269,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2270,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_2271,73,73,72,67,68,,,,,,,,,,,,,,,,,,,,,
SMD_2272,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,
SMD_2273,6,7,7,6,9,,,,,,,,,,,,,,,,,,,,,
SMD_2274,14,10,8,9,11,,,,,,,,,,,,,,,,,,,,,
SMD_2275,11,13,8,10,13,,,,,,,,,,,,,,,,,,,,,
SMD_2276,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2277,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2278,2,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2279,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2280,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2281,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2282,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2283,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2284,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2285,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2286,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2287,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2288,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2289,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2290,2,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2291,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2292,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2293,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2294,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2295,2,4,3,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2296,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2297,13,7,8,4,6,,,,,,,,,,,,,,,,,,,,,
SMD_2298,112,143,97,98,121,,,,,,,,,,,,,,,,,,,,,
SMD_2299,91,103,71,75,78,,,,,,,,,,,,,,,,,,,,,
SMD_2300,107,106,83,83,78,,,,,,,,,,,,,,,,,,,,,
SMD_2301,12,12,14,12,11,,,,,,,,,,,,,,,,,,,,,
SMD_2302,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2303,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2304,7,6,6,7,5,,,,,,,,,,,,,,,,,,,,,
SMD_2305,4,6,5,4,6,,,,,,,,,,,,,,,,,,,,,
SMD_2306,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2307,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2308,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2309,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2310,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2311,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2312,17,11,18,17,14,,,,,,,,,,,,,,,,,,,,,
SMD_2313,38,20,36,35,30,,,,,,,,,,,,,,,,,,,,,
SMD_2314,51,32,56,57,48,,,,,,,,,,,,,,,,,,,,,
SMD_2315,93,49,104,102,86,,,,,,,,,,,,,,,,,,,,,
SMD_2316,80,67,93,90,73,,,,,,,,,,,,,,,,,,,,,
SMD_2317,62,36,62,64,45,,,,,,,,,,,,,,,,,,,,,
SMD_2318,61,62,57,58,70,,,,,,,,,,,,,,,,,,,,,
SMD_2319,38,39,31,31,44,,,,,,,,,,,,,,,,,,,,,
SMD_2320,4,5,4,5,3,,,,,,,,,,,,,,,,,,,,,
SMD_2321,19,11,20,16,12,,,,,,,,,,,,,,,,,,,,,
SMD_2322,35,34,29,34,43,,,,,,,,,,,,,,,,,,,,,
SMD_2323,20,19,19,17,21,,,,,,,,,,,,,,,,,,,,,
SMD_2324,31,26,27,27,29,,,,,,,,,,,,,,,,,,,,,
SMD_2325,8,9,11,7,9,,,,,,,,,,,,,,,,,,,,,
SMD_2326,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2327,7,7,10,7,8,,,,,,,,,,,,,,,,,,,,,
SMD_2328,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2329,11,14,12,8,12,,,,,,,,,,,,,,,,,,,,,
SMD_2330,21,9,18,23,19,,,,,,,,,,,,,,,,,,,,,
SMD_2331,14,10,21,19,14,,,,,,,,,,,,,,,,,,,,,
SMD_2332,9,7,15,11,9,,,,,,,,,,,,,,,,,,,,,
SMD_2333,20,18,22,21,18,,,,,,,,,,,,,,,,,,,,,
SMD_2334,25,24,23,23,24,,,,,,,,,,,,,,,,,,,,,
SMD_2335,12,8,9,10,11,,,,,,,,,,,,,,,,,,,,,
SMD_2336,7,9,9,8,9,,,,,,,,,,,,,,,,,,,,,
SMD_2337,3,5,3,4,3,,,,,,,,,,,,,,,,,,,,,
SMD_2338,56,64,63,56,60,,,,,,,,,,,,,,,,,,,,,
SMD_2339,34,33,36,36,41,,,,,,,,,,,,,,,,,,,,,
SMD_2340,38,31,40,37,37,,,,,,,,,,,,,,,,,,,,,
SMD_2341,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2342,5,6,4,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2343,12,12,12,13,15,,,,,,,,,,,,,,,,,,,,,
SMD_2344,8,6,9,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2345,34,18,30,31,37,,,,,,,,,,,,,,,,,,,,,
SMD_2346,18,23,15,17,20,,,,,,,,,,,,,,,,,,,,,
SMD_2347,18,17,13,16,25,,,,,,,,,,,,,,,,,,,,,
SMD_2348,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2349,7,8,6,6,9,,,,,,,,,,,,,,,,,,,,,
SMD_2350,68,52,76,87,95,,,,,,,,,,,,,,,,,,,,,
SMD_2351,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_2352,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_2353,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2354,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2355,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2356,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2357,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_2358,0,1,2,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2359,16,20,13,14,17,,,,,,,,,,,,,,,,,,,,,
SMD_2360,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2361,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2362,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2363,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2364,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2365,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2366,5,6,7,6,8,,,,,,,,,,,,,,,,,,,,,
SMD_2367,7,6,5,5,7,,,,,,,,,,,,,,,,,,,,,
SMD_2368,6,6,5,7,6,,,,,,,,,,,,,,,,,,,,,
SMD_2369,5,6,7,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2370,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2371,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2372,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2373,10,11,10,11,10,,,,,,,,,,,,,,,,,,,,,
SMD_2374,7,5,6,7,9,,,,,,,,,,,,,,,,,,,,,
SMD_2375,103,134,68,63,102,,,,,,,,,,,,,,,,,,,,,
SMD_2376,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2377,3,3,2,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_2378,4,5,4,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_2379,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2380,50,48,41,35,32,,,,,,,,,,,,,,,,,,,,,
SMD_2381,21,21,18,22,26,,,,,,,,,,,,,,,,,,,,,
SMD_2382,49,61,49,54,49,,,,,,,,,,,,,,,,,,,,,
SMD_2383,3,3,3,5,4,,,,,,,,,,,,,,,,,,,,,
SMD_2384,6,8,6,10,10,,,,,,,,,,,,,,,,,,,,,
SMD_2386,3,2,3,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2387,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,
SMD_2388,4,3,5,5,6,,,,,,,,,,,,,,,,,,,,,
SMD_2389,20,19,19,21,14,,,,,,,,,,,,,,,,,,,,,
SMD_2390,18,21,15,17,21,,,,,,,,,,,,,,,,,,,,,
SMD_2391,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2392,4,5,4,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_2393,11,11,8,8,13,,,,,,,,,,,,,,,,,,,,,
SMD_2394,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2395,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2396,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2397,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2398,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2399,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2400,5,7,6,8,6,,,,,,,,,,,,,,,,,,,,,
SMD_2401,3,4,3,3,5,,,,,,,,,,,,,,,,,,,,,
SMD_2402,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2403,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2404,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2405,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2406,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2407,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2408,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2409,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2410,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2411,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2412,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2413,0,2,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2414,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2415,1,2,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2416,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_2417,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2418,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2419,16,20,15,21,16,,,,,,,,,,,,,,,,,,,,,
SMD_2420,12,9,15,13,11,,,,,,,,,,,,,,,,,,,,,
SMD_2421,13,6,11,15,12,,,,,,,,,,,,,,,,,,,,,
SMD_2422,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_2423,2,2,2,4,4,,,,,,,,,,,,,,,,,,,,,
SMD_2424,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2425,2,1,1,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_2426,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2427,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,
SMD_2428,1,1,1,3,2,,,,,,,,,,,,,,,,,,,,,
SMD_2429,3,5,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2430,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2431,28,28,24,25,20,,,,,,,,,,,,,,,,,,,,,
SMD_2432,52,49,46,41,43,,,,,,,,,,,,,,,,,,,,,
SMD_2433,46,46,45,42,54,,,,,,,,,,,,,,,,,,,,,
SMD_2434,118,116,118,104,110,,,,,,,,,,,,,,,,,,,,,
SMD_2435,67,64,80,72,60,,,,,,,,,,,,,,,,,,,,,
SMD_2436,30,28,31,35,28,,,,,,,,,,,,,,,,,,,,,
SMD_2437,36,36,31,33,37,,,,,,,,,,,,,,,,,,,,,
SMD_2438,21,19,20,20,16,,,,,,,,,,,,,,,,,,,,,
SMD_2439,25,19,18,21,24,,,,,,,,,,,,,,,,,,,,,
SMD_2440,28,25,16,21,30,,,,,,,,,,,,,,,,,,,,,
SMD_2441,37,39,26,29,38,,,,,,,,,,,,,,,,,,,,,
SMD_2442,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2443,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SMD_2444,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,
SMD_2445,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
SMD_2446,7,8,8,6,11,,,,,,,,,,,,,,,,,,,,,
SMD_2447,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
SMD_2448,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2449,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_2450,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_2451,7,9,7,8,11,,,,,,,,,,,,,,,,,,,,,
SMD_2452,9,12,10,11,10,,,,,,,,,,,,,,,,,,,,,
SMD_2453,27,31,23,27,21,,,,,,,,,,,,,,,,,,,,,
SMD_2454,31,31,31,30,30,,,,,,,,,,,,,,,,,,,,,
SMD_2455,10,11,11,11,11,,,,,,,,,,,,,,,,,,,,,
