,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1269,38,33,97,42,85,113,92
fig|6666666.230262.peg.127,20,22,29,15,22,52,31
fig|6666666.230262.peg.1270,36,29,35,21,40,82,64
fig|6666666.230262.peg.1271,204,133,317,180,328,463,391
fig|6666666.230262.peg.1272,100,78,115,78,128,172,160
fig|6666666.230262.peg.1273,22,18,17,18,32,42,29
fig|6666666.230262.peg.1274,59,34,38,33,45,59,56
fig|6666666.230262.peg.1275,272,228,137,108,134,196,165
fig|6666666.230262.peg.1276,9,9,17,5,18,25,20
fig|6666666.230262.peg.1277,381,264,472,350,582,729,558
fig|6666666.230262.peg.1278,124,86,204,109,210,310,301
fig|6666666.230262.peg.1279,117,61,172,78,199,310,194
fig|6666666.230262.peg.128,40,35,38,29,41,92,55
fig|6666666.230262.peg.1280,69,53,76,39,95,134,82
fig|6666666.230262.peg.1281,55,45,113,53,129,188,124
fig|6666666.230262.peg.1282,32,20,34,31,64,79,59
fig|6666666.230262.peg.1283,311,219,184,143,227,377,248
fig|6666666.230262.peg.1284,574,392,787,439,811,1180,949
fig|6666666.230262.peg.1285,634,430,1519,981,1941,2666,2087
fig|6666666.230262.peg.1286,318,196,409,229,399,620,462
fig|6666666.230262.peg.1287,110,78,147,84,197,239,175
fig|6666666.230262.peg.1288,453,307,446,271,534,841,670
fig|6666666.230262.peg.1289,8,12,24,12,16,17,22
fig|6666666.230262.peg.129,142,90,179,110,201,302,240
fig|6666666.230262.peg.1290,87,72,154,104,127,222,166
fig|6666666.230262.peg.1291,57,32,84,41,86,143,106
fig|6666666.230262.peg.1292,157,86,142,117,196,327,252
fig|6666666.230262.peg.1293,127,97,160,116,188,293,199
fig|6666666.230262.peg.1294,5,5,15,10,16,27,22
fig|6666666.230262.peg.1295,36,24,79,39,80,113,69
fig|6666666.230262.peg.1296,36,19,65,41,98,105,67
fig|6666666.230262.peg.1297,46,35,104,58,126,169,110
