,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS02375,1118,1121,963,1066,1564,1437,1016,542,2177,1828,1048,1007
SMLT_RS02380,2106,1972,1045,1521,3579,2989,2405,1205,2426,2101,1069,989
SMLT_RS02385,553,608,222,242,609,544,123,72,811,703,222,245
SMLT_RS02415,464,762,565,455,624,288,15,14,91,102,18,27
SMLT_RS22975,77,129,61,76,138,64,21,3,56,60,26,23
SMLT_RS02420,128,133,68,67,153,101,117,65,303,282,121,146
SMLT_RS02425,100,129,87,89,101,80,37,18,163,174,99,89
SMLT_RS02435,674,688,657,800,490,499,192,137,966,886,835,641
SMLT_RS02470,89,120,65,93,408,327,367,213,243,234,105,76
SMLT_RS02475,33,33,23,20,22,6,6,4,22,32,14,10
SMLT_RS02480,256,247,119,154,334,278,91,75,692,675,161,264
SMLT_RS02485,174,198,71,87,59,73,49,24,442,406,137,142
SMLT_RS02490,148,169,104,97,150,88,53,33,230,199,96,120
SMLT_RS02500,17,11,4,9,14,11,6,0,75,47,13,24
SMLT_RS02505,854,839,183,247,998,932,199,120,1385,1302,299,315
SMLT_RS02510,782,813,222,252,779,747,203,115,327,283,232,226
SMLT_RS02515,347,349,75,120,358,267,58,23,250,240,97,95
SMLT_RS02530,1278,1282,209,283,518,447,119,48,656,479,141,130
SMLT_RS02535,44,34,10,9,32,31,7,9,63,42,11,19
SMLT_RS02540,251,253,56,64,397,286,34,29,122,117,37,37
SMLT_RS02550,185,214,72,92,251,174,36,33,176,123,39,34
SMLT_RS02555,570,493,168,203,878,776,239,139,628,664,247,237
SMLT_RS02565,30,47,81,120,167,197,313,635,277,281,763,650
SMLT_RS02570,37,55,56,81,157,171,197,545,304,236,585,515
SMLT_RS02580,4110,4978,1716,2366,4716,4012,2103,1636,6935,4445,3685,4188
SMLT_RS02595,250,233,115,161,168,149,97,64,315,279,143,163
SMLT_RS02605,782,826,354,477,591,487,363,180,940,939,367,424
SMLT_RS02610,105,120,151,167,107,97,154,50,186,150,142,157
SMLT_RS02615,18,11,9,10,26,23,11,9,60,69,22,21
SMLT_RS02625,9330,10262,10402,11110,7731,6176,5150,3387,5990,4359,8593,8227
SMLT_RS02635,111,140,124,113,241,168,116,75,244,208,107,91
SMLT_RS02640,27,46,18,31,44,38,25,15,58,57,20,23
SMLT_RS02645,99,119,53,83,133,121,39,24,208,187,57,57
SMLT_RS02650,2257,2329,963,1274,1202,1168,870,483,2170,1988,835,775
SMLT_RS02655,271,261,260,250,227,213,235,108,156,208,191,207
SMLT_RS02660,718,691,539,561,556,443,510,263,627,647,591,553
SMLT_RS02665,246,250,153,189,769,716,777,442,509,483,222,170
SMLT_RS02670,239,255,458,497,194,157,466,417,192,212,432,405
SMLT_RS02675,1738,1702,3898,3578,1395,1018,3670,2488,1040,967,3536,3193
SMLT_RS02680,1148,1136,394,547,421,182,200,103,343,241,787,829
SMLT_RS02685,1684,1655,811,996,624,277,402,179,532,349,1258,1319
SMLT_RS02690,189,184,219,370,423,404,331,105,217,225,250,195
SMLT_RS02705,64,58,152,170,98,67,273,82,88,88,156,125
SMLT_RS02710,428,688,6797,9817,1022,706,6612,4387,522,566,5843,4976
SMLT_RS02715,159,247,3493,4069,317,275,2269,1408,312,325,2690,2819
SMLT_RS02720,8583,8086,2658,3381,6318,5274,2385,1213,3470,2905,1185,1105
SMLT_RS02730,641,716,1213,1072,2019,1377,724,228,458,515,336,248
SMLT_RS02735,1069,1782,324,219,7333,3045,82,55,690,617,53,41
SMLT_RS02740,1346,1630,1981,2119,1323,1196,1126,1130,1401,1178,1479,1855
SMLT_RS02745,1650,1843,1439,1520,1011,941,805,528,1341,1236,1296,1360
SMLT_RS02750,2337,2462,1331,1534,1128,1269,1018,683,1677,1568,998,1114
SMLT_RS02755,3748,4606,386,366,8307,8371,2634,1508,3941,4017,1505,1238
SMLT_RS02760,2497,3140,342,277,6662,6024,1961,1366,2684,2634,1094,782
SMLT_RS02765,683,755,394,541,524,492,309,239,1012,874,457,449
SMLT_RS02770,308,320,130,173,503,504,138,75,445,417,166,191
SMLT_RS02775,163,122,54,76,286,216,63,45,158,126,65,78
SMLT_RS02780,426,424,179,252,332,301,222,93,538,547,270,178
SMLT_RS02785,821,816,426,577,483,481,310,360,1641,1536,473,486
SMLT_RS02790,401,367,487,511,268,258,449,233,643,644,595,602
SMLT_RS02795,3261,4132,349,399,3545,3707,385,345,6087,5227,891,955
SMLT_RS02800,1109,1096,1271,1532,719,627,1026,974,1897,1793,1411,1355
SMLT_RS02805,785,878,753,854,979,842,907,796,1153,998,925,836
SMLT_RS02810,1289,1375,1145,1249,1742,1494,1458,632,1713,1403,1512,1459
SMLT_RS02815,235,189,187,238,139,144,120,86,285,296,189,207
SMLT_RS02825,11435,10789,4598,4960,530,347,43,29,119,109,19,35
SMLT_RS02830,14258,13132,6000,6910,418,286,38,16,109,127,20,31
SMLT_RS02835,6052,5361,2269,2511,140,78,5,5,50,40,10,14
SMLT_RS02840,4502,4306,3495,3511,396,374,118,102,771,690,248,279
SMLT_RS02845,3643,3571,2755,2747,308,288,116,82,623,629,225,210
SMLT_RS02855,2650,3018,537,764,6467,6198,694,359,2595,2615,622,489
SMLT_RS02860,6444,10055,183,225,44335,47628,347,228,12815,17152,349,335
SMLT_RS02865,132,404,448,209,209,154,269,258,517,734,656,863
SMLT_RS02870,1190,1283,1143,1107,848,620,892,379,717,679,692,708
SMLT_RS02875,107,96,514,905,80,58,45,34,314,372,783,1126
SMLT_RS02885,2647,4751,10295,8447,3708,4297,4575,4990,5377,5780,6577,8017
SMLT_RS02890,1094,1346,5045,5944,1639,1352,3627,2620,1529,1285,3743,3194
SMLT_RS02895,508,533,2013,2112,488,351,945,671,729,580,1825,1677
SMLT_RS02900,242,231,251,187,433,492,257,198,884,1040,433,531
SMLT_RS02905,443,446,340,293,683,672,389,375,1509,1465,817,833
SMLT_RS02910,3252,2940,3027,3964,1709,1300,1621,833,2626,1559,4958,4363
SMLT_RS02925,99092,84271,18509,19833,40675,28561,9374,3843,16218,12741,3974,3122
SMLT_RS02930,7413,8177,9861,11712,9030,6723,7136,4980,5444,4230,7519,7310
SMLT_RS02935,1136,1556,2448,2467,7106,5364,5062,4210,3253,2913,4877,5330
SMLT_RS03075,8639,10344,23851,26163,5167,4355,4334,2616,9056,7807,16124,16150
SMLT_RS03080,6106,7632,17152,19324,6012,4766,4495,3754,6565,5435,9567,10246
SMLT_RS03085,15439,19645,14093,15149,1507,1181,1512,1146,6094,5930,8494,9298
SMLT_RS03090,11860,14054,8504,9049,213,182,205,76,4853,4146,6114,5868
SMLT_RS03095,8075,9885,6559,8161,413,294,363,291,4308,3930,4991,4662
SMLT_RS03100,3451,4114,3251,3858,64,65,67,51,2321,2300,2781,2619
SMLT_RS03110,2100,2253,2903,3252,3365,2679,2214,1558,1457,1396,2087,2293
SMLT_RS03115,3535,4076,4953,6184,4918,4064,3180,2674,2796,2261,3295,3961
SMLT_RS03120,1884,2284,2627,2757,2838,2341,1757,1292,1615,1371,1914,1988
SMLT_RS03125,5497,5809,3206,4009,7241,6252,2649,1496,3804,3153,2619,2586
SMLT_RS03130,4522,5183,2622,2996,5937,5137,2111,1351,3973,2796,1856,1833
SMLT_RS03140,130,125,84,75,159,141,98,39,204,192,116,130
SMLT_RS03145,1398,1675,1015,1162,2194,1838,562,424,1557,1224,581,616
SMLT_RS03150,1981,2268,1335,1422,3411,2835,912,543,2130,1703,919,830
SMLT_RS03155,1119,1321,846,1023,2138,1846,730,394,1525,1392,746,719
SMLT_RS03160,1639,1638,1134,1242,2923,2212,1097,661,2036,1890,1051,1002
SMLT_RS03165,716,716,422,414,704,577,351,114,895,729,481,491
SMLT_RS03170,13823,17192,6127,6328,15635,11501,4236,1977,9601,7927,3627,4223
SMLT_RS03175,3829,4261,5418,6192,4534,3726,5181,2698,4197,3602,5921,5394
SMLT_RS03190,1573,1517,1998,2237,1220,1036,1850,555,1964,1861,1928,1825
SMLT_RS03195,1052,1097,1357,1700,928,797,1090,758,1527,1385,1141,1180
SMLT_RS03200,375,388,573,627,337,323,456,190,534,535,432,397
SMLT_RS03205,57,54,71,81,49,65,109,28,92,77,110,119
SMLT_RS03210,6903,8043,11203,13756,8533,7250,7802,5615,7360,5674,9741,10125
SMLT_RS03215,631,898,1131,1397,932,772,986,1067,766,601,839,1143
SMLT_RS03220,3633,4816,6505,8086,4850,3816,4309,3919,3374,2773,4175,5437
SMLT_RS03225,1472,1633,956,1116,1799,1497,769,398,860,871,513,659
SMLT_RS03230,1778,1886,1193,1265,1834,1566,968,439,1092,981,833,788
SMLT_RS03235,477,425,400,434,585,461,436,448,692,722,544,397
