,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS10160,133,63,113,724,494,736
AT688_RS10165,184,138,197,1311,1149,1375
AT688_RS10170,28,13,24,141,110,145
AT688_RS10175,16,19,14,106,94,88
AT688_RS10180,101,54,56,336,212,309
AT688_RS10185,407,170,265,615,427,654
AT688_RS10195,420,273,353,2399,2394,2770
AT688_RS12140,45,37,40,62,61,66
AT688_RS12145,38,21,32,75,63,76
AT688_RS10200,2,1,2,24,31,37
AT688_RS10205,118,47,92,489,407,584
AT688_RS10210,15,16,20,60,51,76
AT688_RS10215,10,8,16,56,70,65
AT688_RS10220,0,1,1,16,11,12
AT688_RS12155,0,0,3,25,22,16
AT688_RS10225,38,27,29,187,187,200
AT688_RS10230,32,29,41,84,57,91
AT688_RS10235,13,6,8,56,43,70
AT688_RS10240,41,14,32,157,129,146
AT688_RS10245,1,2,4,30,22,27
AT688_RS10250,2,0,0,10,10,3
AT688_RS10260,20,17,19,80,92,109
AT688_RS10265,19,10,18,188,113,219
AT688_RS10270,21,17,36,287,215,352
AT688_RS10275,34,35,64,264,203,363
AT688_RS10280,1,1,1,8,7,8
AT688_RS10285,0,0,2,6,8,6
AT688_RS10290,14,11,6,71,48,66
AT688_RS10295,22,5,15,72,47,87
AT688_RS10300,112,92,105,478,377,415
AT688_RS10305,39,37,31,204,160,205
AT688_RS10310,0,1,0,9,10,8
AT688_RS10315,10,2,9,83,71,98
AT688_RS10320,14,4,6,106,77,95
AT688_RS10325,6,5,6,56,34,36
AT688_RS10330,1,0,3,3,0,2
AT688_RS10335,0,2,0,5,2,10
AT688_RS10340,348,163,248,1498,1172,1584
AT688_RS10345,76,51,83,518,434,518
AT688_RS10350,196,91,117,784,629,881
AT688_RS10355,86,48,81,380,342,458
AT688_RS10360,23,17,26,177,185,207
AT688_RS10365,96,59,92,404,353,400
AT688_RS10370,104,54,63,434,324,411
AT688_RS10375,10,4,7,91,55,80
AT688_RS10380,94,44,72,540,419,446
AT688_RS10385,49,16,46,370,213,320
AT688_RS10390,27,4,5,53,30,75
AT688_RS10395,28,21,25,183,103,110
AT688_RS10400,44,22,21,192,106,155
AT688_RS10405,74,59,74,367,253,339
AT688_RS10410,50,21,24,192,118,162
AT688_RS10415,53,43,50,316,245,318
AT688_RS10420,4,0,0,22,10,20
AT688_RS10425,20,7,12,74,57,94
AT688_RS10430,200,115,176,1331,1102,1539
AT688_RS10435,97,48,73,706,461,559
AT688_RS10440,267,166,233,1881,1329,1676
AT688_RS10450,73,25,46,186,107,178
AT688_RS10455,857,507,710,3028,2284,2986
AT688_RS10460,905,631,728,1651,1267,1870
AT688_RS10465,1574,1084,1254,2843,1997,2888
AT688_RS10470,91,63,77,605,509,659
AT688_RS10480,340,165,174,1331,1149,1524
AT688_RS10490,148,75,93,562,410,670
AT688_RS10495,6,0,3,17,9,16
AT688_RS10500,360,200,225,1043,847,1155
AT688_RS10505,22,7,6,62,42,55
AT688_RS10510,3,1,4,14,13,14
AT688_RS10515,87,64,99,510,387,388
AT688_RS10520,29,15,27,132,126,149
AT688_RS10525,28,18,21,111,111,128
AT688_RS10530,64,63,60,359,254,314
AT688_RS10535,27,23,21,104,106,126
AT688_RS10540,62,49,51,214,131,252
AT688_RS10545,160,126,163,588,585,883
AT688_RS10550,67,47,48,393,274,451
AT688_RS10555,64,45,62,343,231,431
AT688_RS10560,57,32,32,279,183,244
AT688_RS10565,11,2,10,42,28,51
AT688_RS10570,46,35,32,213,167,264
AT688_RS10575,482,247,333,1817,1458,1902
AT688_RS10580,1136,855,1197,3977,3437,4790
AT688_RS10585,101,96,82,352,350,448
AT688_RS10590,638,443,537,2188,2073,2686
AT688_RS12355,0,0,0,0,0,0
AT688_RS10600,3509,1874,2585,6892,4731,6976
AT688_RS10605,874,544,652,1621,1174,1766
AT688_RS10610,110,55,50,246,127,209
AT688_RS10615,31,24,35,76,42,75
AT688_RS10620,12,3,5,33,41,56
AT688_RS10625,108,60,90,269,208,312
AT688_RS10630,85,62,70,533,455,618
AT688_RS10635,108,55,85,666,486,628
AT688_RS10640,60,28,36,391,222,348
AT688_RS10645,85,47,69,423,355,472
AT688_RS10650,7,8,6,35,32,19
AT688_RS10710,0,0,2,0,0,0
AT688_RS10715,24,6,15,78,59,91
AT688_RS10720,247,153,203,837,725,892
AT688_RS10725,13,1,3,21,19,19
AT688_RS10730,64,27,42,296,211,272
AT688_RS10735,26,10,36,213,160,213
AT688_RS10740,100,59,90,452,406,455
AT688_RS10745,103,59,81,560,423,639
AT688_RS10750,23,7,13,82,38,86
AT688_RS10755,1,1,0,8,6,9
AT688_RS10760,9,10,6,55,52,69
AT688_RS10765,46,41,58,147,143,175
AT688_RS10770,25,9,19,111,66,90
AT688_RS10775,0,0,0,0,0,0
AT688_RS10780,267,219,301,888,656,923
AT688_RS10785,473,237,265,878,634,878
AT688_RS10790,52,31,25,157,114,163
AT688_RS10795,66,43,58,301,283,429
AT688_RS10800,69,55,78,340,279,372
AT688_RS10805,23,19,25,106,82,113
AT688_RS10810,99,65,72,365,302,437
AT688_RS10815,148,88,130,545,462,617
AT688_RS10820,0,0,2,0,3,0
AT688_RS10825,36,12,17,82,54,61
AT688_RS10830,64,42,60,374,308,332
AT688_RS10840,65,29,44,111,91,112
AT688_RS10845,277,153,258,1326,1006,1285
AT688_RS10850,38,9,30,166,122,164
AT688_RS10855,130,44,69,219,104,181
AT688_RS10860,885,593,764,3878,3280,3781
AT688_RS10865,102,36,57,513,318,453
AT688_RS10870,300,160,230,1009,701,984
AT688_RS10875,14,2,4,28,11,25
AT688_RS10880,90,39,48,256,166,220
AT688_RS10885,48,34,58,206,193,258
AT688_RS10890,258,142,152,1302,929,1254
AT688_RS10895,18,10,9,79,67,95
AT688_RS10900,248,126,156,948,675,1024
AT688_RS10905,31,14,22,115,118,167
AT688_RS10910,26,10,24,128,97,133
AT688_RS10915,70,24,66,269,279,364
AT688_RS10920,150,88,102,784,649,744
AT688_RS10925,63,30,51,171,125,184
AT688_RS10930,20,7,4,69,43,66
AT688_RS10935,2,0,2,0,3,16
AT688_RS10940,1,5,4,10,13,16
AT688_RS10945,2,0,4,5,8,2
AT688_RS10950,52,25,28,125,72,92
AT688_RS10955,222,93,160,848,704,961
AT688_RS10960,24,5,13,63,45,52
AT688_RS10965,5,0,0,2,6,3
AT688_RS10970,344,177,213,957,684,1054
AT688_RS10975,43,10,31,156,80,144
AT688_RS10980,49,20,27,272,225,200
AT688_RS10985,16,14,12,134,64,126
AT688_RS10995,307,190,308,1461,1118,1526
AT688_RS11000,439,273,344,1832,1424,1814
AT688_RS11005,189,111,120,833,473,710
AT688_RS12175,7,2,9,82,52,82
AT688_RS12180,3,0,0,10,12,14
AT688_RS11020,133,73,130,470,289,400
AT688_RS11025,5,5,0,53,16,24
AT688_RS11030,8,4,4,42,55,52
AT688_RS11035,3,1,2,53,21,39
AT688_RS11040,48,30,52,346,282,345
AT688_RS11045,1,0,0,8,2,10
AT688_RS11050,10,3,5,35,16,25
AT688_RS11055,28,9,29,127,97,108
AT688_RS11060,5,0,8,35,31,37
AT688_RS11065,14,15,9,129,93,131
AT688_RS11075,17531,10227,14135,49729,41528,51557
AT688_RS11090,1,1,4,7,4,11
AT688_RS11095,1,0,0,2,0,3
AT688_RS11100,1,0,1,23,5,20
AT688_RS11105,1,3,1,16,17,13
AT688_RS11110,87,53,76,324,251,370
AT688_RS11115,26,37,21,168,132,212
AT688_RS11135,418,162,293,1248,703,1356
AT688_RS11140,153,81,96,397,337,423
AT688_RS11145,56,28,67,240,210,233
AT688_RS11150,6,5,4,25,25,29
AT688_RS11155,11,18,12,59,44,44
AT688_RS11160,0,0,0,0,0,0
AT688_RS11165,0,0,0,0,0,1
AT688_RS11170,2,2,1,4,2,4
AT688_RS11175,11,5,11,40,31,47
AT688_RS11180,24,27,24,64,65,73
AT688_RS11185,0,0,0,1,0,2
AT688_RS11190,4,0,4,5,7,6
AT688_RS11195,26,12,17,49,36,51
AT688_RS11200,61,35,49,149,130,160
AT688_RS11205,50,57,47,162,112,218
AT688_RS11210,9,6,10,27,30,37
AT688_RS11215,301,157,203,761,639,800
AT688_RS11220,84,39,68,256,221,245
AT688_RS11225,21,16,11,200,135,149
AT688_RS11230,94,30,42,256,185,248
AT688_RS11235,76,39,57,374,173,289
AT688_RS11240,51,21,23,174,137,169
AT688_RS11245,280,191,249,1119,1059,1370
AT688_RS11250,276,159,234,1344,1244,1511
AT688_RS11255,228,109,154,725,618,717
AT688_RS11260,30,12,37,450,421,564
AT688_RS11265,1193,671,957,6809,5773,7198
AT688_RS11270,318,185,225,2571,2209,2977
AT688_RS11275,635,354,428,3405,2272,3491
AT688_RS11280,0,0,1,5,4,13
AT688_RS11285,0,0,0,4,2,3
AT688_RS11290,0,0,0,7,7,8
AT688_RS11305,1,0,0,3,4,1
AT688_RS11310,0,0,0,3,6,0
AT688_RS11315,2,1,5,4,0,2
AT688_RS11320,28,5,19,30,24,42
AT688_RS11325,15,14,31,72,37,87
AT688_RS11330,61,29,43,203,136,199
AT688_RS11335,40,21,32,183,120,196
AT688_RS11340,7257,3851,4972,12978,8523,11923
AT688_RS11345,12340,5839,7574,38197,25763,36641
AT688_RS11350,170,89,114,596,512,590
AT688_RS11355,2,1,0,15,15,20
AT688_RS11360,6,10,4,32,22,41
AT688_RS11365,4,0,6,13,11,14
AT688_RS11370,14,0,10,56,25,37
AT688_RS11375,26,21,25,118,80,138
AT688_RS11380,202,155,229,1163,1012,1144
AT688_RS11385,2,0,1,3,7,6
AT688_RS11390,247,154,220,597,475,583
AT688_RS11395,240,120,183,392,337,438
AT688_RS11400,14,10,16,166,120,166
AT688_RS11405,14,9,6,244,206,336
AT688_RS11410,118,66,96,680,525,677
AT688_RS11415,48,23,43,166,106,148
AT688_RS11420,332,232,306,1503,1323,1667
AT688_RS11425,3,14,10,85,84,129
AT688_RS11430,39,19,28,263,216,254
AT688_RS11435,709,656,845,3205,3600,4547
AT688_RS11440,16,8,9,57,46,59
AT688_RS11445,14,6,6,73,27,59
AT688_RS11450,12,7,4,64,46,72
AT688_RS11455,61,30,36,161,109,157
AT688_RS11460,26,10,16,61,29,80
AT688_RS11465,69,33,38,227,197,207
AT688_RS11470,157,116,112,420,299,433
AT688_RS11475,19,6,22,111,103,101
AT688_RS11480,35,36,50,95,101,126
AT688_RS11485,317,196,260,1362,1071,1432
AT688_RS11490,16,7,8,32,16,19
AT688_RS11495,5,2,1,12,24,28
AT688_RS11500,31,14,16,45,42,46
AT688_RS11505,0,7,1,15,6,21
AT688_RS11510,7,4,3,24,20,31
AT688_RS11515,6,4,7,17,22,28
AT688_RS11520,12,4,9,50,30,35
AT688_RS11525,18,5,8,73,45,75
AT688_RS11530,6,2,8,7,9,11
AT688_RS11535,26,8,21,80,83,78
AT688_RS11540,6,4,10,54,26,39
AT688_RS11545,47,26,27,172,115,151
AT688_RS11550,47,24,31,316,269,326
AT688_RS11555,75,67,79,401,306,506
AT688_RS11560,1,4,2,9,17,15
AT688_RS11565,14,11,4,72,75,79
AT688_RS11570,3,0,0,3,9,4
AT688_RS11575,0,0,1,0,0,0
AT688_RS11580,0,0,0,0,0,0
AT688_RS11585,0,0,0,0,0,0
AT688_RS11590,0,0,1,3,1,3
AT688_RS11595,0,0,0,0,1,2
AT688_RS11600,0,0,0,0,0,0
AT688_RS11605,0,0,0,0,0,0
AT688_RS11610,0,0,1,1,0,0
AT688_RS11615,184,103,115,559,392,514
AT688_RS11620,1266,825,1059,4802,4019,4649
AT688_RS11625,12,4,8,70,53,48
AT688_RS11630,359,255,352,2060,1835,2242
AT688_RS11635,6,1,5,17,21,35
AT688_RS11640,6,4,4,27,14,31
AT688_RS11645,18,14,11,59,33,43
AT688_RS11650,9,4,4,36,21,42
AT688_RS11655,22,4,11,62,37,61
AT688_RS11660,279,168,269,724,653,696
AT688_RS11665,33,19,34,102,92,112
AT688_RS11670,9,5,4,17,3,15
AT688_RS11675,2158,1292,1739,10314,8303,10858
AT688_RS11680,7,4,4,50,45,48
AT688_RS11685,17,7,10,28,18,15
AT688_RS11690,8,7,8,83,81,136
AT688_RS11695,9,0,3,23,23,22
AT688_RS11700,7,11,10,76,52,62
AT688_RS11705,56,41,55,245,224,257
AT688_RS11720,89,38,55,430,367,474
AT688_RS11735,0,0,0,0,0,0
AT688_RS11740,0,2,0,2,0,1
AT688_RS11750,1,2,4,7,3,8
AT688_RS11755,23,5,20,62,71,90
AT688_RS11760,0,0,0,0,0,1
AT688_RS11765,0,0,2,5,4,0
AT688_RS11770,338,206,332,1645,1174,1698
AT688_RS11775,487,217,342,2658,1547,2329
AT688_RS11780,73,18,40,420,264,411
AT688_RS11785,305,192,253,1599,1383,1541
AT688_RS11790,39,6,12,89,51,67
AT688_RS11795,1,0,0,8,8,5
AT688_RS11800,4,0,0,7,3,9
AT688_RS11815,6,0,1,8,2,12
AT688_RS11820,8,4,5,5,6,5
AT688_RS11825,0,0,0,3,4,8
AT688_RS11830,11,10,5,47,24,47
AT688_RS12385,0,0,1,0,0,4
AT688_RS11840,0,0,0,0,0,0
AT688_RS11845,8,10,9,68,32,57
AT688_RS11850,1,1,3,9,5,13
AT688_RS12230,5,4,1,15,12,15
AT688_RS11855,3,6,3,26,10,19
AT688_RS11860,62,29,45,264,201,273
AT688_RS11870,23,11,11,21,32,53
AT688_RS11875,68,41,50,279,196,264
AT688_RS11880,31,16,13,87,39,79
