gene_id,MMGlucose_1,MMGlucose_2,MMGlucose_3,MMAAGP_1,MMAAGP_2,MMAAGP_3
BT_1801,44,38,57,117,114,80
BT_1802,71,47,56,138,174,131
BT_1803,1980,1694,2202,2618,3156,2466
BT_1804,7410,5738,7773,13994,15112,14144
BT_1805,7817,6636,8093,19786,18945,17520
BT_1806,20085,18333,22111,62672,62153,50859
BT_1807,1110,1003,1239,1815,2099,1752
BT_1808,174,191,191,389,403,345
BT_1809,4182,3782,4605,7921,8339,6945
BT_1810,664,627,826,1374,1746,1145
BT_1811,431,299,447,346,420,364
BT_1812,1055,691,912,361,531,502
BT_1813,1604,1411,1822,2808,3420,2673
BT_1814,1704,1563,1910,2347,2886,2126
BT_1815,1820,1542,2026,2295,2571,2263
BT_1816,150,129,187,136,186,162
BT_1817,516,479,577,741,875,658
BT_1818,1586,1279,1701,2080,2593,1947
BT_1819,7038,5671,7396,7644,9877,7583
BT_1820,1884,1443,1927,1942,2108,1801
BT_1821,19,13,33,28,38,32
BT_1822,149,127,168,195,196,193
BT_1823,509,510,653,1143,1192,891
BT_1824,374,282,363,652,697,514
BT_1825,208,189,239,492,595,478
BT_1826,576,541,582,556,537,446
BT_1827,498,413,551,813,917,697
BT_1828,2399,2186,2726,3839,4582,3566
BT_1829,33061,23222,35323,10473,12996,14888
BT_1830,6205,4624,6211,4488,4754,4065
BT_1831,1521,1216,1478,2234,2541,1862
BT_1832,1035,904,1110,1784,2115,1584
BT_1833,4435,3869,4848,7531,9647,7580
BT_1834,5181,4552,5670,5829,6894,5785
BT_1835,1376,1205,1513,1878,1993,1714
BT_1836,1072,908,1175,1751,1880,1564
BT_1837,633,548,648,905,935,859
BT_1838,2270,1894,2558,4072,4051,3711
BT_1839,575,561,625,1133,1372,1012
BT_1840,9073,8025,10400,11525,14554,11462
BT_1841,3511,2799,3681,5803,7570,5625
BT_1842,1877,1491,2063,2135,2791,2939
BT_1843,18545,16165,21101,22629,26078,21431
BT_1844,3113,2728,3428,4671,5422,4084
BT_1845,697,665,801,985,1136,880
