,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424,CF AU1054,Soil AU1054,CF HI2424,Soil HI2424
Bcen_0315,57,29,87,47,85,93,49,51
Bcen_0316,137,57,148,50,112,93,73,86
Bcen_0317,57,40,109,28,142,164,27,75
Bcen_0318,20,12,28,4,131,99,12,29
Bcen_0319,9,5,23,3,49,82,4,20
Bcen_0320,6,12,28,2,72,118,2,28
Bcen_0321,0,4,11,3,53,68,4,12
Bcen_0322,15,26,31,3,81,99,13,35
Bcen_0323,86,41,144,72,205,226,50,85
Bcen_0324,6,4,17,3,55,53,6,18
Bcen_0325,4,8,14,6,52,72,1,11
Bcen_0326,4,20,24,8,61,59,10,18
Bcen_0327,12,16,42,6,47,56,11,22
Bcen_0328,47,35,47,13,70,50,29,31
Bcen_0329,28,95,55,59,53,87,48,53
Bcen_0330,7,8,50,7,123,143,20,37
Bcen_0331,4,4,19,2,101,99,4,25
Bcen_0332,0,10,17,4,61,59,4,34
Bcen_0333,7,16,23,8,78,104,3,35
Bcen_0334,12,9,85,1,290,166,66,54
Bcen_0335,0,2,12,0,20,20,6,9
Bcen_0336,8,8,32,1,218,143,20,46
Bcen_0337,76,10,95,0,200,162,70,37
Bcen_0338,48,8,105,0,190,176,50,41
Bcen_0339,2,7,17,3,176,137,14,35
Bcen_0340,0,8,26,11,129,132,7,42
Bcen_0341,0,8,16,4,82,94,5,30
Bcen_0342,37,58,96,73,149,135,37,95
Bcen_0343,60,111,76,95,183,144,138,175
Bcen_0344,2,11,32,3,104,125,10,45
Bcen_0345,5,11,22,9,116,76,6,47
Bcen_0346,0,3,22,1,88,71,3,13
Bcen_0347,2,10,18,2,106,118,7,48
Bcen_0348,10,24,45,8,172,187,5,39
Bcen_0349,8,31,69,10,329,299,16,105
Bcen_0350,0,4,3,1,93,76,2,22
Bcen_0351,0,3,8,0,54,48,0,16
Bcen_0352,2,10,34,3,161,150,4,36
Bcen_0353,2,24,27,9,98,94,9,37
Bcen_0354,8,35,106,8,230,368,15,97
Bcen_0355,2,12,32,2,215,201,4,46
Bcen_0356,25,17,9,19,74,44,18,73
Bcen_0357,6,24,41,4,248,272,16,61
Bcen_0358,5,6,68,23,177,268,6,61
Bcen_0359,2,9,23,1,50,83,1,16
Bcen_0360,2,4,23,1,45,72,1,6
Bcen_0361,0,2,24,3,79,118,8,26
Bcen_0362,1,8,21,4,171,150,7,44
Bcen_0363,0,6,8,0,81,61,4,22
Bcen_0364,2,5,20,4,74,114,1,22
Bcen_0365,0,4,16,0,118,100,2,20
Bcen_0366,0,4,26,7,94,98,5,28
Bcen_0367,0,2,12,0,130,134,3,27
Bcen_0368,0,5,7,0,11,26,0,7
Bcen_0369,0,20,25,0,266,275,5,61
Bcen_0370,0,0,5,0,30,13,1,11
Bcen_0371,0,3,4,0,38,30,2,4
Bcen_0372,0,6,6,0,91,58,2,13
Bcen_0373,0,3,10,0,48,54,6,17
Bcen_0374,0,3,5,1,46,47,2,17
Bcen_0375,0,6,19,0,68,58,3,14
Bcen_0376,0,5,3,1,55,48,1,10
Bcen_0377,366,5,802,49,265,59,275,20
Bcen_0378,1799,36,2434,219,890,249,1330,71
Bcen_0379,16,31,37,23,79,97,5,54
Bcen_0380,8,10,16,0,31,43,8,18
Bcen_0381,2,13,18,2,198,162,22,42
Bcen_0382,15,26,43,13,77,80,15,25
Bcen_0383,5,2,15,4,47,64,14,21
Bcen_0384,5,6,12,1,79,33,5,20
Bcen_0385,24,10,77,9,124,142,12,43
Bcen_0386,17,11,46,4,187,144,14,54
Bcen_0387,2,2,22,4,107,100,7,26
Bcen_0388,6,12,19,2,95,96,7,31
Bcen_0389,32,23,114,19,128,174,30,53
Bcen_0390,30,14,129,17,115,183,14,43
Bcen_0391,30,11,55,7,45,61,18,21
Bcen_0392,23,9,94,14,116,150,21,37
Bcen_0393,10,14,73,7,96,194,8,32
Bcen_0394,14,10,116,13,111,199,7,29
Bcen_0395,16,2,73,12,59,143,10,25
Bcen_0396,22,28,181,21,198,385,41,61
Bcen_0397,20,17,166,25,134,194,23,55
Bcen_0398,22,58,96,22,193,317,15,84
Bcen_0399,8,4,28,1,33,41,9,9
Bcen_0400,63,19,142,15,109,177,30,49
Bcen_0401,17,4,88,8,82,162,24,33
Bcen_0402,142,50,566,37,586,899,117,164
Bcen_0403,1,1,22,1,26,37,1,16
Bcen_0404,1,3,22,8,46,73,8,12
Bcen_0405,3,14,63,10,92,124,12,36
Bcen_0406,5,5,40,2,118,126,7,30
Bcen_0407,9,13,22,3,91,94,6,32
Bcen_0408,2,16,90,12,205,289,12,81
Bcen_0409,2,6,55,6,105,184,8,30
Bcen_0410,13,13,49,9,118,139,10,28
Bcen_0411,5,7,29,0,126,102,6,38
Bcen_0412,2,6,21,2,92,91,5,26
Bcen_0413,5,10,15,9,131,89,6,40
Bcen_0414,54,28,97,21,179,183,57,68
Bcen_0415,5,6,15,1,120,78,5,22
Bcen_0416,7,9,38,6,103,143,11,25
Bcen_0417,4,6,23,4,205,178,15,44
Bcen_0418,0,10,21,17,72,78,0,32
Bcen_0419,0,5,11,7,112,87,2,31
Bcen_0420,2,16,14,9,84,65,3,43
Bcen_0421,0,22,52,63,169,236,5,100
Bcen_0422,0,5,6,2,31,23,1,16
Bcen_0423,0,10,10,7,42,46,2,23
Bcen_0424,1,7,9,1,90,73,3,30
Bcen_0425,4,30,61,26,114,249,4,44
Bcen_0426,5,23,40,19,74,174,5,36
Bcen_0427,1,18,17,37,52,80,1,60
Bcen_0428,0,17,19,67,103,128,2,92
Bcen_0429,0,34,37,46,143,197,3,88
Bcen_0430,0,28,33,43,177,216,5,85
Bcen_0431,1,127,34,356,145,244,4,377
Bcen_0432,6,4,23,3,45,52,4,14
Bcen_0433,29,18,76,16,66,105,15,40
Bcen_0434,6,2,4,0,25,21,1,6
Bcen_0435,68,19,80,1,201,146,40,47
Bcen_0436,2,4,7,5,36,25,6,9
Bcen_0437,5,7,8,2,83,56,5,21
Bcen_0438,6,8,49,4,129,135,5,39
Bcen_0439,8,12,28,5,83,113,5,32
Bcen_0440,119,65,102,30,75,121,24,39
Bcen_0441,114,17,193,7,100,200,30,25
Bcen_0442,0,6,9,1,15,37,1,8
Bcen_0443,0,6,23,0,47,119,2,24
Bcen_0444,0,0,7,0,43,70,2,11
Bcen_0445,1,8,16,1,23,56,1,14
Bcen_0446,2,26,41,18,89,226,9,46
