,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
fliC,124835,184998,147987,264356,138529,127389,109778,32427,68133,47214,47239,47530
fliD,22933,33608,25881,44254,26213,24781,17205,5173,11797,10090,10314,9269
fliE,414,459,982,1580,805,1162,315,829,532,548,254,258
fliF,869,874,1622,3709,2159,3007,798,2373,1308,1260,524,550
fliG,1789,1873,2904,7738,3706,4526,1543,3932,2291,1852,822,1016
fliH,563,586,1084,2206,1313,1918,479,1581,820,794,429,373
fliI,1107,1227,2121,4308,2449,3457,1014,2269,1607,1337,696,585
fliJ,328,422,414,1404,703,978,305,513,461,273,158,136
fliL,330,344,607,1482,744,1141,332,957,518,451,172,184
fliM,1087,1108,1778,4866,2346,3063,938,2588,1457,1252,513,642
fliN,813,797,1308,4338,2163,2609,913,2432,1318,981,417,477
fliO,303,274,590,1434,629,1051,238,1086,428,505,198,160
fliP,366,381,611,1577,707,1020,329,1012,513,495,141,191
fliQ,44,61,93,231,116,171,53,134,91,62,22,40
fliR,206,207,290,609,228,403,139,304,224,210,115,133
fliS,2345,3609,3089,5052,3697,3875,2042,785,1443,1425,1833,1251
fmt,2215,1916,2603,2047,1044,1916,755,1082,856,1176,1127,1067
folB,52,41,51,48,28,55,23,28,30,35,37,27
folC,2044,1461,2582,2191,881,2119,794,1228,1184,1620,840,1091
folD,1736,1398,2447,1376,683,1430,694,759,939,1349,804,949
folE (BPs_C1 4113951..4114506),1201,1126,1330,1449,675,1104,566,925,707,576,542,538
folE (BPs_C1 5763747..5764380),30,37,21,30,17,24,20,18,16,12,16,14
folE (BPs_C1 6141612..6142245),395,516,263,179,400,568,304,105,336,128,270,196
folP,579,438,1006,566,322,642,204,330,284,643,303,348
fpr (BPs_C1 251606..252377),4135,3602,5384,4849,1988,3254,1683,2269,2017,3254,1529,2137
fpr (BPs_C1 2652049..2652823),60,63,61,38,20,41,22,21,22,26,26,18
fptA,42,33,56,39,18,36,20,38,33,11,12,18
frr,3653,2994,5155,3887,2526,4373,2081,2039,2707,2876,1700,2226
fsr,406,353,535,436,198,388,151,167,285,293,196,202
ftrA,1648,1778,1574,1131,820,1360,946,968,910,828,864,653
ftsA,5745,4831,4841,4524,2421,4143,2202,2113,2142,3027,2483,2891
ftsB,982,851,1305,894,521,1024,470,469,579,602,450,469
ftsH (BPs_C1 1583195..1585082),23921,21499,31995,24658,13471,21991,9957,12151,11773,15117,12102,12562
ftsH (BPs_C1 5568234..5570235),16679,13991,22411,11563,7753,14067,6615,8592,7853,8853,8272,8368
ftsI (BPs_C1 3613014..3614859),3125,2939,3425,2266,1397,2391,929,958,1236,1873,1667,1791
ftsI (BPs_C1 5748965..5750678),117,151,133,75,44,68,47,75,68,69,84,57
ftsL,646,611,541,466,190,359,183,157,161,279,306,262
ftsQ,1371,1098,1308,1202,612,1082,468,520,549,1004,614,713
ftsW,1502,1169,1640,1247,725,1281,570,596,651,1196,733,894
ftsZ,31054,29367,27894,22693,14651,23209,10879,9933,11544,11505,14121,14575
fumC,4452,4674,4380,4209,2599,3872,2805,2568,2418,1715,2135,2012
fur,2016,2046,1628,1933,1049,1520,1182,1189,1189,1108,667,859
fusA (BPs_C1 1039747..1041862),12988,12941,18056,11563,7733,10224,5112,8974,5564,8146,6855,7314
fusA (BPs_C1 3810678..3812781),11066,7253,18768,13183,5558,12666,4726,11502,8476,16940,4156,8108
gabD (BPs_C1 1916229..1917690),114,130,115,98,65,113,58,40,69,58,62,59
gabD (BPs_C1 4448602..4450072),7822,7675,7296,11003,6902,8697,4585,6765,5109,3306,4121,3341
gabT,4473,4409,4200,5857,4488,5234,2663,4151,2643,2270,2462,2107
galU,3687,3301,4280,4278,2118,3598,2065,2148,2358,2231,1660,1916
gapA,22268,19215,34182,28194,13133,22211,10331,18146,13992,17256,10745,14691
gatA,1810,1363,2540,1979,1062,2011,869,1182,1099,1656,926,1007
gatB,1734,1424,2734,2237,1324,2275,847,1470,1232,1947,912,1172
gatC,232,194,325,217,125,248,113,117,126,191,90,127
gca,5611,9444,1911,2103,510,3029,327,134,1449,197,3234,962
gcl,157,120,150,86,58,116,50,31,44,53,62,86
gcp,684,566,1094,599,285,585,235,372,375,700,343,369
gcvH,4584,3789,5089,3733,2177,4198,1642,1316,1972,2652,1818,2198
gcvP,17368,12816,17899,12596,7909,15911,5144,4215,8198,9576,6721,7733
gcvT,10397,8314,12931,7457,5095,9702,3065,2484,4869,7358,5059,5516
gidA,4509,4350,4170,5639,2619,4543,2164,1955,2453,2408,1987,2236
gidB,854,726,868,1152,408,840,348,444,442,506,424,411
glcA,914,772,1019,618,551,713,375,246,301,512,491,503
glcD,3847,3773,3989,4179,2102,3223,1502,1608,1681,1560,1990,1770
glcE,1490,1458,1687,1445,761,1206,547,676,599,749,865,743
glcF,1504,1545,1540,1545,803,1227,591,686,590,662,800,671
glgB,44,37,43,26,19,32,19,16,17,28,18,20
glk,3741,3504,2754,4452,2129,3511,1856,2289,1562,1249,1715,1398
glmM,1555,1070,2666,1579,844,1677,617,1118,975,1778,749,1058
glmS1,3299,2602,4304,3169,1400,3069,1233,1782,1767,2543,1478,1682
glmS2,417,405,479,468,222,435,203,234,219,198,240,190
glmS3,45,43,60,19,22,24,20,22,17,25,27,20
glmU,4527,3721,6283,4123,2025,4253,1572,1820,2538,2986,2086,2450
glnA,8553,7389,16182,9039,6571,8519,5246,4948,5566,7093,3438,4879
glnB1,12,9,15,16,7,8,6,9,5,8,1,3
glnB2,1669,1716,1423,1809,792,1307,1003,690,919,839,799,883
glnE,2118,1554,2791,1730,876,1802,699,975,975,1416,1049,1104
glnG,613,506,1096,701,385,578,293,290,347,598,316,323
glnH,54,49,46,72,38,61,20,29,40,21,24,31
glnL,626,616,1307,643,501,593,391,286,387,611,288,334
glnP,14,20,17,27,10,19,6,16,13,7,12,7
glnQ,43,44,45,62,20,30,20,24,29,33,31,16
glnS,6953,5980,7505,6426,3562,5817,2571,3224,2812,3951,3038,3781
gloA,1318,1234,1208,1703,675,1205,776,879,895,736,443,609
glpD,1586,966,6123,933,754,1877,819,738,1198,3182,456,698
glpF,545,362,1486,330,184,488,193,284,268,869,181,204
glpK,1946,1267,7276,1075,773,1941,956,1202,1454,3618,436,789
glpR,976,898,808,892,480,787,396,323,466,389,348,392
glsA,414,324,499,491,270,510,266,310,306,330,171,255
glt1,10819,8100,12256,8773,5847,13835,3926,2962,7279,5419,4483,5608
gltA,16561,14154,21319,22452,9517,16819,8974,16905,11958,13708,6694,8970
gltD,2670,1916,3765,2742,1293,3326,1010,1083,2038,1853,1114,1329
gltI (BPs_C1 3491081..3491984),44364,45685,39531,36569,20256,28442,16738,13462,14536,11747,17429,18284
gltI (BPs_C1 4274514..4275414),773,1756,284,1720,839,870,772,324,603,85,546,192
gltJ,1820,1479,2182,1977,892,1599,841,1184,838,1168,702,963
gltK,1782,1324,2075,1997,833,1601,790,1245,903,1266,705,878
gltL,3295,2879,3890,4130,1883,3182,1680,2484,1748,2405,1494,1923
gltX,2270,1903,2708,2266,1028,2216,975,1045,1269,1466,925,1182
glxK,236,271,196,141,107,155,60,81,68,83,269,119
glxR,73,55,79,36,33,47,23,22,20,17,33,31
glyA (BPs_C1 3296908..3298156),4110,3294,6772,3144,4517,7955,1774,3297,3321,4600,3292,4314
glyA (BPs_C1 4822292..4823582),8,15,12,16,5,13,11,9,9,12,5,4
glyQ,2185,1717,3241,1752,759,1499,695,842,833,1812,885,1191
glyS,3710,2604,4905,2291,1230,2791,1041,1565,1611,3068,1341,1921
gmhA,3299,3147,3444,3078,1709,3125,1497,1596,1491,2168,1476,1718
gmhD,1172,1045,1525,1471,626,1083,556,976,655,1011,539,752
gmk,2290,1905,3534,1661,979,1651,864,1051,1024,2208,1052,1321
gnd,2845,2326,2881,3139,1730,3377,1635,1679,2218,1552,1367,1391
gor,2699,2702,2711,3573,1694,2861,1422,2077,1667,1354,1407,1203
gpmA,3153,2744,3545,3504,1487,2531,1261,1792,1683,1700,1210,1465
gpo,1047,993,967,803,579,904,436,270,457,452,537,577
gpsA,2585,2023,4708,2292,945,2364,859,1428,1459,3086,1270,1527
greA,3157,2594,4014,3189,1628,3262,1557,1211,1950,1805,1337,1667
greB,1607,1828,1390,1285,907,1469,695,577,739,607,851,793
groEL (BPs_C1 3223478..3225119),457637,485010,593224,205636,230263,248777,157336,181611,149528,164994,175631,196363
groEL (BPs_C1 4721112..4722753),495,522,515,529,276,417,227,405,310,296,249,278
groES (BPs_C1 3225166..3225460),30391,32878,43386,16727,14948,18425,11140,14094,9549,15732,13640,15453
groES (BPs_C1 4720800..4721091),46,33,52,31,13,27,14,32,12,24,20,19
groES2,140,180,149,101,117,105,50,92,55,84,116,67
grxC,534,400,467,463,193,462,173,171,250,261,256,236
gshA,3040,2697,3624,2976,1419,2115,1073,1736,1280,1766,1285,1457
gshB,1287,1120,1775,1275,672,1128,461,1014,583,959,676,649
gspC,700,540,765,621,311,631,274,284,312,381,349,272
gspD,11057,9435,10770,8682,4773,9458,4925,4742,4911,6097,4476,5124
gspE,4523,3774,4814,3834,1739,3706,1877,2137,2203,2722,1973,2126
gspF,1360,1146,1746,1172,585,1315,587,717,658,1082,724,741
gspG,1591,1420,1968,1901,758,1325,814,1049,889,1373,625,874
gspH,626,450,947,619,276,595,287,417,318,553,290,331
gspI,403,307,530,379,162,362,176,327,232,352,197,208
gspJ,438,339,628,406,203,422,163,307,272,430,219,222
gspK,496,334,645,432,202,412,197,251,269,417,208,236
gspL,1287,1015,1420,1347,628,1205,555,872,643,849,667,664
gspM,480,423,506,536,246,472,243,344,294,316,272,253
gspN,635,585,687,714,247,547,267,424,330,437,331,346
gspO,238,191,303,203,102,222,89,131,111,174,135,131
gtaB,7780,11061,3100,4100,1315,6517,1341,491,3340,262,3790,1603
guaA,5295,4799,6128,5363,2692,5107,2466,2686,3261,3600,2464,3011
guaB,10845,9675,9953,8738,4250,8541,3964,3811,5560,4585,4059,4514
guaD,852,673,884,517,342,785,361,212,415,425,345,352
gyrA,12292,10496,18708,9981,5956,10788,4714,5469,6551,11562,6012,7625
gyrB,6765,5844,9765,5298,4222,7144,2563,3437,3538,5744,3925,4748
hctB,65198,79186,53759,55398,46835,66536,44174,20207,36598,25702,32568,32284
hemA,4523,4055,5337,3976,2151,3949,1689,2015,2055,3142,2038,2378
hemB,3134,2605,3475,4272,2001,3692,1491,1971,2084,1945,1412,1607
hemC,2050,1720,3110,1470,862,1723,627,784,867,1384,1089,1108
hemE,3439,2655,4838,2701,1515,2906,1160,1804,1514,2563,1591,1835
hemF,1161,801,1623,1124,502,1060,427,566,592,923,588,559
hemH (BPs_C1 3384030..3385134),2997,2461,3192,2380,1269,2332,972,1252,1136,1504,1241,1332
hemH (BPs_C1 927406..928297),1993,1736,2300,1996,986,1667,781,875,1046,1188,850,995
hemK,413,322,589,344,196,424,172,232,195,530,255,278
hemL,6209,5295,7950,6268,3111,5229,2116,3298,2701,3915,3036,3147
hemN,6541,4709,5963,5913,4026,5772,2504,3865,2391,3266,2487,3325
hflX,7218,6080,7741,6561,3793,7127,3367,2847,3937,4925,2695,3560
hfq,2870,2637,2947,3240,1711,2565,1695,895,1718,1638,838,1249
hipA,1913,1576,1964,878,651,1215,627,757,626,935,1036,954
hipB,155,184,124,143,82,111,60,79,56,80,75,72
hisA,4384,4436,3915,5786,2607,3866,1905,2282,2098,2144,2130,2170
hisB,1015,1069,1322,1135,542,851,451,575,480,734,471,570
hisC,280,193,412,288,100,262,105,236,165,373,142,179
hisD,1362,868,2163,1833,597,1484,506,1365,871,1705,620,844
hisE,340,291,474,419,203,384,156,248,188,320,206,182
hisF,1779,1744,2254,2262,1118,1953,811,1147,1127,1472,925,988
hisG,436,292,781,567,214,569,197,428,302,650,236,279
hisH,639,599,841,815,362,617,318,393,416,636,327,399
hisI,697,580,842,854,387,695,332,443,362,557,354,366
hisJ,441,318,762,403,235,504,184,261,274,650,268,360
hisM (BPs_C1 1201220..1201934),147,105,239,150,68,131,53,85,84,200,75,108
hisM (BPs_C1 2889973..2890687),339,265,373,245,171,225,153,215,129,174,126,135
hisM (BPs_C1 5375002..5375716),34,40,30,40,20,32,32,20,14,9,27,14
hisP (BPs_C1 1200418..1201198),256,233,395,292,131,261,118,189,145,374,142,214
hisP (BPs_C1 2889157..2889952),1603,1711,1819,1330,1030,1355,969,880,700,1067,780,838
hisP (BPs_C1 5375784..5376552),179,118,103,127,64,123,84,72,76,59,69,61
hisQ (BPs_C1 1201930..1202620),162,129,243,148,90,159,78,85,98,251,76,108
hisQ (BPs_C1 2890683..2891373),381,388,395,215,211,244,180,175,150,186,161,180
hisQ (BPs_C1 5374316..5375006),45,52,37,41,34,34,27,15,23,20,29,19
hisS,2896,2299,4541,3797,1464,3017,1259,2062,1821,2978,1361,1689
hisZ,1746,1181,2458,1790,944,2191,747,1117,1286,1733,796,1043
hmgA,2368,3569,1269,1042,970,2300,900,312,1073,439,1476,496
hmpA,13744,5125,68566,10008,21886,32843,11283,2560,19378,46863,2995,15571
hmuV,269,238,388,155,183,182,84,90,149,254,160,158
holA,1354,971,2377,1313,536,1386,490,906,785,1501,662,769
hom,2788,2058,4720,2242,1386,2839,1082,1643,1609,3269,1250,1768
hoxN,458,323,615,522,215,406,231,375,376,469,240,288
hpcB,255,258,240,1006,388,804,354,463,463,155,169,140
hpcC,674,666,702,3155,1280,2852,1098,1510,1696,415,460,446
hpcD,59,62,58,294,128,237,79,123,134,36,49,31
hpcG,196,226,213,847,295,705,284,374,414,123,131,136
hpcH,117,123,133,474,225,446,148,278,255,86,77,82
hrcA,3428,3321,3025,2922,1604,2772,1284,1292,1380,1398,1671,1645
hscA,674,510,1137,735,279,817,279,492,488,879,335,448
hscB,175,125,266,182,83,191,57,94,101,220,93,124
hslR,832,730,889,786,480,706,355,308,389,459,399,359
hslU,15036,18328,30655,8669,10493,8750,5369,14895,4967,12596,9599,7707
hslV,4184,4739,8531,2753,2742,2272,1220,4252,1165,3653,2703,2115
htpG,31594,30884,52337,20007,21506,26248,14737,19872,16800,24553,16722,18963
hupA,15090,14932,19275,18833,9550,15074,10593,12819,10161,11723,8115,9252
hutH,4488,4880,5847,3640,2595,4680,3210,1775,2505,3766,2601,2034
hutU,8748,9237,9617,5775,4423,7036,5661,2242,4182,5560,4332,4080
hyi (BPs_C1 1687164..1687953),220,205,213,113,96,159,82,66,73,92,89,115
hyi (BPs_C1 6006205..6006982),608,450,459,499,399,561,222,138,164,170,326,219
icd,13489,11727,17642,19288,8040,14382,8405,11616,10459,8441,5349,7041
ihfA,560,446,597,674,233,496,209,281,290,329,284,313
ihfB,1816,1293,2530,1616,533,1364,660,1126,993,1408,709,845
ileS (BPs_C1 1056324..1059162),3312,2423,5631,3655,1647,3379,1429,2260,2132,4415,1510,2264
ileS (BPs_C1 5875139..5878043),519,352,417,377,270,634,185,106,240,147,353,265
ilvA,1193,885,1546,990,488,967,419,541,512,897,462,628
ilvC,5593,4612,9022,5184,2951,6314,2012,2627,3316,5842,3034,3716
ilvD,3454,2655,3988,3582,1539,3040,1511,1730,1939,2158,1385,1845
ilvE (BPs_C1 6543535..6544480),819,1067,545,1240,796,1248,382,172,575,171,420,338
ilvE (BPs_C1 920426..921350),4235,3918,5348,5672,2523,4278,2063,2988,2526,3194,1970,2371
ilvG,7084,5605,6101,6522,2783,6087,2820,2616,2972,2143,2691,2721
ilvH,1352,1095,1920,1510,755,1388,509,483,609,1318,727,880
ilvI,8482,7054,9206,6500,3765,7163,2975,2362,4121,5776,3509,4553
ilvR,635,531,859,535,288,695,248,368,381,442,344,338
infA (BPs_C1 1228339..1228606),186,153,221,65,84,125,97,14,84,113,71,101
infA (BPs_C1 3798025..3798244),1135,780,1750,1757,524,1267,496,719,913,1812,424,691
infB,14410,12404,24708,15363,8301,16522,5732,9713,9734,17530,8541,10971
infC,7737,6938,10174,8014,4044,7576,3497,2831,3687,6140,3460,4465
int,1540,1481,1432,1213,784,1348,658,603,628,833,693,792
intA,347,352,313,261,165,259,171,131,151,145,177,202
ipk,2243,1885,3469,2227,1418,2656,1145,1014,1304,1990,1158,1576
irlR,126,144,157,132,54,84,51,66,74,63,62,60
irlR2,839,887,878,1468,739,973,748,1844,684,506,318,397
irlS,168,160,199,158,76,130,69,131,75,78,90,86
irlS2,830,801,1031,1277,706,1114,677,1874,805,627,420,483
iscS,1694,1325,2199,1595,854,1899,693,639,1162,1585,827,1048
ispA,3800,3244,6091,4301,2086,4734,1535,2187,2773,3456,2201,2134
ispB,3004,2716,3176,2928,1702,2934,1273,1284,1403,1744,1421,1677
ispD,535,324,683,456,267,541,195,308,287,417,193,289
ispF,424,303,512,435,286,551,211,334,316,299,187,260
ispG,3986,3096,5998,4615,2027,4013,1728,2419,2498,3644,1917,2283
ispH (BPs_C1 1071361..1072342),5670,4784,7009,5487,2972,4749,2208,2597,2539,3655,2720,3051
ispH (BPs_C1 7006936..7007878),2867,2323,3803,3918,1657,3609,1375,1856,2150,2460,1268,1554
katB,141,130,101,108,40,88,65,57,75,41,65,60
katE,61,64,57,49,33,45,23,26,24,28,38,30
katG,21777,20887,20053,22574,14894,26445,13547,8944,16103,4652,7675,8233
kbl,27773,25047,30556,15288,11954,18429,10845,4205,10470,12521,13010,11820
kdpA,917,946,565,324,181,296,201,107,187,123,423,364
kdpB,1305,1290,802,447,214,401,262,122,225,199,597,468
kdpC,387,370,255,99,62,138,67,28,61,35,197,134
kdpD,2798,2467,2264,1370,814,1310,645,576,713,956,1328,1134
kdpE,728,727,730,531,275,470,247,179,264,313,360,320
kdsA,421,359,406,332,143,307,133,245,176,247,198,194
kdsB,972,728,1217,797,456,896,307,430,466,667,422,444
kgtP (BPs_C1 4140665..4142018),63,83,71,53,23,56,31,22,36,47,39,31
kgtP (BPs_C1 6188578..6189898),89,73,101,89,44,88,60,33,49,46,52,38
ksgA,577,435,717,606,250,507,234,377,311,547,270,274
kup,2399,1995,2938,2548,1276,2571,1139,1091,1463,1775,1164,1387
ldcA,1552,1173,1793,1717,1116,2178,1171,968,1407,879,536,732
ldhA,4487,4204,4459,3212,1571,2858,1291,1520,1653,2013,1983,1790
lepA,3314,2678,4839,3537,1935,3809,1644,1692,2330,3320,1610,2133
lepB,962,827,1605,1174,568,1292,513,604,720,1094,516,696
leuA,6061,4979,8137,6346,2894,5379,3000,3274,3564,4722,2576,3499
leuB,1207,1168,1275,1088,530,1031,521,519,635,577,541,538
leuC,2107,2155,1721,1928,938,1616,836,754,923,733,937,833
leuD,650,589,636,637,324,521,303,281,316,331,300,334
leuS,7205,6068,11324,6699,3377,6567,2726,3749,3915,6593,3425,4462
lexA,1350,1157,1452,709,525,904,553,470,578,688,588,602
lgt,1559,1161,1966,1793,1047,2429,1049,897,1360,1045,662,782
ligA,2392,1853,2828,2276,1160,2411,1038,1259,1361,1471,1061,1240
lipA,4490,3722,5462,6388,2899,5417,2491,3167,3262,3417,1938,2420
lipA1,661,612,321,206,130,233,77,51,93,66,302,220
lipA2,171,170,195,139,70,88,53,82,56,100,103,95
lipB (BPs_C1 446687..447452),2090,1944,2422,2658,1362,2502,1026,1207,1325,1379,1014,1167
lipB (BPs_C1 6463693..6464728),243,198,173,110,62,131,36,38,44,64,122,83
livG,266,229,345,477,187,301,125,249,152,141,145,176
livM,423,313,595,647,238,445,208,428,250,341,211,272
lldA,742,626,627,625,299,550,239,250,290,275,383,334
lnt,992,720,1575,771,416,872,348,614,505,1021,442,583
lolA,2389,2232,3644,2843,1586,2995,1234,1540,1360,1999,1301,1355
lolB,901,734,1304,944,550,1126,420,566,555,689,446,470
lolD,902,814,1258,894,489,969,470,535,568,678,435,489
lon,79714,100612,106364,59812,50827,53437,32457,47928,28720,42158,45705,39048
lpdV,1431,1894,924,1481,821,863,656,646,371,330,1009,591
lpw206-207,1078,926,1344,1412,571,1056,532,895,592,842,514,611
lpxA,2764,2130,4017,3492,1441,2968,1185,1924,1834,2392,1245,1720
lpxB,1575,1259,2509,1961,843,1949,609,1188,950,1515,821,1022
lpxC,5262,4933,5710,6039,3004,4844,2498,2739,3010,3358,2513,2912
lpxD,4464,3493,6239,5006,2215,4896,1723,2637,2773,3593,2263,2419
lrp (BPs_C1 3008636..3009125),767,841,779,830,468,581,405,471,408,444,405,407
lrp (BPs_C1 5888520..5889030),117,97,89,110,53,98,60,52,66,55,43,43
lspA,223,146,425,266,82,240,95,184,149,342,93,160
ltaE,2527,2047,2953,5022,2036,4206,1715,3448,2657,1347,1218,1196
lysA,2249,1861,3496,1664,804,1616,612,957,914,1810,1107,1187
lysP,674,561,713,979,375,753,307,380,470,471,376,455
lysS,2389,1725,3936,1687,811,1690,794,1025,1061,2589,865,1397
macB,1379,1317,1900,4446,2582,5531,2425,2978,3495,1299,574,607
maeB,9908,8246,9882,14167,6671,12585,6261,9411,7396,6189,3849,4810
maf (BPs_C1 1339112..1339742),221,196,290,160,78,217,83,134,110,180,79,128
maf (BPs_C1 2950539..2951187),492,362,641,442,222,594,193,219,277,373,242,262
malE,5154,5470,3986,7082,3945,6332,3410,3750,2702,1802,3011,2441
manC (BPs_C1 3360239..3361667),4397,3983,3204,3504,2632,5288,2740,1440,2880,1611,1488,1654
manC (BPs_C1 681798..683391),47,41,63,64,18,44,19,39,18,29,22,27
map,2941,2852,2877,2863,1328,2231,1182,1020,1247,1544,1104,1415
map2,1454,1165,1330,677,410,786,307,265,417,385,686,541
mdh,18606,16787,19930,18136,8179,14101,7249,10285,10005,8013,7269,8680
mdlB,1195,1147,1268,1295,716,1500,632,275,743,282,500,493
menG,629,467,809,676,432,1156,397,363,547,428,348,343
metE,293,358,250,161,109,201,97,106,125,88,205,103
metF,8896,7382,10266,12684,4513,7818,2992,3882,4964,3346,3022,3239
metG,3141,2492,4300,3179,1595,3449,1433,1691,2009,2531,1470,1815
metH1,5612,4502,6371,8283,3067,5936,2719,3644,3654,3321,2385,2932
metH2,2597,2205,2956,2770,1250,2459,1083,1307,1394,1504,1049,1208
metK,25108,25097,25631,51956,16909,29781,12968,12400,17653,8879,11394,10855
metN,783,675,1406,644,333,590,268,385,384,940,387,473
metR,225,234,249,185,91,171,107,128,133,129,117,99
metX,993,849,1086,1221,468,948,464,357,563,573,501,507
metZ,1864,1768,2037,2519,1040,1879,805,1569,1181,1140,943,1003
mfd,6934,5981,8179,7340,3690,6804,2794,3609,3494,3886,3157,3624
mgsA,653,607,627,728,304,582,237,333,270,260,350,303
mgtB,112,110,97,59,43,77,78,81,56,50,77,60
mhpE,700,851,492,1104,680,1026,306,207,466,167,444,301
mhpF,519,722,401,896,634,810,250,130,392,125,334,245
miaA,1204,966,1415,1220,580,1179,455,614,640,767,694,560
miaB,1949,1475,2361,1364,678,1451,526,538,858,1635,713,1084
minC,1233,976,1524,1006,589,1170,431,542,555,982,724,711
minD,3864,3402,4027,3361,1735,3159,1644,1723,2049,2599,1589,1954
minE,301,205,337,216,114,249,144,140,132,201,120,120
mmsA,9619,17384,4273,2935,7209,3514,1361,497,1156,937,9819,3268
mmsB,2981,5264,1411,841,2279,1100,386,158,369,292,3175,996
mnmA,758,617,853,1158,470,971,381,683,531,639,358,400
mnmC,1086,931,1080,831,417,849,407,489,435,601,508,456
moaA,2192,1926,2355,2242,1272,2054,865,1180,1141,1545,1001,1221
moaC,528,476,661,432,284,506,233,228,281,317,287,323
moaD,163,183,263,187,153,260,106,133,129,102,144,124
moaE,816,773,962,970,538,949,395,530,389,447,496,512
mobA,445,253,558,434,204,393,161,331,233,357,217,227
modE,1802,1915,1800,1995,1304,2259,1106,764,1258,934,1085,1043
moeA,4587,4057,4909,5095,2792,4852,1981,2566,2465,2227,2410,2217
mogA,1147,1126,1309,1052,578,1038,519,581,647,642,593,564
mopII,4,4,3,3,6,11,1,1,5,6,1,5
motA,4882,7118,6494,9484,5705,6155,3674,1575,2657,3369,2998,2732
motB,4856,7229,6675,9991,5993,6332,3912,1564,2972,3318,3031,2627
mpl,2529,2098,3939,2464,1309,2447,955,1337,1414,2309,1459,1679
mprA,2594,3308,2028,1157,683,903,498,418,532,783,1701,1003
mraW,9763,9877,8086,7158,4073,6733,3431,2315,3023,4138,5073,4907
mraY,1460,1266,1757,1163,669,1219,512,466,574,1150,744,852
mraZ,1942,1962,1675,1224,900,1493,543,355,572,840,1134,1116
mrcA,1182,855,1882,1140,532,1119,544,800,684,1225,538,734
mrdA,311,233,558,391,194,448,172,337,248,471,146,229
mreB (BPs_C1 191812..192856),4421,3303,7478,5188,2620,4551,1951,2274,2481,4363,2044,2659
mreB (BPs_C1 4939031..4940096),2338,2827,2375,3951,2049,2781,1655,855,1318,1063,1443,1090
mscL,3252,3171,2705,3013,1783,2945,1724,1134,1743,1513,1510,1595
msdA,1754,3497,1854,4212,2281,1302,1456,2378,969,1091,2054,949
msr0960,300,305,344,201,174,232,137,70,123,157,140,158
msrB,1287,1340,1463,1755,1067,1601,986,963,1014,796,628,693
mtgA,243,157,344,246,83,211,81,135,140,200,126,118
murA,1189,725,2307,1463,565,1455,502,1081,914,1864,554,845
murB,1063,854,1585,859,413,895,339,465,451,864,550,533
murC,4192,3227,4594,3611,1979,3635,1430,1795,1818,2874,2163,2282
murD,4081,3336,4228,3061,1671,3207,1143,1277,1473,2553,2071,1922
murE,4599,3803,5294,3172,1869,3336,1331,1408,1705,2825,2476,2259
murF,3277,2896,3775,2235,1381,2643,929,1013,1179,2046,2008,1725
murG,2072,1670,2299,1584,893,1744,670,755,780,1181,1108,1021
mutL,3606,3142,4278,3476,1801,3646,1404,1704,1838,2168,1813,1771
mutM,758,589,809,751,328,667,280,317,358,439,340,324
mutS,3678,3171,4094,3181,1761,3861,1599,1838,2033,2200,1557,1804
mutY,823,723,1014,940,432,881,334,550,460,555,425,412
nadA,2780,2432,3434,3347,1795,3398,1433,2053,1907,1969,1494,1594
nadB,1359,1142,1711,1318,699,1457,581,792,753,1066,669,791
nadC,656,523,1087,774,671,1376,351,720,532,746,579,620
nadE (BPs_C1 1194533..1196264),3053,2600,3780,2912,1577,2859,1121,1291,1510,2163,1610,1633
nadE (BPs_C1 6096466..6097321),251,230,293,383,163,329,148,268,188,134,158,119
narG (BPs_C1 2785925..2789651),285,241,740,222,186,214,1352,10063,142,13960,120,180
narG (BPs_C1 5619265..5623069),2620,3192,1923,2790,1790,2021,1235,982,1041,703,1636,1122
narH (BPs_C1 2789647..2791201),150,123,503,110,117,131,1238,4844,72,9682,62,90
narH (BPs_C1 5617739..5619269),1315,1606,1012,1274,882,1027,655,367,570,363,818,606
narI,260,313,157,259,153,208,101,44,97,71,147,116
narJ,480,582,349,476,366,401,230,102,214,132,320,248
narK (BPs_C1 2784289..2785675),95,73,162,57,37,73,167,1103,47,2791,34,34
narK (BPs_C1 5614086..5615361),235,236,199,178,140,202,106,70,102,116,142,131
ndh,4151,3883,3869,2297,1322,2179,1250,875,1138,1358,1959,1741
ndk,4388,3778,7076,4720,2154,4498,2154,2735,2890,4548,2211,3068
nirB,8940,8728,6430,2232,1322,2885,2084,608,1818,791,3625,3052
norM,452,403,492,469,237,333,162,233,195,315,213,230
nosZ,1035,555,1241,586,616,474,458,647,291,1082,404,1156
nrdB,9646,9375,8703,12593,6090,9426,5045,5211,4681,5068,4419,5073
nrdR,403,258,433,218,195,421,119,160,207,259,194,250
nth,724,606,884,609,362,686,285,367,337,562,385,391
ntpA,347,272,400,313,157,321,124,150,146,184,176,168
nuoA,822,726,1065,680,409,793,369,278,427,728,353,514
nuoB,1834,1671,2516,2000,1155,1979,921,813,1077,1936,969,1184
nuoC,2107,1629,2691,2302,1349,2162,983,1004,1294,2335,900,1283
