,WT_3,WT_2,WT_3,BvrS_1,BvrS_2,BvrS_3,BvrR_2,BvrR_1,BvrR_3,BvrSR_1,BvrSR_2,BvrSR_3
BPSL0144,598,451,750,291,165,306,129,119,135,566,229,321
BPSL0145,31,42,40,34,12,31,16,7,22,0,0,0
BPSL0146,422,355,424,216,144,234,160,119,187,16,17,22
BPSL0147,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0148,14,13,8,4,2,3,4,1,7,1,1,4
BPSL0149,50,21,28,21,7,10,13,11,14,10,10,21
BPSL0150,0,0,0,0,0,0,0,0,0,0,0,0
BPSL0151,72,34,54,18,10,17,16,16,34,34,35,27
BPSL0152,102,87,119,37,22,50,47,27,65,36,40,40
BPSL0153,53,37,51,14,8,21,19,14,21,17,10,17
BPSL0154,126,78,87,14,17,15,50,15,45,40,25,38
BPSL0155,27,23,19,7,5,6,7,4,8,13,12,15
BPSL0156,77,58,85,15,10,18,20,13,25,22,20,26
BPSL0157,59,43,33,6,3,8,12,6,17,14,8,15
BPSL0158,2,0,0,0,0,0,0,0,1,0,0,0
BPSL0159,89,84,103,46,29,34,10,11,15,51,31,36
BPSL0160,25,23,39,13,4,5,17,7,15,21,4,15
BPSL0161,3,6,6,4,2,2,3,2,4,6,5,9
BPSL0162,36,23,29,7,7,11,10,6,18,27,14,16
BPSL0163,98,75,110,43,26,46,37,33,46,43,55,42
BPSL0164,8,12,9,8,2,5,3,3,6,7,6,7
BPSL0165,14,14,21,3,4,5,3,0,2,9,7,3
BPSL0166,6,5,10,3,2,0,2,0,1,3,1,4
BPSL0167,7,5,9,1,2,1,2,0,2,2,3,2
BPSL0168,22,16,24,3,4,6,9,2,8,19,11,17
BPSL0169,173,112,144,28,14,31,34,24,55,59,69,43
BPSL0170,718,528,532,110,99,119,217,71,245,191,182,166
BPSL0171,357,259,295,50,29,55,111,30,139,122,67,84
BPSL0172,122,104,145,57,27,53,40,39,40,56,49,57
BPSL0173,703,670,763,456,496,696,230,204,309,326,467,419
BPSL0174,113,142,148,135,232,247,45,71,64,76,164,140
BPSL0175,345,358,289,297,359,421,173,125,177,180,231,256
