gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
"BCAL1147,BCAL1148,BCAL1149",50,1,15,25,28,7
BCAM1833,423,46,123,430,503,72
BCAS0263,82,7,18,65,49,18
BCAL0625,52,2,28,57,47,11
BCAM0052,23,1,10,14,17,6
BCAL1537,114,10,31,120,139,12
BCAL0544,533,71,165,489,773,98
BCAL0270,44,1,8,7,20,9
BCAL2232,41,5,38,51,74,15
BCAL2116,392,54,162,486,438,94
BCAM0771,68,6,13,53,62,10
BCAM2006,49,3,7,38,31,6
BCAS0661C,22,5,15,47,46,5
BCAS0607,41,2,22,50,23,10
BCAM1398,394,25,68,239,325,52
BCAM0486,28,2,16,31,39,5
BCAL2449,41,10,14,65,64,10
BCAL1529,67,4,21,62,54,10
BCAL1528,191,26,55,217,263,26
BCAM0780,223,32,136,297,328,59
BCAS0722,44,5,11,48,47,6
BCAM2182,28,2,13,12,22,9
BCAL2024,73,23,58,156,148,30
BCAL0193,97,9,28,78,57,23
BCAM2143,2361,230,434,2031,2270,292
BCAL1542,50,4,15,38,57,7
BCAM1828,46,2,9,33,19,7
"BCAM1237,BCAM1238",20,5,9,27,29,9
BCAM1822,159,8,32,121,98,20
BCAL2358,225,35,113,278,253,65
BCAS0683,133,11,37,184,94,14
BCAL3525,23,4,9,33,28,5
BCAL3063,20,1,16,24,25,5
BCAL0564,38,4,22,57,41,8
"BCAL1241,BCAL1242,BCAL1243,BCAL1244,BCAL1245,BCAL1246",31,1,5,17,18,4
BCAL3427,2722,293,1254,3494,2885,506
BCAL0938,26,2,7,29,14,4
BCAM1726,248,43,177,525,314,62
BCAM1557,35,3,15,41,20,8
BCAM1476,23,2,8,17,25,4
"BCAL3356,BCAL3357",249,30,90,216,313,48
"BCAL0953,BCAL0954",455,43,163,465,458,72
BCAM1975,24,9,13,67,54,5
BCAL1666,78,8,16,68,55,13
BCAL1977,56,2,25,48,34,11
"BCAL1596,BCAL1597",158,26,114,246,264,40
BCAL2027,40,4,9,46,23,6
BCAL1536,155,10,39,111,148,17
BCAM2251,297,42,101,335,366,48
"BCAL3504,BCAL3505",24,1,16,31,32,3
BCAL3365,52,8,24,76,80,7
BCAL0121,189,6,27,122,120,13
BCAL0006,20,3,14,20,38,5
BCAL0722,33,3,27,45,27,11
BCAL2284,422,44,97,407,386,52
BCAL1183,42,8,12,70,46,6
BCAM2561,180,5,41,136,118,14
BCAL1538,77,14,50,93,107,24
BCAL1952,401,36,160,407,376,65
BCAL1271,37,2,9,27,22,5
"BCAM0958,BCAM0959,BCAM0960",34,5,23,60,48,7
BCAL1177,32,4,16,31,27,9
BCAL0886,295,18,60,219,159,39
BCAL1651,34,1,11,18,23,5
BCAL1861,2300,332,1017,2734,2929,393
BCAL0887,55,5,17,36,47,10
BCAL1856,68,6,23,49,78,9
"BCAL0140,BCAL0141,BCAL0142,BCAL0143",188,15,96,241,190,26
BCAL0123,53,8,16,79,52,6
BCAM1921,66,7,26,94,55,8
BCAL3006,271,48,166,381,397,57
BCAM2644,73,2,28,59,55,8
BCAM0983,123,10,25,71,114,14
"BCAL0328,BCAL0329",612,57,222,585,549,83
BCAS0118,37,2,16,24,35,6
BCAL3255,57,1,24,41,49,6
BCAM0498,43,1,10,30,27,3
BCAL2128,125,11,42,83,156,14
BCAM2374,36,2,11,29,33,3
BCAM2444,99,4,18,58,54,10
BCAL3027,58,3,19,49,39,7
BCAL1860,655,97,284,757,761,113
BCAM2420,44,5,17,39,47,7
BCAL1614,53,5,15,35,47,8
