gene,control-0,control-1,control-2,sample-0,sample-1,sample-2
"BCAL3476,BCAL3477",8,0,1,3,7,1
BCAL0184,2,1,1,3,9,0
"BCAM2541,BCAM2542",2,1,1,1,5,1
BCAM1192,5,0,0,1,3,0
BCAM2022,5,0,0,1,3,0
BCAM2169,49,0,6,28,20,1
BCAM2424,25,1,5,7,8,4
BCAS0745,5,1,1,2,6,1
BCAM2787,6,0,0,4,1,0
BCAM0130,4,0,2,1,7,0
BCAM0930,1,0,3,1,7,0
BCAM2753,2,0,1,1,3,0
BCAS0086,2,0,1,1,3,0
BCAS0282,2,1,0,2,7,0
"BCAL2965C,BCAL2965a,BCAL2965b",5,0,3,9,2,0
"BCAM1670,BCAM1671",31,4,9,18,17,4
BCAL3233,22,4,11,29,28,3
BCAL2147,10,0,1,1,3,1
BCAL2265,9,3,4,12,22,1
BCAS0276,20,2,10,18,19,3
BCAM0006,41,1,17,35,28,3
BCAL3507,22,2,13,35,24,1
BCAL0172,6,1,1,8,1,1
BCAL2439,22,2,7,15,16,3
"BCAL3036,BCAL3037",15,2,0,5,7,2
BCAL2274,27,3,9,17,24,4
BCAM1653,2,0,1,2,2,0
BCAS0266,35,4,7,27,36,2
BCAL1124,7,1,6,17,11,0
BCAS0024,3,1,2,7,8,0
BCAM0859,12,0,2,6,2,1
BCAL2192,8,2,3,15,8,1
"BCAM0647,BCAM0648",3,0,0,1,1,0
"BCAL2473,BCAL2474",28,5,10,18,18,8
BCAL0960,18,0,3,8,7,1
BCAM0057,10,0,3,6,9,0
"BCAS0592,BCAS0593",9,0,0,5,1,0
BCAM2007,14,1,8,8,17,2
BCAL1144,30,3,11,18,17,6
"BCAM2516,BCAM2517",8,0,1,5,4,0
BCAL3528,33,2,11,19,23,4
BCAM2579,2,0,1,3,1,0
BCAM0896,4,1,1,4,9,0
BCAM0016,18,2,13,23,12,4
BCAL1151,17,2,1,10,2,3
"BCAL0629a,BCAL0630",2,0,1,3,1,0
BCAL2788,30,1,7,11,11,4
BCAL1803,9,1,1,9,8,0
"BCAL2371,BCAL2372",14,0,1,3,4,1
BCAL0560,3,0,2,3,4,0
BCAL0517,26,1,10,13,19,3
BCAM1127,8,2,3,8,14,1
BCAS0694,6,1,4,3,12,1
BCAL2678,28,0,10,13,13,3
BCAL1751,10,0,0,6,2,0
BCAL3004,6,0,2,2,1,1
BCAM0790,4,0,0,0,3,0
BCAM1948,9,0,4,5,5,1
BCAL2236,14,0,4,7,13,0
BCAM1189,6,0,4,7,7,0
BCAL1324,2,0,1,4,0,0
BCAM1410,23,2,11,23,23,2
"BCAS0707,BCAS0708",42,5,7,37,30,4
BCAL1788,1,0,1,0,3,0
BCAM2099,32,3,12,37,26,2
"BCAL1701,BCAL1702",15,1,5,8,22,0
BCAL2609,35,2,9,20,36,1
BCAL2830,8,0,6,1,0,3
BCAM2245,18,2,18,21,18,5
"BCAS0357,BCAS0358",1,0,0,0,1,0
BCAL1420,5,1,2,8,8,0
BCAS0759,18,1,4,2,3,4
BCAM1164,11,0,4,3,8,1
BCAM1733,21,2,17,15,11,7
BCAL0108,10,1,2,3,4,2
BCAM1099,7,0,2,6,4,0
BCAL1154,2,1,1,3,2,1
BCAL2814,5,0,2,0,2,1
BCAM2520,5,0,4,5,8,0
BCAM2735,4,0,0,1,2,0
BCAM0050a,18,0,0,1,0,2
BCAM2508,2,1,2,1,6,1
BCAS0183,13,1,4,7,13,1
BCAM0814,12,0,7,13,6,1
BCAL2985,4,0,0,1,2,0
BCAM2544,7,0,2,7,3,0
BCAM1213,4,0,0,1,2,0
BCAL1797,1,1,2,0,0,2
BCAM2826,9,0,2,2,3,1
"BCAS0679A,BCAS0680",11,0,3,15,3,0
BCAL0951,5,0,1,2,4,0
BCAM2292,4,0,0,1,2,0
BCAM1651,9,0,2,3,2,1
BCAL1974,22,2,1,12,9,2
BCAL0647,13,0,5,9,6,1
BCAL0178,41,4,16,27,38,5
BCAL2694,23,0,6,4,14,2
BCAM2164,26,2,8,16,11,4
"BCAM1356,BCAM1357,BCAM1358",12,1,2,8,7,1
BCAL2312,10,1,12,13,4,4
BCAL2475,25,1,2,7,17,1
BCAM1261,30,0,11,18,23,1
BCAS0101,1,0,1,1,2,0
pBCA076,1,0,1,1,2,0
BCAM0154,16,2,13,29,15,2
BCAM0029,46,2,14,32,36,2
BCAL1153,6,0,3,4,1,1
BCAL2250,4,0,0,2,1,0
BCAL0770,25,2,10,18,25,2
BCAM1288,7,1,6,4,3,3
BCAL1205,10,0,0,0,1,1
BCAM2716,29,3,14,31,25,3
BCAL2979,10,1,4,6,11,1
BCAM0059,17,3,3,9,13,3
BCAM2554,52,3,13,42,35,2
"BCAL1679,BCAL1680",9,1,3,5,3,2
BCAL0409a,2,0,7,7,4,1
BCAM2806,1,0,1,2,1,0
"BCAM2614,BCAM2615",0,0,1,2,1,0
BCAL1609,10,0,9,8,13,1
BCAL0385,32,3,7,21,27,2
BCAL3529,70,4,9,28,34,6
BCAM2130,11,1,6,8,8,2
BCAS0378,4,0,2,0,1,1
BCAM2633,16,0,5,3,7,2
BCAS0176,20,2,10,13,19,3
BCAM2209,34,0,6,14,12,2
BCAL1369,1,0,1,2,1,0
BCAM2353,11,1,2,5,2,2
BCAL2073,19,0,6,12,9,1
BCAL3168,35,6,13,34,13,8
BCAL1647,10,2,3,13,9,1
BCAL3338,7,0,0,1,4,0
BCAM1201,18,0,1,7,2,1
BCAM0846,1,0,1,2,1,0
BCAM0437,1,0,3,1,0,1
BCAM1298,5,0,1,6,0,0
BCAL0624,23,0,6,8,9,2
BCAM0329,7,2,2,7,4,2
BCAM0061,25,1,5,16,20,0
BCAM2015,7,0,0,2,3,0
BCAM0176,23,2,5,5,11,4
BCAS0252,11,2,7,4,14,3
BCAL1195,22,1,0,13,10,0
BCAM1128,36,5,10,42,35,1
BCAL0962,5,0,2,4,4,0
BCAM0479,4,0,0,3,0,0
BCAM2668,10,0,1,2,1,1
pBCA068,9,0,3,7,6,0
"BCAM1290,BCAM1291",7,0,2,2,1,1
BCAM0129,12,0,4,6,5,1
BCAS0008,3,1,3,11,5,0
BCAM1460,1,0,2,1,4,0
BCAL3481,2,1,2,1,5,1
"BCAL2657,BCAL2658,BCAL2659,BCAL2660",7,0,0,3,1,0
BCAM1209,8,1,3,8,5,1
"BCAM2140,BCAM2141,BCAM2142",78,3,13,24,50,5
"BCAL1565,BCAL1566",11,1,4,3,14,3
BCAL3176,15,0,2,8,7,0
BCAM2175,12,0,5,7,6,1
"BCAL2045,BCAL2046",15,0,4,9,10,0
BCAM1187,6,1,2,0,9,1
BCAM1107,6,1,1,3,4,1
BCAS0264,17,3,11,25,19,2
BCAM0147,8,0,3,4,8,0
BCAL1629,27,4,7,25,12,4
BCAS0713,30,3,8,20,20,3
BCAM2000,7,3,1,6,9,2
BCAL2740,11,2,11,11,21,2
BCAL1854,1,0,5,3,2,1
BCAS0295,30,2,11,21,18,3
"BCAM2655,BCAM2656",11,0,4,4,0,2
BCAL3071,4,0,2,3,4,0
BCAM2601,18,1,1,5,10,1
BCAS0747,13,1,4,9,9,1
BCAM0604,64,4,7,33,16,6
BCAM0764,21,4,3,13,10,4
BCAM1364,9,0,2,0,4,1
BCAL2271,15,0,9,10,13,1
BCAM1580,30,7,19,36,47,4
BCAM2213,33,2,3,13,17,2
BCAL2373,2,1,2,1,11,0
BCAL2459,14,1,5,13,14,0
BCAM1834,12,1,10,9,8,3
BCAL2702,4,0,1,4,1,0
BCAM2548,30,2,12,24,29,1
"BCAL3283,BCAL3284",16,1,17,25,13,2
BCAM2643,9,0,2,2,2,1
BCAL0888,16,0,1,5,8,0
BCAL1650,17,2,3,12,7,2
BCAM0360,3,0,0,0,2,0
BCAM0156,17,0,8,11,11,1
BCAM0268,11,1,3,6,2,2
BCAL0680,74,5,19,40,46,6
BCAS0729,7,0,3,5,6,0
"BCAM1417,BCAM1418",15,1,5,6,14,2
BCAM1522,26,0,8,14,14,1
BCAM1435,17,0,4,13,7,0
BCAL1030,22,0,3,11,4,1
BCAL2607,34,5,11,33,40,1
BCAM2162,0,0,1,0,2,0
BCAM0141,4,0,5,5,8,0
BCAM0682,3,0,1,0,4,0
BCAM0676,0,0,1,0,2,0
BCAL2030,7,0,3,5,6,0
BCAM1901,19,1,8,9,8,3
BCAM2068,53,4,13,28,17,7
BCAM0364,5,1,0,4,6,0
BCAM2651,0,0,1,0,2,0
BCAM1732,17,2,11,20,21,1
BCAM0428,0,0,1,0,2,0
"BCAM0713,BCAM0714,BCAM0715",36,3,7,13,5,8
BCAL0286,6,1,2,11,4,0
BCAS0413,0,0,1,0,2,0
BCAL2010,14,0,0,0,3,1
BCAL3495,0,0,1,0,2,0
BCAL1734,0,0,1,0,2,0
BCAM0361,0,0,2,0,4,0
BCAL2233,0,0,2,0,4,0
BCAL2648,29,1,5,5,12,3
BCAM2423,42,5,17,28,36,5
BCAL0924,3,0,1,1,3,0
BCAM2301,3,0,1,1,3,0
BCAL2969,69,8,40,57,60,10
BCAM1260,14,0,5,14,6,0
BCAM1935,3,0,0,1,1,0
BCAL1231,9,2,5,10,13,1
BCAM2266,6,0,1,2,4,0
BCAM1805,3,0,0,1,1,0
BCAM0015,24,9,20,47,50,3
BCAL2618,4,1,3,4,5,1
BCAL0797,44,0,10,8,16,4
BCAL3207,85,4,25,68,48,3
BCAL1112,3,0,0,1,1,0
BCAL2156,9,0,0,3,3,0
BCAL0444,4,2,2,12,8,0
BCAL1176,20,0,7,8,13,1
BCAL0588,3,0,2,2,4,0
BCAM0829,55,5,28,35,40,8
BCAL3448,3,0,0,1,1,0
BCAM2667,5,0,3,1,2,1
BCAM1900,0,0,2,1,3,0
BCAL2725,14,3,2,9,5,3
"BCAM2247,BCAM2248,BCAM2249",51,2,15,26,32,3
"BCAM2160,BCAM2161",16,1,14,16,9,3
BCAS0642,10,0,4,1,1,2
BCAM1801,21,3,8,15,15,3
BCAL2286,26,5,5,23,18,3
BCAL0737,3,0,1,2,2,0
BCAS0706,22,2,8,17,14,2
BCAM2712,72,3,23,40,36,6
BCAM2157,3,0,0,1,1,0
BCAL3380,6,0,0,3,1,0
BCAM0380,12,0,3,7,7,0
BCAL2214,6,0,1,4,2,0
BCAL0632,6,0,0,3,1,0
BCAM0481,3,0,3,4,4,0
BCAL2701,72,6,17,38,44,6
BCAL2292,45,9,24,40,76,3
BCAM1899,6,0,0,3,1,0
BCAL1264,22,0,9,10,16,1
BCAM1881,42,7,29,29,38,10
"pBCA030,pBCA031,pBCA032,pBCA033",29,1,15,21,19,3
BCAS0169,21,0,5,5,6,2
BCAM1011,0,0,1,1,1,0
BCAM1826,9,1,1,4,4,1
BCAM2331,0,0,1,1,1,0
BCAM1875,29,1,14,22,19,2
BCAL1602,0,0,1,1,1,0
BCAM0467,1,1,0,2,5,0
BCAL0460,55,3,20,29,28,6
BCAM2808,2,2,0,7,1,1
BCAM0238A,3,0,1,2,2,0
BCAL2281,11,2,1,2,1,3
BCAL0514,27,6,8,31,27,2
BCAS0710,30,3,16,29,29,2
BCAL2968,5,0,4,4,7,0
BCAM0348,19,0,2,5,5,1
BCAL2231,76,4,12,42,38,3
"BCAM2533,BCAM2534",16,0,3,10,1,1
BCAL1841,12,0,7,6,3,2
BCAM0912,40,7,22,30,52,5
BCAL1087,7,1,7,3,15,1
"BCAM1863,BCAM1864,BCAM1865,BCAM1866",9,0,1,2,3,1
BCAL0627,46,2,25,51,35,1
BCAL1457,14,0,5,11,8,0
BCAM0008,6,0,1,4,2,0
BCAM0723,28,3,7,18,14,3
BCAM2113,56,10,30,60,36,10
BCAL2753,3,0,0,2,0,0
BCAM1365,50,1,20,25,40,2
BCAL1761,27,5,12,23,12,6
BCAL0684,16,1,1,5,1,2
BCAL0735,11,6,14,17,29,4
"BCAM0516,BCAM0517",18,2,9,14,23,0
BCAL3287,78,4,13,46,30,4
BCAM1727,11,1,5,9,8,1
BCAL2936,30,5,9,20,17,5
BCAL3234,21,5,10,15,18,5
"BCAM1468,BCAM1469,BCAM1470",15,2,3,3,7,1
BCAM2546a,26,2,13,9,20,4
"BCAS0585,BCAS0586",12,0,6,4,8,1
BCAL0521,10,2,4,5,9,2
BCAL3411,37,6,11,21,24,6
BCAM2036,6,1,3,7,9,0
BCAL1816,3,0,0,2,0,0
BCAL1917,92,4,23,37,35,9
BCAM0412a,3,0,1,3,1,0
BCAM2200,20,0,7,9,11,1
BCAS0133,4,1,1,9,2,0
BCAM1766,15,0,2,2,5,1
BCAL1559,29,1,21,16,24,4
BCAL1630,79,4,37,53,44,8
BCAS0126,11,2,3,8,11,1
BCAL2827,174,3,40,63,44,16
BCAS0665,48,1,6,9,14,4
BCAL3120,88,7,37,50,64,9
BCAM2398,6,2,1,7,5,1
BCAL0195,8,0,1,3,4,0
BCAL3031,11,1,7,7,7,2
BCAL1634,8,0,0,1,4,0
BCAM0056,12,0,3,3,4,1
"BCAL1341,BCAL1342",8,0,0,3,1,0
BCAM2399,9,2,1,11,3,1
BCAL1560,33,2,23,15,18,7
BCAS0608,59,6,20,38,37,6
BCAM2163,4,0,2,0,0,1
BCAM0985,46,6,14,23,38,5
BCAM1230,0,0,1,2,0,0
BCAM2359,26,1,5,6,7,3
BCAM2171,31,1,11,9,6,5
BCAM1177,8,0,0,2,3,0
BCAM0164,12,2,2,5,6,2
"BCAL2129,BCAL2130",75,8,27,46,46,9
BCAM0457,3,1,1,5,5,0
BCAL2911,21,0,5,6,4,2
BCAM1415,58,3,11,33,24,3
"BCAL0595,BCAL0596",2,1,6,5,13,0
BCAL0822,7,1,1,2,4,1
BCAL1849,116,6,31,58,47,10
BCAL3368,13,0,1,5,5,0
BCAL3213,2,1,0,0,1,1
BCAM2307,108,7,16,68,35,6
BCAM0515,14,3,3,9,11,2
BCAL2642,52,5,27,23,52,6
BCAL3312,17,2,2,9,5,2
"BCAL2226,BCAL2227",67,8,28,40,52,8
BCAM2736,5,0,1,3,2,0
BCAS0056,9,0,2,2,1,1
BCAM2763,33,0,10,7,13,3
BCAL3073,7,0,4,9,3,0
BCAM2776,5,0,1,3,2,0
BCAL3274,95,1,12,25,24,6
BCAL3399,5,0,0,0,3,0
BCAM2090,7,1,3,7,9,0
"BCAS0340,BCAS0341",0,0,1,2,0,0
BCAM2284,12,0,2,3,8,0
BCAM2085,7,1,0,2,2,1
"BCAM0330,BCAM0331,BCAM0332,BCAM0333",52,7,24,33,32,2
BCAL0173a,5,0,0,1,2,0
BCAL0020,41,2,10,16,27,2
BCAM0454,2,0,2,3,2,0
BCAM0074,43,4,21,27,31,5
BCAL0459,14,0,2,4,2,1
BCAL2283,2,1,1,3,6,0
"BCAM1178,BCAM1179",8,0,4,5,4,1
BCAL3254,73,10,44,55,56,12
BCAM2594,12,1,6,9,3,2
BCAS0157,2,0,1,0,3,0
BCAL3512,5,0,2,6,1,0
BCAL2108,4,0,3,3,5,0
BCAS0083,12,0,0,1,0,1
"BCAL1202,BCAL1202A",6,0,1,0,3,0
BCAM2281,2,0,1,0,3,0
BCAL2273,0,0,1,2,0,0
BCAL0155,37,4,2,23,21,1
BCAL0080,41,1,12,29,12,2
BCAM0338,32,0,5,8,8,2
BCAM0064,52,2,18,41,19,3
BCAM0944,36,1,2,12,7,2
BCAL1334,23,1,8,10,12,2
BCAL1343,14,0,3,6,8,0
BCAL0021,29,0,3,9,14,0
BCAM2486,23,0,10,4,3,4
BCAL3262,21,0,4,11,3,1
pBCA004,77,4,34,51,38,7
BCAL2326,86,5,13,40,28,6
BCAL0506,18,0,7,4,7,2
"BCAM0094,BCAM0095",6,0,5,1,12,0
BCAM0058,32,0,11,14,13,2
BCAL3345,13,0,0,7,1,0
BCAM0752,25,0,1,9,8,0
BCAL2264,11,2,2,10,6,1
BCAL1089,31,4,13,24,42,0
BCAM1258,8,0,7,3,2,2
BCAS0195,4,1,0,1,1,1
"BCAL0295,BCAL0296",102,6,27,46,63,6
BCAM1820,5,0,1,5,0,0
BCAL0792,32,0,10,14,11,2
BCAM1823,10,0,3,0,5,1
BCAL0004,63,3,11,15,16,7
BCAM2519,2,0,1,1,2,0
BCAS0657,71,10,28,49,59,7
BCAL0617,73,8,28,43,35,10
BCAS0748,9,3,11,10,14,3
BCAL3198,76,6,14,40,41,4
BCAL3169,19,4,2,15,11,2
BCAS0625,7,0,1,3,3,0
BCAM0765,11,0,1,1,1,1
BCAM2448,24,1,4,11,4,2
BCAL0594,13,3,8,14,7,3
"BCAM0265,BCAM0266",48,6,20,26,16,8
BCAL2058,22,1,9,12,23,0
BCAM0877,5,0,0,2,1,0
BCAM1739,34,8,14,21,32,6
BCAS0661B,1,2,12,17,17,0
BCAM0439,5,0,3,1,1,1
BCAS0622,7,0,1,4,2,0
BCAL2306,109,13,48,89,81,9
"BCAS0192,BCAS0193",46,2,17,25,31,2
BCAM0401,4,0,2,3,3,0
BCAL2453,7,0,5,6,1,1
BCAL0859,39,5,10,23,28,3
BCAM2492,5,0,0,2,1,0
BCAM1611,2,0,1,2,1,0
BCAL0439,60,7,16,35,38,5
BCAL2397,2,0,1,2,1,0
BCAM2711,38,4,18,30,23,4
BCAS0159,4,0,2,4,2,0
BCAM2503,5,0,0,3,0,0
BCAM1089,46,3,13,23,7,6
BCAL2103,25,0,1,3,7,1
BCAM1934,2,0,1,2,1,0
BCAM0945,7,0,6,9,6,0
BCAL2005,13,1,5,8,14,0
BCAL1129,35,7,13,15,30,6
BCAS0242,6,0,3,6,3,0
BCAM2203,27,2,0,9,12,1
BCAM2351,23,1,11,12,8,3
BCAM1361,7,0,1,5,1,0
BCAL2351,128,28,54,129,104,16
BCAM0951,75,11,20,38,48,9
BCAL0449,9,0,4,2,4,1
BCAL2355,28,1,6,7,13,2
BCAS0265,6,0,2,2,5,0
BCAM1825,3,0,0,2,0,0
BCAM1140,1,3,1,3,4,2
BCAL1265,36,1,7,6,14,3
BCAL0115,139,15,32,92,93,6
"BCAL2360,BCAL2361",87,6,17,39,41,5
BCAL1291,39,9,23,40,25,8
BCAL3190,5,0,0,3,0,0
BCAL1452,34,2,20,23,6,6
BCAM0354,29,3,17,27,31,1
BCAM2197,14,1,1,3,0,2
BCAL0399,183,7,47,84,76,11
BCAM2210,79,10,17,70,28,6
"BCAL0279,BCAL0280",173,17,61,96,115,13
BCAL2990,52,1,7,16,7,4
BCAM0239a,1,0,2,0,4,0
BCAM1576,179,19,66,96,180,8
BCAM2719,8,1,1,4,8,0
BCAM1384,22,2,4,15,10,1
"BCAM2128,BCAM2129",33,6,14,30,29,3
BCAM2649,6,1,1,6,5,0
BCAM1814,43,6,10,24,21,5
BCAM0406,7,0,3,2,1,1
BCAL2940,44,4,15,21,28,4
BCAM1170,1,0,2,0,4,0
BCAL2423,55,6,15,37,30,4
pBCA029,32,3,18,24,18,4
BCAM1965,33,0,5,7,8,2
BCAS0238,6,0,4,3,7,0
BCAM1369,12,4,2,7,7,3
BCAS0119,9,0,3,1,3,1
BCAM1884,45,4,16,30,40,1
pBCA079,39,4,17,37,32,1
BCAM0513,93,6,53,45,52,13
BCAL2020,3,1,0,1,0,1
BCAM0001,207,22,104,139,139,23
BCAL1081,23,3,6,7,8,4
BCAM2262,2,1,2,4,0,1
BCAL0398,100,2,18,34,34,5
BCAM1492,19,2,6,11,15,1
BCAM2120,18,1,6,12,8,1
BCAM2079,9,1,4,4,1,2
BCAL0819,29,2,10,15,11,3
BCAL3076A,40,10,59,72,52,9
BCAS0673,10,2,4,5,6,2
BCAS0770,2,0,4,3,5,0
"BCAM0252,BCAM0253,BCAM0254",33,6,12,35,18,3
BCAL2132,60,9,17,38,50,4
BCAS0376,4,0,1,2,2,0
BCAL1914,23,0,8,6,8,2
BCAS0763,80,9,19,31,46,8
pBCA028,90,10,40,57,55,10
BCAL0057,139,9,22,69,47,8
BCAM1266,10,0,2,3,6,0
BCAM0158,13,0,1,4,5,0
BCAL0578,11,0,1,6,2,0
BCAL1102,21,3,8,27,16,0
BCAM0413,20,1,4,7,4,2
BCAL2755,17,1,4,11,11,0
BCAM2707,48,5,21,41,31,3
"BCAL2605,BCAL2606",40,1,5,10,8,2
BCAL2350,13,0,3,2,4,1
BCAM0992,59,8,22,36,47,5
BCAM1336,4,0,1,3,1,0
BCAM0339,9,1,8,10,8,1
BCAL1192,30,4,21,28,34,2
BCAL0358,32,3,0,12,16,1
BCAL0217,11,1,3,1,3,2
BCAS0668,150,24,49,90,95,18
BCAL2221,13,0,1,6,3,0
"BCAS0174,BCAS0175",43,5,18,23,17,5
BCAM1798,18,2,2,7,11,1
BCAL2994,256,19,49,116,82,21
BCAL2779,14,0,3,8,5,0
BCAL2060,7,0,3,4,5,0
BCAM1443,202,10,31,82,76,10
BCAM0803,102,11,24,54,35,11
BCAS0182,22,2,4,15,9,1
BCAL2256,8,1,2,4,3,1
BCAL3290,18,1,10,11,15,1
"BCAL2101,BCAL2102",225,13,48,86,80,20
"BCAM0923,BCAM0924",16,0,0,4,5,0
BCAM1882,71,12,36,59,38,11
BCAM1879,2,1,5,6,9,0
BCAL2318,33,1,8,15,16,1
BCAM1073,14,0,0,7,1,0
BCAM0724,22,2,4,9,2,3
BCAM1913,8,0,5,9,4,0
"BCAM0067,BCAM0068",34,3,16,26,11,3
"BCAS0619,BCAS0620",103,10,26,67,41,9
"BCAM1076,BCAM1077,BCAM1078,BCAM1079,BCAM1080",94,2,21,38,22,4
BCAL3292,13,0,3,5,1,1
BCAM0781,49,7,19,29,24,7
BCAL0435,8,0,1,1,5,0
BCAL1513,6,0,1,2,3,0
BCAM0488,20,3,6,6,6,4
BCAM1554,9,1,0,1,3,1
BCAM2083,35,3,13,27,18,2
BCAM1982,11,0,6,5,11,0
"BCAL1727,BCAL1728,BCAL1729",10,0,2,5,3,0
"BCAL1970,BCAL1971",24,1,3,13,4,2
"BCAM1105,BCAM1106",5,0,4,2,1,1
BCAM0852,5,0,2,1,5,0
BCAM0012,9,1,0,2,2,1
BCAL2272,17,0,6,7,6,1
BCAM0021,123,12,46,71,56,13
BCAM1497,104,4,21,42,40,5
BCAL2279,392,69,153,264,331,39
BCAM0075,138,20,75,107,107,15
BCAL3230,74,10,33,53,40,9
BCAL1080,27,3,11,9,21,3
BCAM2254,78,5,10,34,27,4
"BCAL0476,BCAL0477",11,1,6,10,5,1
BCAL0824,92,0,23,32,31,4
BCAL3376,26,1,9,14,8,2
BCAS0670,93,13,39,58,45,13
BCAM0678,5,0,2,2,4,0
BCAM1534,11,0,6,9,7,0
BCAM0831,9,1,6,10,4,1
BCAL2688,8,1,0,10,0,0
BCAM0326,2,2,4,6,6,1
BCAL3022,37,3,10,31,22,0
BCAL2025,326,26,97,161,170,23
BCAL1957,132,10,39,50,44,15
BCAL1130,184,27,79,138,116,19
"BCAM1714,BCAM1715,BCAM1716",31,1,4,7,7,2
BCAL3417,41,1,10,10,21,2
BCAL2681,117,13,57,47,102,12
BCAM0742,9,0,0,5,0,0
BCAL1185,96,18,37,75,70,10
"BCAM0216,BCAM0217",47,6,23,24,22,8
BCAL1166,170,18,85,118,126,13
BCAM2145,43,4,35,54,17,5
"BCAL3208a,BCAL3209",77,12,30,55,33,11
BCAL1263,87,8,35,46,56,7
"BCAL2842,BCAL2843",21,2,2,7,10,2
BCAS0090,34,1,6,15,6,2
BCAL2093,220,21,54,106,91,19
BCAL1103,2,0,1,3,0,0
BCAL1070,54,4,16,15,29,5
BCAL2905,89,3,37,59,28,6
BCAM1907,1,1,2,3,6,0
BCAM2593,20,0,2,7,7,0
BCAS0226,152,10,37,59,65,11
BCAM0354a,1,1,4,4,2,1
BCAM0148,68,10,32,46,38,9
BCAS0760,6,0,1,5,0,0
BCAL1892,574,53,168,266,286,48
BCAS0711,48,11,25,61,32,5
BCAL3167,12,0,1,4,4,0
BCAM2005A,6,2,2,10,6,0
BCAL3465,245,26,68,163,126,14
BCAM2154,21,0,5,6,7,1
BCAM2105,117,23,60,123,100,9
BCAM1706,38,9,10,24,15,7
BCAM0966,61,13,20,52,55,4
BCAL1502,27,1,7,8,10,2
BCAL2392,51,4,20,22,20,6
BCAM0565,24,1,1,4,9,1
BCAM0142,78,13,38,69,57,7
"BCAM0241,BCAM0242,BCAM0243,BCAM0244",27,3,7,19,16,2
"BCAM0203,BCAM0204,BCAM0205,BCAM0206,BCAM0207,BCAM0208,BCAM0209",0,1,2,3,2,0
BCAL1101,10,0,3,3,7,0
BCAL2354,260,36,127,199,178,24
"BCAS0757,BCAS0758",32,1,10,15,11,2
BCAM0168,22,0,3,4,6,1
BCAM0842,45,5,21,19,26,6
BCAM1541,36,5,11,16,21,4
BCAL1143,15,4,11,12,15,3
BCAS0695,7,1,2,5,7,0
"BCAM2356,BCAM2357",2,1,1,0,1,1
BCAL1389,64,7,9,33,32,3
BCAL0938a,4,0,0,0,2,0
BCAL3333,10,1,1,6,6,0
BCAM0163,23,7,32,31,30,6
BCAL0340,160,1,27,53,29,8
"BCAL1893,BCAL1894,BCAL1895",278,30,122,151,132,32
BCAM1440,28,4,14,24,21,2
BCAM2207,415,35,137,217,185,34
"BCAL1814A,BCAL1815",1,0,1,2,1,0
BCAL0117,5,0,4,5,4,0
BCAL3240,45,5,17,17,21,6
BCAL0864,10,2,7,8,6,2
BCAL0451,5,1,1,2,1,1
BCAL0427,87,8,33,22,46,11
BCAM1051,302,40,120,192,184,28
BCAM0615,1,2,1,3,3,1
BCAL3052,79,12,18,32,54,7
BCAL0790,47,27,67,106,38,20
BCAL3211,135,16,47,83,74,11
BCAM2110,1,2,1,3,3,1
BCAL1419,13,3,1,6,5,2
BCAM0157,4,0,3,5,2,0
BCAL2031,55,5,29,34,34,5
BCAS0723,348,37,152,215,197,31
BCAM1537,67,1,14,12,24,4
BCAM1489,22,3,3,12,13,1
BCAM1638,4,0,4,1,1,1
BCAL3391,24,1,1,9,4,1
"BCAL0570,BCAL0571",153,29,92,120,129,19
BCAM0991,166,20,44,70,91,15
BCAM0994,187,20,70,67,76,26
BCAM2714,13,1,5,5,2,2
BCAL0054,42,1,13,22,13,2
"pBCA037,pBCA037a,pBCA038",20,1,2,3,9,1
BCAL3002,2,0,0,0,1,0
BCAM1478,120,11,35,44,52,12
BCAM1506,2,0,0,0,1,0
BCAL1336,3,2,1,5,2,1
BCAM2184,4,0,0,0,2,0
BCAM2341,2,0,0,0,1,0
BCAM1299,2,0,0,0,1,0
BCAM0891,2,0,0,0,1,0
BCAL1402,2,0,0,0,1,0
BCAL1762,2,0,0,0,1,0
BCAL1346,2,0,0,0,1,0
BCAL0767,4,0,0,0,2,0
BCAM1667,4,0,0,0,2,0
BCAM2279,2,0,0,0,1,0
"BCAS0296,BCAS0297",5,2,2,6,10,0
BCAM0652,2,0,0,0,1,0
BCAM0897,14,1,6,3,12,1
BCAL0464,2,0,0,0,1,0
BCAM1643,2,0,0,0,1,0
BCAM1053C,7,1,3,4,9,0
BCAM1839,7,0,2,6,1,0
BCAM2610,9,0,4,7,4,0
"BCAL3121,BCAL3122",228,19,74,112,131,12
"BCAL1218,BCAL1219",7,1,5,2,3,3
BCAM0751,23,4,8,16,22,1
BCAL0088,6,0,5,6,5,0
BCAL2744,29,1,6,13,10,1
BCAL1534,13,2,5,7,11,1
BCAL1138,47,10,27,36,36,7
BCAL1447,490,34,132,216,177,37
BCAL2042,7,1,3,5,2,1
BCAS0672,785,120,450,545,536,98
BCAS0716,501,71,228,372,310,45
BCAL1040,228,17,54,104,99,13
BCAL1592,9,1,5,5,6,1
BCAM0053,60,4,14,24,23,4
BCAL2840,209,8,37,67,73,10
"BCAL0494,BCAL0495,BCAL0496",309,29,123,186,158,25
BCAL1287,16,0,4,5,3,1
BCAS0123,15,2,7,12,4,2
BCAL0905,7,0,5,4,1,1
