,SN148_R1 TPM,SN148_R2 TPM,SN148-w-Ca_R1 TPM,SN148-w-Ca_R2 TPM,crz1_R1 TPM,crz1_R2 TPM,crz1-w-Ca_R1 TPM,crz1-w-Ca_R2 TPM
C1_08390C_A,15.2006,15.0294,21.7779,21.4853,8.09987,6.87934,17.1959,17.1936
C1_08390C_B,15.2006,14.7586,19.9985,19.8637,18.8371,19.4944,13.4753,12.7843
C1_08400C_A,41.0541,40.3873,28.801,29.9012,59.5519,60.9969,27.9076,27.5217
C1_08400C_B,50.597,49.1249,35.8775,33.0342,59.5519,55.6169,22.7265,21.9678
C1_08410C_A,92.6042,88.3287,26.3762,31.5126,111.564,103.154,62.2134,53.8542
C1_08410C_B,66.3483,66.6812,35.5636,29.021,100.723,103.154,43.8043,48.6391
C1_08420W_A,22.3037,23.5787,19.9405,18.4202,26.6776,29.1393,17.3509,17.7163
C1_08420W_B,23.6913,21.5986,22.3965,22.9556,24.2913,20.764,22.7768,21.5043
C1_08430W_A,92.5498,90.4863,65.5404,61.557,121.319,118.331,66.1981,66.8792
C1_08430W_B,61.157,59.7649,33.4929,35.2282,112.381,107.509,41.6916,38.5717
C1_08440C_A,20.3679,19.9571,17.4453,17.0492,38.9071,38.0937,6.66486,6.5142
C1_08440C_B,20.3679,19.9571,17.4453,17.0492,38.9071,38.0937,6.66486,6.5142
C1_08450C_A,116.26,109.29,107.988,102.989,141.347,133.701,88.1115,75.2746
C1_08450C_B,111.336,106.502,145.972,124.719,71.8308,62.946,79.4804,75.2746
C1_08460C_A,30.4539,28.1459,22.0873,21.2397,53.75,58.0895,11.4453,10.3118
C1_08460C_B,33.3398,33.802,12.5449,12.2093,39.5843,33.2934,11.4453,11.6333
C1_08470W_A,55.8131,54.6874,50.0363,48.9004,68.6575,67.222,41.3057,40.372
C1_08470W_B,55.8131,54.6874,50.0363,48.9004,68.6575,67.222,41.3057,40.372
C1_08480C_A,36.6048,49.2588,40.1312,39.2201,87.4305,71.0129,47.4105,59.0951
C1_08480C_B,56.2887,41.761,27.2967,26.677,40.0057,53.7589,38.2457,24.6249
C1_08490W_A,31.8013,32.8735,33.6194,34.1123,73.7504,72.5518,48.1614,46.8016
C1_08490W_B,25.2829,23.7449,12.0483,10.5186,4.15159,3.72153,1.79289,2.02348
C1_08500C_A,3963.16,3922.23,2920.95,2848.22,4727.71,4616.31,3789.9,3672.07
C1_08500C_B,4060.54,3930.7,2990.85,2915.66,20.3234,24.3784,26.1008,51.7539
C1_08510W_A,36.0431,36.4043,9.6649,18.4346,63.3755,51.7996,31.614,30.8993
C1_08510W_B,44.1124,40.8904,34.2057,22.6737,14.4321,26.9838,13.738,13.4275
C1_08520C_A,101.977,98.8089,45.0151,43.9932,89.9382,88.0578,71.1593,69.5507
C1_08520C_B,101.977,98.8089,45.0151,43.9932,89.9382,88.0578,71.1593,69.5507
C1_08530W_A,5.62158,6.62828,24.7437,15.9413,25.6883,25.1512,57.1605,54.9562
C1_08530W_B,9.4813,8.16997,15.3828,23.2742,7.9379,7.77194,35.7321,35.8366
C1_08540C_A,45.6065,45.0202,72.4003,67.827,37.4028,42.7025,26.5431,29.4465
C1_08540C_B,47.5681,46.2751,55.2307,56.1128,56.5288,47.5109,36.1928,31.4433
C1_08550C_A,140.416,143.498,112.872,123.735,146.775,151.799,43.546,54.8351
C1_08550C_B,143.743,143.498,139.72,133.141,134.236,129.662,93.0005,84.7981
C1_08560W_A,86.4689,80.6346,70.5754,71.9915,78.8589,71.6537,46.8094,42.5789
C1_08560W_B,58.7704,61.3052,30.1227,26.4205,53.4194,57.8591,40.3178,42.5789
C1_08570C_A,13.8425,14.9059,62.0091,56.9177,20.3748,12.5792,26.7096,28.305
C1_08570C_B,13.8425,11.7408,54.4706,56.9177,5.32089,12.5792,26.7096,23.9066
C1_08580C_A,33.3325,34.563,17.3543,16.9693,24.5217,26.7674,13.6123,16.9374
C1_08580C_B,20.752,17.9149,39.9744,34.6638,24.5217,21.2506,27.9997,22.9442
C1_08590C_A,176.452,165.071,96.1532,86.9777,227.936,222.528,89.5643,81.9438
C1_08590C_B,178.111,177.933,74.0308,77.5543,251.999,244.739,50.5169,53.6853
C1_08600C_A,43.496,39.1325,25.027,23.703,39.6424,36.457,21.8124,21.0503
C1_08600C_B,37.4906,40.2206,28.3085,28.0368,32.4217,34.1004,28.4732,28.0986
C1_08610C_A,379.81,365.825,1566.02,1494.09,181.498,154.292,494.326,479.415
C1_08610C_B,407.449,403.101,1319.21,1322.16,199.432,218.674,517.35,511.271
C1_08620W_A,40.1618,41.4252,79.8986,75.9516,44.0809,48.2099,42.6144,42.0616
C1_08620W_B,30.7091,28.955,20.9689,19.9602,20.0152,14.5461,22.024,23.9903
C1_08630W_A,14.8885,15.5225,13.0898,12.403,3.39499,3.50334,9.11074,7.72109
C1_08630W_B,13.9562,13.693,10.9082,12.403,13.5772,14.1105,14.5251,15.3805
C1_08640W_A,35.7806,34.6251,35.0735,33.0454,35.8232,33.2593,34.4182,32.976
C1_08640W_B,35.7806,34.6251,35.0735,33.0454,35.8232,33.2593,34.4182,32.976
C1_08650C_A,36.1844,35.2272,41.165,44.0589,45.7093,48.9915,55.2177,51.693
C1_08650C_B,15.8848,16.6233,34.5984,29.9845,28.3949,23.5634,40.7996,43.4272
C1_08660C_A,9.12876,8.00566,14.6173,10.6522,11.7103,11.4655,16.4946,15.6813
C1_08660C_B,14.8788,15.5177,4.06794,7.60885,11.7103,11.4655,22.9915,22.9123
