,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
CR_01240C,459,601,668,272,7227,337,6241,2935,2221,3605,2519,2000
CR_01250C,0,1,0,0,0,0,0,0,0,0,0,0
CR_01260W,90,84,71,55,1524,28,2423,767,479,914,386,319
CR_01270C,111,81,156,56,2737,37,3529,854,605,1173,713,184
CR_01280C,88,80,164,58,1473,75,1307,350,250,303,405,768
CR_01290C,651,727,673,570,7232,310,7505,2902,1981,5674,3811,1641
CR_01300W,18,9,0,2,11,27,84,25,4,22,6,5
CR_01310W,72,111,208,114,1159,12,1102,1112,655,1122,1048,910
CR_01320C,156,178,182,66,2845,36,3078,1086,649,2539,1081,1015
CR_01330W,134,113,205,13,477,47,628,636,442,626,480,198
CR_01340W,0,0,0,0,13,0,0,7,0,8,6,0
CR_01350C,316,282,256,394,2540,127,1937,1006,669,2156,1382,577
CR_01360W,46,70,61,58,268,47,354,224,112,475,214,310
CR_01370C,949,874,673,351,7454,160,14609,3890,2781,5185,3794,2218
CR_01380W,113,143,108,69,2251,8,1940,1188,626,1507,922,88
CR_01390W,1168,1492,1536,793,15979,438,5778,3318,2867,5140,4030,4533
CR_01400W,442,906,384,1021,6239,830,3275,1776,1436,5582,2472,3259
CR_01410C,236,380,485,70,1781,58,1780,1355,700,706,864,661
CR_01420W,298,331,269,196,3432,94,1442,1027,659,2393,1378,1756
CR_01430W,5,18,4,1,1406,30,460,196,120,473,211,80
CR_01440C,565,582,552,702,16557,442,3764,3849,3169,6143,10206,12367
CR_01460C,0,0,0,0,17,0,0,2,0,9,3,0
CR_01470W,206,429,572,113,3599,149,4137,1249,607,1300,495,338
CR_01480W,135,255,33,217,3613,165,4052,937,545,1943,980,611
CR_01490C,298,240,249,296,5822,43,2507,938,1049,2367,1449,2045
CR_01500W,186,365,377,144,2753,123,2569,933,1230,2197,1494,738
CR_01510C,0,2,0,0,2,0,0,0,0,0,1,0
CR_01520W,738,919,691,281,8060,301,8989,3231,2290,5926,3338,2579
CR_01530C,0,5,0,0,477,1,1,3,0,0,1,2
CR_01540W,33,47,92,66,757,66,1409,485,384,1790,601,872
CR_01550C,85,177,9,25,862,50,2858,573,321,618,552,15
CR_01560W,34,46,30,3,201,26,795,130,80,257,169,139
CR_01570W,97,131,45,38,420,41,814,297,227,609,364,191
CR_01580C,304,298,554,139,1090,122,806,1061,575,1794,1076,690
CR_01590C,896,1083,599,528,13203,629,5733,2683,1822,4883,3502,2769
CR_01600C,37,95,77,19,1777,28,2855,877,327,721,633,36
CR_01610C,572,689,647,509,4156,417,3688,1407,1429,4708,2521,3300
CR_01620C,6110,11978,11038,5150,80353,6830,33060,27096,19845,37665,26881,24506
CR_01630C,0,0,0,0,38,0,1,5,9,45,21,2
CR_01640C,0,0,0,0,20,0,0,1,0,11,10,0
CR_01650W,412,752,417,226,4911,120,6022,1785,797,1685,1251,1154
CR_01660C,583,550,185,380,4020,308,2113,811,711,1452,1047,1509
CR_01670W,60,76,40,12,275,0,1433,385,198,394,290,175
CR_01680C,585,552,430,480,8328,193,5140,2933,2310,9717,5555,3914
CR_01690C,4335,5997,3848,3260,50134,2712,30192,19062,12932,35338,24274,15021
CR_01700C,197,261,241,70,2277,4,1858,886,603,1503,1086,650
CR_01710W,142,145,137,7,675,11,527,203,123,263,236,42
CR_01720W,50,49,8,72,926,60,803,402,247,2348,773,491
CR_01730W,50,92,98,188,620,167,662,314,408,872,476,792
CR_01740W,399,421,164,235,3464,91,4094,1308,1001,2571,1170,367
CR_01750C,325,394,119,168,2260,72,3668,1465,1547,3934,1991,914
CR_01760C,2986,2838,2142,1435,29976,1205,20748,8111,6874,12924,10536,7807
CR_01770C,57,117,62,123,2503,344,1067,650,557,3667,1745,1557
CR_01780W,100,95,24,24,837,28,2344,873,491,681,694,158
CR_01790C,0,9,11,0,389,12,246,207,173,1070,337,235
CR_01800C,12,60,24,28,182,27,340,108,78,346,146,38
CR_01810C,0,16,2,0,56,0,192,35,28,55,46,55
CR_01820W,426,400,163,164,3713,146,5945,2375,1644,4009,2671,1347
CR_01830C,0,0,0,0,5,0,0,0,0,0,4,0
CR_01840W,0,0,0,0,0,0,0,0,0,0,4,0
CR_01850C,0,0,0,0,0,0,0,0,0,0,0,0
CR_01860W,0,0,0,0,0,0,0,4,1,0,0,0
CR_01870C,0,0,0,0,4,0,0,0,0,2,4,0
CR_01900C,0,0,0,0,5,0,1,4,2,1,8,0
CR_01910C,11,0,0,0,31,0,0,19,9,7,66,24
CR_01920W,0,63,0,0,19,0,0,9,1,15,18,4
CR_01930C,6,2,25,57,148,34,100,49,34,198,152,13
CR_01950W,800,808,812,234,3231,228,4254,1953,1411,1788,1813,1303
CR_01960C,78,82,3,60,1106,4,1419,348,260,811,381,153
CR_01970C,616,709,393,348,10296,198,7422,2591,1969,7849,4023,2973
CR_01980C,263,389,161,164,1325,46,755,1005,705,1391,1058,574
CR_01990C,74,74,108,47,1579,21,2803,624,333,1108,564,58
CR_02000C,481,796,804,216,8069,167,4147,2480,2324,2735,2847,841
CR_02020C,121,173,38,9,141,2,1108,737,399,127,100,275
CR_02030C,151,169,312,55,2908,86,1680,462,254,507,520,211
CR_02040W,192,125,77,169,6052,174,2757,1178,885,3800,1655,2099
CR_02050C,332,442,463,215,4320,268,5359,1869,1305,3048,1944,1265
CR_02060W,66,128,28,94,531,180,401,224,197,766,528,214
CR_02070C,21,36,122,449,1117,260,355,154,274,4616,997,2880
CR_02090C,328,421,69,221,2077,128,3356,2004,1411,2996,1972,2589
CR_02100C,27,66,54,48,246,50,462,244,163,572,194,212
CR_02110W,382,647,585,408,5357,205,3248,1940,1314,4193,2713,2480
CR_02120C,17,72,28,40,118,31,196,107,119,104,122,39
CR_02130W,0,3,0,0,4,0,0,4,0,0,1,0
CR_02140W,5,0,0,0,3,0,0,6,0,22,2,0
CR_02150W,175,158,221,122,4373,116,1785,1049,658,2805,1508,782
CR_02160W,94,129,11,90,2393,58,1369,632,508,2007,1083,575
CR_02170W,300,439,372,477,5625,427,1286,1317,1196,3745,2043,2177
CR_02180W,0,2,0,12,169,0,32,46,33,275,151,47
CR_02190C,148,139,66,78,1408,121,1066,377,361,977,690,575
CR_02200C,307,406,316,351,2867,612,1895,634,541,1815,978,1322
CR_02210W,512,652,541,368,4911,209,4095,1568,1502,4655,3020,1881
CR_02220C,0,8,2,0,148,22,158,166,106,645,185,110
CR_02230W,0,0,0,0,0,0,0,1,0,0,0,0
CR_02240C,0,7,0,7,49,0,82,28,10,45,41,52
CR_02250C,207,290,73,243,1523,233,2588,909,633,2266,1340,1761
CR_02260C,13,7,3,18,952,0,160,107,87,239,105,130
CR_02270C,1,21,0,0,104,0,185,111,62,171,100,65
CR_02280W,0,18,1,27,25,0,90,10,15,20,27,33
CR_02290W,0,0,0,0,3,0,0,3,0,0,3,0
CR_02300C,85,165,359,229,3712,168,1363,821,654,2942,1534,1172
CR_02330C,0,3,0,0,10,0,0,10,15,4,6,0
CR_02340W,0,0,0,0,0,0,0,0,0,0,0,0
CR_02350C,3,34,9,34,1847,61,574,403,326,2084,1069,834
CR_02360W,384,405,374,563,7175,300,2726,1087,848,3287,2000,798
CR_02370W,200,465,86,101,3194,141,6155,2214,792,1868,1281,564
CR_02380C,90,56,22,34,337,28,2834,347,147,721,285,46
CR_02390W,208,319,434,187,3699,415,2046,963,1087,2444,1679,1098
CR_02400W,0,0,0,0,8,0,5,8,2,78,18,0
CR_02410W,50,46,22,45,657,9,840,438,314,1619,714,462
CR_02420W,248,185,263,82,566,3,1523,436,348,416,436,371
CR_02430C,314,314,242,120,8547,142,4525,3100,2374,4741,3048,1812
CR_02440W,0,0,0,1,15,0,48,19,38,67,22,103
CR_02460W,28,80,5,102,601,19,739,391,269,1614,511,1277
CR_02480W,0,0,0,0,6,0,0,1,0,0,4,0
CR_02490W,0,7,0,26,50,9,14,4,1,287,32,0
CR_02500W,85,168,37,58,1275,31,1430,302,175,457,320,389
CR_02510W,119,157,444,48,3320,61,1186,589,822,2244,1206,1423
CR_02520W,215,232,227,70,4581,58,5378,824,558,381,555,164
CR_02530W,1614,1783,1739,403,9512,516,6400,4311,2772,4773,4441,2085
CR_02540W,247,165,286,68,3114,67,8661,2177,1216,1734,1534,496
CR_02550C,138,209,260,30,553,153,1976,512,244,512,485,152
CR_02560C,255,355,178,149,2814,124,5947,1465,1058,3289,1735,717
CR_02570C,0,21,0,11,164,0,308,76,57,118,136,3
CR_02580W,168,268,281,137,4301,203,3890,1165,797,1302,969,208
CR_02590C,72,104,46,61,2354,16,523,414,215,1580,610,206
CR_02600W,6,7,9,4,85,1,288,90,19,137,65,0
CR_02610C,322,437,518,228,5282,206,6091,1868,1616,3124,2342,1840
CR_02620C,531,234,108,142,3878,126,11361,2549,1600,3987,1697,854
CR_02630C,19,68,67,16,212,0,1734,251,104,442,147,0
CR_02640W,254,439,497,227,5619,73,3913,1154,1032,2348,1460,1598
CR_02650C,163,141,49,58,2246,6,3968,721,387,1350,617,214
CR_02670C,102,124,103,70,466,6,469,256,265,906,493,612
CR_02680W,84,127,101,10,764,3,3339,638,374,1600,583,177
CR_02690W,95,60,153,46,425,73,1834,446,235,848,416,372
CR_02700W,140,135,45,30,410,13,1368,388,169,417,301,12
CR_02710W,321,441,220,114,3670,56,6589,1628,629,1775,1372,406
CR_02720C,335,176,117,51,656,51,2982,769,433,1122,546,446
CR_02740W,127,81,15,53,2251,33,1159,623,528,1219,984,333
CR_02750C,0,0,0,1,36,44,0,0,1,39,18,1
CR_02760C,60,115,57,73,677,167,1472,444,318,779,579,142
CR_02770C,154,149,10,107,622,92,1771,642,373,1263,655,460
CR_02780W,0,7,0,3,7,0,1,5,0,18,6,0
CR_02790C,123,103,57,39,406,14,1118,343,149,493,412,206
CR_02800C,19,9,1,2,112,1,60,39,31,330,76,62
CR_02810W,0,55,40,54,231,56,68,72,87,1125,259,652
CR_02820W,454,542,370,576,8208,522,7129,2649,1492,8964,3176,3840
CR_02850C,266,319,433,110,3177,45,3050,780,853,1502,994,826
CR_02860W,1215,686,268,489,6363,244,6768,3892,2212,8647,4480,3245
CR_02870W,181,461,291,524,3753,338,6256,1730,1297,3477,2139,1480
CR_02880W,1,7,62,0,37,11,51,27,60,56,39,29
CR_02890C,165,335,273,76,2814,155,9782,2407,1118,1981,1348,327
CR_02900W,0,0,0,0,5,0,3,4,0,27,5,0
CR_02910W,24,77,62,62,940,26,482,318,248,1853,842,697
CR_02920C,3,7,2,1,26,0,33,64,65,53,15,135
CR_02930W,288,669,644,326,6485,408,5130,2249,1593,9639,4635,5355
CR_02940C,68,39,2,38,138,2,172,215,74,276,137,119
CR_02950C,428,506,475,228,2989,98,6418,2123,1453,3805,1793,1775
CR_02960W,17,17,1,1,97,0,150,89,62,480,74,6
CR_02970C,190,222,179,150,6117,281,2513,1633,1028,3570,1967,1494
CR_02980C,1417,1654,678,370,8807,321,6365,3017,1685,3383,3347,2115
CR_02990C,190,192,124,184,1343,152,935,505,518,1245,720,1166
CR_03000C,36,72,176,47,2716,8,441,120,106,262,229,177
CR_03010C,149,136,80,172,1886,141,603,295,216,826,432,966
CR_03020C,341,352,241,308,1211,314,2936,1032,515,2853,1128,1492
CR_03030C,11961,14407,9156,5733,77542,4310,77988,38874,34554,52945,33885,28433
CR_03040C,32,50,5,42,158,135,112,176,138,373,184,158
CR_03050C,56,128,188,35,1084,4,437,271,232,841,420,443
CR_03060W,3008,3986,3445,1683,25872,2261,13431,4751,4540,8317,7968,12469
CR_03070W,173,330,323,198,2476,284,2318,1025,634,2204,1032,2032
CR_03080C,39,52,39,57,317,2,884,252,161,351,254,190
CR_03090C,459,804,236,573,10152,664,5000,2198,973,3961,2250,933
CR_03100W,303,449,443,170,4404,71,2270,1011,690,2977,1670,1262
CR_03110W,224,221,153,78,4264,183,1175,924,684,1588,1088,1216
CR_03120W,303,363,361,338,3683,362,4000,1121,913,5640,2468,1921
CR_03130W,27,97,63,16,103,17,282,145,104,116,84,125
CR_03140C,55,48,52,23,1252,43,165,95,88,356,193,196
CR_03150W,335,282,290,225,5634,210,4080,1188,590,4013,1786,1400
CR_03160W,153,64,6,25,1115,15,971,259,194,490,310,85
CR_03170W,3235,4220,2460,2064,32013,2184,19827,10209,6676,21122,14406,13236
CR_03180W,115,98,49,47,462,59,1186,414,282,725,473,78
CR_03200C,107,225,198,40,1011,54,2090,892,632,998,970,219
CR_03210C,84,89,58,46,461,2,1569,346,222,616,408,117
CR_03220C,66,17,0,47,83,0,60,78,51,266,106,199
CR_03230W,156,147,111,28,1895,114,1146,465,334,1759,696,902
CR_03240C,147,150,3,64,1324,113,1991,403,186,1174,642,362
CR_03250C,84,105,296,83,511,87,880,362,483,821,492,256
CR_03260W,12,10,0,8,72,1,71,51,54,134,48,168
CR_03270W,40,50,87,36,147,1,356,133,133,229,159,198
CR_03280W,490,668,756,775,11406,511,1994,2146,1164,3131,2533,2165
CR_03290C,0,0,0,0,10,0,44,5,0,6,19,0
CR_03300C,0,2,0,0,17,0,0,4,10,33,7,23
CR_03310C,136,78,147,66,620,82,1047,415,343,827,602,353
CR_03320C,105,133,29,42,623,67,1459,446,303,1119,566,143
CR_03330W,123,120,32,41,609,20,568,277,185,670,487,550
CR_03340C,39,72,198,43,1010,44,510,181,201,785,446,1262
CR_03350C,323,326,370,199,6586,227,4351,1998,1338,3841,2147,1404
CR_03360W,454,296,183,42,1428,14,3222,705,366,671,715,97
CR_03370C,144,171,122,75,2007,49,2090,734,501,687,856,153
CR_03380W,210,169,172,49,526,106,1289,452,333,684,541,481
CR_03390C,50,58,44,88,1009,19,451,275,303,915,450,302
CR_03400W,409,679,247,453,8005,600,5187,3038,2243,6714,3866,2012
CR_03410W,55,95,14,64,464,17,1237,294,198,1038,359,520
CR_03420C,203,411,212,189,3064,34,1806,961,923,2169,1419,1306
CR_03430W,50,54,5,17,381,0,744,170,239,312,269,23
CR_03440W,0,0,0,0,7,0,0,4,0,0,4,49
CR_03450W,0,0,0,0,0,0,0,5,0,0,1,0
CR_03460W,129,209,40,132,765,94,862,429,340,923,536,360
CR_03470W,90,160,322,149,1761,54,953,525,370,1070,599,1084
CR_03480W,0,0,0,6,14,0,29,8,5,0,9,0
CR_03490W,13,17,3,8,314,7,289,216,164,592,218,330
CR_03500W,99,195,589,41,2535,13,4407,917,1493,643,1408,717
CR_03510W,0,26,0,0,6,0,1,1,1,26,10,0
CR_03520C,228,347,284,446,3403,376,1622,1156,823,2754,1626,1394
CR_03530W,1531,1708,1509,692,14391,468,12553,5272,4258,8473,5368,3609
CR_03540W,118,118,68,57,341,14,770,344,118,431,347,213
CR_03550W,374,217,59,78,1710,14,2178,820,462,1122,965,943
CR_03560W,33,62,35,24,292,238,308,99,149,226,238,73
CR_03570C,163,108,81,4,1858,65,1498,666,391,331,398,119
CR_03580C,0,13,0,0,1,0,0,6,12,14,4,0
CR_03590C,0,0,0,0,12,0,0,2,10,2,8,2
CR_03600C,618,553,227,337,2507,550,3859,1463,737,2276,1506,829
CR_03610C,519,923,356,526,11857,351,9159,4456,2295,6991,3489,3550
CR_03620C,7,52,26,36,263,1,107,56,13,387,203,309
CR_03630W,0,0,0,0,8,0,0,1,0,2,5,9
CR_03640C,268,334,59,191,977,12,1506,775,409,1560,857,665
CR_03650W,400,379,219,147,7347,154,5058,2281,1384,3258,2780,767
CR_03660C,228,179,47,58,825,22,2664,796,564,799,818,87
CR_03670W,0,4,0,0,10,1,0,0,0,18,7,0
CR_03680C,259,501,217,202,8110,63,4232,1576,899,3885,2071,800
CR_03690W,15,39,11,55,225,70,258,136,101,779,191,137
CR_03700C,136,211,42,108,6266,131,1399,678,686,1977,1285,1326
CR_03710C,27,21,1,2,83,3,180,84,48,100,76,3
CR_03720W,2475,4203,4317,4073,40690,3680,13767,9481,7731,18098,15723,14979
CR_03730C,0,26,5,0,184,0,175,124,179,314,165,197
CR_03740C,230,144,97,141,917,48,2200,625,385,878,484,309
CR_03750C,62,139,191,17,1021,45,991,422,203,414,345,2
CR_03760W,230,171,98,107,3031,15,2740,800,535,750,654,342
CR_03770C,2583,3744,2499,771,31580,642,30403,10152,9015,11402,10257,3114
CR_03780C,1,7,3,19,28,43,50,45,27,160,55,77
CR_03790C,59,20,2,52,303,28,702,183,131,429,299,0
CR_03800C,12,67,8,43,210,108,214,127,69,454,222,306
CR_03810W,3,32,10,21,939,8,0,71,57,525,212,403
CR_03820C,27,59,31,51,392,57,865,292,195,848,321,227
CR_03830C,315,442,379,193,4615,474,3016,1431,866,4072,2306,1856
CR_03840C,22,18,9,4,109,0,338,130,82,42,136,0
CR_03850W,36,49,2,71,359,70,588,129,119,725,220,160
CR_03860C,115,205,276,185,974,80,3916,958,504,1927,804,611
CR_03870W,101,105,65,217,385,21,142,256,202,544,250,393
CR_03880W,0,0,0,0,4,0,0,0,0,0,5,2
CR_03890W,45,27,61,236,4423,178,496,112,106,2940,1962,1194
CR_03900W,235,324,139,219,2211,217,1740,616,676,1883,1001,1421
CR_03910C,133,118,35,84,1016,132,1280,398,477,1285,937,590
CR_03920C,177,153,158,9,2511,11,1617,1155,909,933,823,598
CR_03930C,44,47,3,28,962,1,905,397,281,450,360,171
CR_03940W,152,172,189,45,3221,50,2760,666,405,473,612,495
CR_03950W,161,219,183,48,4468,69,3830,779,431,783,661,166
CR_03960C,70,57,8,15,925,103,366,236,158,411,233,46
CR_03970C,57,124,68,65,2012,38,2089,767,291,1545,697,411
CR_03980W,123,90,135,64,322,3,499,205,137,268,334,157
CR_03990C,415,560,184,279,3154,243,7019,2451,1748,4502,2275,1833
CR_04000W,531,645,324,511,8630,367,4782,2949,1972,8165,3258,2293
CR_04010C,815,1044,567,349,8741,583,8500,2705,1891,3614,3145,1184
CR_04020C,0,0,0,0,16,0,56,9,5,7,22,0
CR_04030W,15,42,3,42,868,54,1163,426,376,2090,843,794
CR_04040C,22,55,49,11,392,3,386,332,182,994,331,117
CR_04050C,667,764,628,323,5841,309,4883,2102,1740,3089,2373,1658
CR_04060C,100,42,8,569,2252,175,432,178,240,4093,728,2820
CR_04070W,78,26,20,27,424,69,678,603,231,1047,372,660
CR_04080C,1000,1284,801,1089,15051,815,8998,4254,2806,13184,7105,4729
CR_04090C,3543,5155,3432,3237,31699,3703,19475,11129,8688,26997,16899,17740
CR_04100C,16785,23534,19731,8153,126398,4884,150484,63316,46194,65087,47282,43897
CR_04110W,261,332,189,54,1667,79,1546,761,658,854,829,423
CR_04120C,74,140,60,83,3407,34,1851,926,708,2259,1030,964
CR_04130C,216,373,277,160,2015,145,1429,1041,599,2072,1112,1578
CR_04140W,1255,1514,890,464,8940,524,13121,4294,2823,5781,4381,3007
CR_04150W,20,34,4,0,131,2,368,173,106,177,122,0
CR_04160C,514,929,206,139,2556,236,4575,1848,980,2384,1597,1014
CR_04170W,2228,2380,1403,275,12080,286,10677,4938,3637,4107,4358,3396
CR_04180C,329,428,441,331,3503,662,2659,1744,1242,4546,2222,2493
CR_04190W,603,773,985,951,9344,548,4158,2184,1915,6709,4151,3606
CR_04200W,2314,2248,2403,1282,22901,911,15362,6963,5926,10927,8868,7083
CR_04210C,212,275,396,961,9099,1107,3660,1691,2300,8684,7088,5358
CR_04220C,0,0,0,0,6,0,0,4,3,1,3,0
CR_04230W,54,98,6,75,1450,2,1084,477,334,1528,693,763
CR_04240C,1739,2565,1460,500,17708,543,15856,7807,5788,5510,6072,3621
CR_04250W,0,0,0,0,7,0,0,1,0,6,8,0
CR_04260W,168,162,87,67,1812,6,2074,471,287,842,505,437
CR_04270C,6,25,39,20,732,2,0,79,68,248,100,49
CR_04280C,23,67,7,25,1609,6,1527,610,341,953,431,172
CR_04290W,52,13,16,9,143,0,938,104,75,313,152,1
CR_04300W,2047,2567,1106,840,14818,972,13651,7187,4185,10238,6663,5440
CR_04310C,52,32,30,80,359,0,1224,437,281,1022,295,57
CR_04330W,23,90,139,74,482,16,464,220,183,594,413,211
CR_04340W,1489,1722,774,1071,13722,683,10864,5264,3928,12703,6774,7241
CR_04350C,126,122,66,138,3031,253,545,397,224,1655,663,284
CR_04360C,1972,1568,878,405,5870,368,9752,2961,2249,2958,2347,1554
CR_04370W,22,65,75,30,208,2,859,172,143,158,187,125
CR_04380C,1735,1981,1352,1825,27979,1125,18334,7836,5451,22522,11989,6034
CR_04390C,191,121,101,125,3013,21,1622,538,591,1390,911,571
CR_04400W,0,7,2,0,22,0,0,20,32,0,13,0
CR_04410W,27,18,0,1,97,1,552,142,61,216,73,1
CR_04420C,0,5,1,7,29,1,0,35,18,0,38,7
CR_04430W,0,0,0,0,0,0,0,0,0,0,0,0
CR_04440C,0,119,0,0,3,0,0,8,4,0,3,75
CR_04450C,599,498,590,271,6035,537,2531,1835,1390,3787,2151,1753
CR_04460C,29,42,1,22,1285,1,153,75,68,410,139,178
CR_04470W,26,20,21,41,154,28,310,92,56,255,171,33
CR_04480C,18,10,10,75,637,71,106,61,43,1169,182,476
CR_04490C,82,64,41,43,393,83,288,111,110,429,265,61
CR_04500C,148,246,157,80,561,238,475,431,233,537,481,169
CR_04510W,3938,5513,5683,17611,82371,19680,16363,12744,14646,90943,35350,74975
CR_04520W,140,129,177,109,1145,68,937,430,416,1272,555,786
CR_04530W,599,860,273,576,11311,605,6681,3104,2429,4507,4015,3039
CR_04540C,51,32,12,23,55,4,324,110,72,88,61,8
CR_04550W,30,57,1,5,147,13,229,48,118,300,164,171
CR_04560C,242,248,334,109,1104,9,1249,619,555,778,721,346
CR_04570C,581,701,455,735,7696,578,4985,1979,1607,6513,3710,3453
CR_04580W,721,566,645,283,5876,176,7148,2309,1910,3641,2322,1339
CR_04590C,324,213,313,1160,2624,626,1172,648,597,6146,1734,4199
CR_04600W,220,323,138,84,1154,139,2953,1228,767,1954,1114,521
CR_04610C,0,87,0,0,931,0,0,3,4,2,4,3
CR_04620C,0,5,0,0,2,1,0,0,3,0,5,0
CR_04630C,0,15,1,0,187,2,242,34,32,345,181,125
CR_04640W,0,0,0,0,3,0,0,3,0,0,2,0
CR_04650W,333,550,123,248,2552,288,8992,1477,721,3095,1244,373
CR_04660C,1582,2293,1531,2495,31709,1938,12437,6208,4054,20184,10299,8838
CR_04670C,0,0,0,0,5,0,1,0,2,2,1,0
CR_04680C,0,0,3,2,41,0,325,42,38,87,35,23
CR_04710W,37,52,1,8,266,85,825,86,40,84,62,137
CR_04720C,476,469,179,344,5307,219,5744,2504,1737,6114,3038,2478
CR_04730W,30,52,5,35,788,33,787,420,243,305,391,395
CR_04740C,3656,3657,2554,1736,31407,1117,37964,15135,9562,18239,12524,6919
CR_04750W,50,92,6,8,310,10,1134,182,95,332,228,37
CR_04760C,33,27,3,28,182,43,179,158,130,208,127,91
CR_04770C,32,45,1,0,1071,1,94,194,103,195,77,18
CR_04780W,135,177,134,35,2094,13,4419,635,427,620,667,332
CR_04790W,3,5,5,29,3,0,0,5,2,7,5,0
CR_04800W,9,17,24,28,792,7,690,203,76,424,181,270
CR_04810W,12323,18366,13257,4651,89033,5033,104285,48880,26664,36620,33329,18853
CR_04820W,0,10,45,0,30,0,27,24,29,36,24,29
CR_04830C,5,27,28,9,366,2,1511,400,270,600,355,271
CR_04840C,18,118,154,54,1529,95,1509,347,362,1310,644,220
CR_04850C,7,42,1,0,157,0,782,151,73,378,121,17
CR_04860C,5,11,0,13,156,3,746,161,66,312,150,27
CR_04870C,39,11,0,40,303,1,252,139,103,316,214,254
CR_04880W,52,120,33,51,1810,24,2257,406,177,564,341,182
CR_04890W,0,5,0,1,1252,0,707,189,98,391,73,38
CR_04900C,0,10,0,0,1,0,0,2,4,0,2,0
CR_04910W,43,46,115,29,189,8,577,229,52,266,155,92
CR_04920W,73,63,34,31,642,3,1677,571,427,652,464,50
CR_04930W,142,192,336,90,826,75,3399,792,723,1357,736,770
CR_04940W,60,167,107,115,1209,31,1568,684,778,1128,986,455
CR_04950W,122,136,183,70,1604,42,5249,1172,609,1493,776,324
CR_04960C,18,28,143,74,1142,147,895,172,241,1706,240,847
CR_04970C,0,14,0,0,2,0,0,4,0,1,2,0
CR_04980C,0,0,0,0,1,0,0,0,0,0,0,0
CR_04990C,0,0,0,0,0,0,1,1,0,0,3,0
CR_05000C,0,2,0,0,0,0,0,2,3,7,1,0
CR_05010W,28,60,61,71,948,0,1333,296,183,898,412,408
CR_05020W,9,8,135,17,95,122,63,105,42,211,91,5
CR_05030W,642,628,297,448,9860,583,12067,2581,1710,8893,3708,2017
CR_05040W,0,0,3,0,148,2,496,49,34,373,119,39
CR_05050W,4524,6043,3186,3800,39669,6201,20315,12567,9315,21540,13351,14603
CR_05080W,0,1,0,0,37,0,22,19,11,54,21,0
CR_05090C,0,0,0,0,2,0,0,0,0,0,1,0
CR_05100W,80,36,21,53,826,15,981,457,268,1566,730,385
CR_05120W,370,500,397,258,6063,390,3872,1921,1129,3989,1779,1337
CR_05130C,166,164,54,128,571,22,1780,467,203,1256,556,334
CR_05140W,47,57,52,16,1094,28,524,169,63,190,159,106
CR_05150W,228,246,63,129,1501,107,1615,469,271,837,682,778
CR_05160C,20,21,7,0,129,1,702,178,111,151,128,0
CR_05170C,5,32,122,34,770,3,213,96,180,170,193,74
CR_05180C,1562,2353,2727,1178,19469,1173,13373,5866,4814,7635,6647,3985
CR_05190W,0,0,0,0,0,0,0,0,0,0,0,0
CR_05200C,159,323,234,108,3417,38,2874,1048,447,1033,881,653
CR_05210W,24,77,1,27,800,8,1570,338,236,141,135,204
CR_05220C,765,580,226,144,7364,57,3354,2095,1191,2146,2129,851
CR_05240C,0,0,0,0,5,0,1,3,0,0,3,0
CR_05250C,0,4,0,0,7,0,0,5,0,0,4,0
CR_05260C,100,208,48,73,618,127,950,307,271,805,405,508
CR_05270W,0,1,0,0,0,0,0,4,0,0,2,0
CR_05280W,0,0,0,0,0,0,0,1,2,24,5,0
CR_05290W,17,5,0,4,191,0,1066,216,97,366,162,10
CR_05300C,105,97,97,79,3613,50,2027,842,741,2817,1139,967
CR_05310W,92,174,39,87,1674,157,2920,713,301,1993,727,269
CR_05320C,0,0,0,0,6,0,0,4,0,0,4,0
CR_05330W,27,2,10,15,689,0,1959,646,246,1918,544,85
CR_05340C,81,85,179,634,3272,732,1128,510,1501,6381,1554,5484
CR_05360C,103,151,85,173,1076,2,806,222,193,990,496,385
CR_05380C,305,494,467,629,6180,583,1630,968,996,1351,1574,1404
CR_05390W,441,1249,782,694,10385,919,3383,2310,2150,2430,3189,3473
CR_05420W,0,0,1,0,6,0,0,2,7,0,4,0
CR_05430W,0,27,1,0,26,0,96,24,13,48,38,2
CR_05440W,44,85,5,105,1239,67,481,244,248,1013,477,438
CR_05450C,139,193,97,107,626,50,547,434,328,539,605,422
CR_05460W,95,99,28,62,402,6,467,272,278,275,300,607
CR_05480W,164,299,115,185,1054,107,2368,955,675,1181,950,538
CR_05490W,0,11,1,1,188,4,261,51,12,300,122,238
CR_05500C,94,141,13,89,2008,8,803,630,369,1113,641,590
CR_05510W,109,100,9,25,867,16,1061,534,362,1566,781,514
CR_05520W,1774,2014,1333,253,9260,419,15136,4699,3242,3436,4023,2487
CR_05530C,212,200,188,133,2003,91,1085,838,725,1559,957,1083
CR_05540C,91,67,99,53,1668,8,268,413,339,820,579,809
CR_05550C,1033,1214,608,387,7918,618,10502,5811,4183,7180,5296,2504
CR_05560W,50,126,35,59,1506,94,1185,530,393,1434,874,684
CR_05570C,51,50,63,48,285,25,1220,176,117,347,262,79
CR_05580C,0,0,0,0,2,0,0,7,0,1,4,0
CR_05610C,107,111,127,33,570,95,2841,614,524,625,457,255
