,ribo_30C_1,ribo_30C_2,ribo_30C_3,ribo_37C_1,ribo_37C_2,ribo_37C_3,rna_30C_1,rna_30C_2,rna_30C_3,rna_37C_1,rna_37C_2,rna_37C_3
C2_03670W,2,10,0,0,32,0,1,16,8,31,36,1
C2_03680W,0,0,2,0,139,88,47,144,82,162,145,64
C2_03690C,6,26,79,0,66,0,248,80,50,6,46,2
C2_03700W,43,56,19,57,251,9,728,185,178,244,189,352
C2_03710W,0,3,0,0,1,0,1,0,0,0,4,0
C2_03720W,0,0,0,0,0,0,0,1,0,0,0,0
C2_03750W,129,248,105,277,4513,374,1356,489,296,1025,916,154
C2_03760C,64,133,87,169,2226,112,1213,1003,687,4582,1467,1049
C2_03770C,94,72,23,118,1126,104,743,671,365,1871,1070,443
C2_03780C,288,242,298,154,1357,86,950,907,496,2340,987,1404
C2_03790C,31,42,143,32,1396,9,343,194,143,572,251,419
C2_03800C,269,394,186,251,6490,393,2830,1230,824,5478,1936,1101
C2_03810C,11315,11449,9482,4341,73966,3460,108667,49237,32763,51541,35412,25486
C2_03820C,17113,11671,8827,5660,88423,5901,78154,58561,36401,71178,43444,36799
C2_03830W,140,174,146,62,2204,5,3096,1033,769,1369,998,620
C2_03840C,1,22,1,10,70,0,45,62,19,187,63,80
