,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.773,67,28,21,24,90,61,32,50,84
orf19.772.1,48,16,17,17,41,31,34,25,52
orf19.772,62,22,40,350,372,278,548,406,486
orf19.771,86,28,40,2,0,4,10,2,16
orf19.769,18,6,20,46,66,20,72,40,60
orf19.768,12,10,12,60,78,44,258,104,131
orf19.767,15,6,6,53,123,85,183,117,175
orf19.764,38,15,18,130,112,54,140,84,126
orf19.763,48,20,24,100,138,94,180,102,172
orf19.762,0,8,4,0,4,0,2,0,0
orf19.761,225,104,132,320,266,174,424,215,235
orf19.760,8,2,8,54,78,36,62,58,76
orf19.759,158,76,72,1100,1253,748,1243,800,1034
orf19.758,32,10,10,22,41,14,57,24,42
orf19.757.1,8,6,2,20,13,20,14,16,24
orf19.757,136,66,96,150,118,62,284,192,200
orf19.756,0,0,0,2,6,4,20,9,10
orf19.755,35,7,8,46,100,119,130,150,158
orf19.754,296,144,168,1642,1894,1324,2282,1976,2468
orf19.753,24,20,21,26,39,20,75,41,54
orf19.752,50,34,33,94,139,68,116,97,118
orf19.751,12,4,2,10,10,6,8,4,10
orf19.750,6,6,4,4,4,0,2,6,5
orf19.48,150,50,68,225,258,183,391,234,318
orf19.50,48,4,16,48,50,24,58,40,42
orf19.51,92,38,40,722,840,578,1036,928,1210
orf19.52,18,16,28,153,222,136,262,174,276
orf19.53,16,14,14,50,51,40,63,54,90
orf19.54,12,2,6,333,380,230,509,475,400
orf19.55,162,102,122,88,116,74,98,56,71
orf19.56,20,6,14,28,22,24,68,54,42
orf19.57,0,4,2,32,28,24,24,34,28
orf19.58,176,76,80,302,522,476,256,306,510
orf19.59,322,136,150,333,764,644,288,410,662
orf19.4064,14,4,6,262,245,98,499,405,297
orf19.4063,4,6,12,1176,693,180,2386,1452,668
orf19.4062,28,32,24,66,96,76,50,64,112
orf19.4061,0,0,4,12,14,10,38,21,34
orf19.4060,86,84,56,1762,2363,1841,2609,2343,2790
orf19.4059,97,70,55,28,12,4,130,85,112
orf19.4057,0,0,0,0,0,0,0,0,0
orf19.4056,730,244,438,134,508,100,351,326,291
orf19.450,2,0,0,2,2,0,4,2,2
orf19.449,509,248,293,6,2,2,664,76,38
orf19.448,214,112,130,134,132,76,438,192,240
orf19.446.2,26,14,17,117,149,80,161,120,177
orf19.446.1,12,22,35,141,144,98,224,171,211
orf19.446,64,22,36,56,66,28,130,82,69
orf19.445,41,26,21,337,335,316,377,440,562
orf19.444,0,0,0,4,4,7,8,6,17
orf19.443,19,10,6,29,72,27,29,40,64
orf19.441,70,29,45,158,178,112,186,101,159
orf19.442,0,0,0,0,0,0,0,0,0
orf19.440,72,40,42,70,69,36,146,110,122
orf19.439,58,28,20,174,252,202,258,280,338
orf19.438,42,24,32,32,32,41,128,36,78
orf19.437,160,112,130,1345,1542,1119,1767,1604,1873
orf19.434,108,82,64,84,100,46,212,112,172
tP(UGG)1,0,0,0,0,2,0,0,2,0
orf19.433,20,2,12,20,34,12,78,54,46
orf19.432,46,20,26,38,74,38,58,42,48
orf19.431,285,148,148,141,150,142,244,172,204
orf19.430,30,30,24,18,15,10,38,20,31
orf19.429,160,83,78,186,332,280,202,222,398
orf19.428,104,56,60,46,55,34,70,56,50
orf19.427,34,44,20,298,316,216,358,318,501
orf19.426,104,34,34,126,160,91,316,195,271
orf19.425,12,6,10,36,50,38,59,32,54
orf19.424,108,74,78,68,88,52,105,64,120
orf19.423,54,6,36,60,64,42,82,64,74
orf19.422,62,14,34,126,132,80,266,158,230
orf19.419,176,113,85,6,2,2,22,2,1
