,0min_1RP,0min_2RP,0min_3RP,30min_1RP,30min_2RP,30min_3RP,60min_1RP,60min_2RP,60min_3RP
orf19.1959,35,19,25,154,219,187,124,168,256
orf19.1958,0,0,2,0,2,0,2,2,0
orf19.1957,341,184,194,447,638,505,732,462,736
orf19.1956,56,24,52,638,761,478,758,578,850
snR189c,0,0,0,0,0,0,0,2,0
snR69,0,2,1,0,5,2,7,3,8
orf19.1955,21,8,14,21,9,10,29,12,24
orf19.1954,139,69,68,190,290,283,231,223,322
orf19.1953,100,56,30,135,145,145,189,191,283
orf19.1950,40,8,14,14,9,9,14,14,21
orf19.1949,84,46,78,460,407,306,674,443,629
orf19.1948,20,6,8,76,65,48,168,140,120
orf19.1946,18,6,16,108,154,68,146,70,167
orf19.1945,375,177,194,93,148,167,204,191,446
orf19.1944,32,14,52,359,350,152,391,529,331
orf19.1943,0,2,4,10,6,2,20,6,8
orf19.1942,34,24,20,96,98,83,114,52,111
orf19.1941,10,4,2,18,12,12,126,76,72
orf19.1940,110,60,74,151,146,136,196,182,148
orf19.1939,16,2,6,6,4,2,14,12,12
orf19.1938,0,0,2,8,22,6,4,18,12
orf19.1936,532,276,330,564,598,380,816,468,499
orf19.1935,0,0,0,4,5,4,4,9,8
orf19.1934,70,22,32,110,132,96,290,173,311
orf19.1933,90,30,19,57,80,24,88,55,71
orf19.1932,0,0,4,6,0,2,14,16,22
orf19.1930,1,0,0,0,2,0,0,4,1
orf19.1927,8,4,6,58,76,59,66,48,62
orf19.1926,14,2,16,46,50,18,51,50,48
orf19.4131,88,54,42,126,102,56,279,160,214
orf19.4132,264,123,110,38,54,28,76,35,67
orf19.4133,51,10,16,104,135,126,63,94,124
orf19.4134,16,8,12,32,24,24,64,42,48
orf19.4135,232,124,142,6,20,6,42,12,48
orf19.4136,6,2,0,188,264,188,406,306,504
orf19.4142,12,8,8,66,64,42,79,50,70
orf19.4143,30,6,24,38,78,84,24,46,77
orf19.4144,168,92,90,272,214,134,364,250,307
orf19.4145,54,18,38,562,477,276,296,218,197
orf19.4146,86,20,36,126,84,64,117,88,66
orf19.4147,149,80,72,241,274,176,449,344,485
orf19.4148,66,36,52,118,64,30,266,124,149
orf19.4149.1,52,29,26,322,427,299,590,573,524
orf19.4149,12,4,7,73,85,71,152,89,137
orf19.4150,249,78,100,118,179,92,126,101,186
orf19.4151,10,10,2,6,6,4,6,16,6
orf19.4152,2664,1827,1433,15457,18230,13183,19727,17618,21195
orf19.4153,6,4,8,10,10,8,28,10,38
orf19.6298,132,50,80,124,244,223,116,146,262
orf19.6297,54,24,30,116,180,132,122,78,214
orf19.6296,14,10,7,26,31,4,18,16,16
orf19.6295,52,32,28,273,298,228,322,274,368
orf19.6294,4,2,2,148,190,146,388,266,368
orf19.3208,0,2,0,18,20,2,40,16,8
orf19.3207,6,2,2,73,84,66,220,153,222
orf19.3206,126,46,38,394,518,352,439,426,570
orf19.3205,66,44,30,212,300,214,300,250,348
orf19.3204,22,4,12,20,64,38,42,38,70
orf19.3203,31,6,8,43,58,22,83,68,74
orf19.3202,18,14,6,28,28,22,22,23,44
orf19.3201,26,14,20,16,28,23,68,41,46
orf19.10713,70,58,54,246,345,228,216,250,370
orf19.3200,0,0,0,2,0,0,10,4,4
orf19.10712,4,0,0,0,2,0,0,2,8
orf19.3199,120,68,66,193,168,90,235,154,142
orf19.10711,132,60,80,126,115,56,210,140,160
orf19.3198,562,334,340,232,240,144,526,280,452
orf19.10709,52,36,44,134,92,76,166,118,138
orf19.3197,102,34,66,176,224,177,320,217,299
orf19.10708,86,50,52,56,25,29,84,53,46
orf19.3196,2,0,1,4,2,2,2,0,6
orf19.3195,825,404,410,857,957,627,731,588,738
orf19.3193,116,64,70,142,163,123,249,185,227
orf19.3192,180,114,102,419,450,272,556,410,569
orf19.3190,369,230,195,181,201,59,361,155,182
orf19.3188,86,34,34,150,186,114,184,144,199
orf19.3187,234,96,128,316,294,209,409,267,338
orf19.3186,0,0,0,0,0,0,0,0,0
orf19.3185,194,115,117,430,495,350,598,524,641
orf19.3184,48,38,32,62,56,30,110,62,78
orf19.3183,84,30,44,136,164,102,155,144,186
orf19.3181.1,18,14,10,57,67,68,82,48,54
orf19.3182,524,294,292,1931,1998,1633,2501,1986,2481
orf19.3180,76,24,38,46,26,18,68,38,48
orf19.3178,26,24,32,28,66,36,40,40,76
orf19.3177,56,34,26,190,240,164,240,230,317
orf19.3176,130,50,79,117,110,67,176,153,124
orf19.3175,165,118,106,447,505,342,790,688,813
orf19.3174,47,34,43,294,275,193,400,323,311
orf19.3173,19,8,16,83,67,42,93,61,105
orf19.3172,0,0,2,9,6,0,1,2,2
orf19.3171,291,115,152,2491,2462,1274,4721,3933,4374
orf19.3170,60,38,34,194,292,258,217,262,354
orf19.3169,210,70,104,132,144,120,131,100,138
orf19.3168,168,90,120,336,395,262,520,312,400
orf19.3167,58,44,56,515,521,360,822,608,704
orf19.3166,60,28,28,246,304,142,360,215,332
orf19.3163,8,18,12,29,30,30,55,57,52
orf19.3161,204,92,92,186,282,254,126,172,226
orf19.3160,1260,516,843,28,58,10,90,20,72
orf19.3159.4,0,0,0,0,0,0,0,0,0
orf19.4216,1419,609,850,18,61,20,158,42,76
orf19.4219,92,51,64,256,447,348,241,289,440
orf19.4217,0,0,0,0,0,0,0,0,0
orf19.4220,104,68,54,74,84,54,138,76,118
orf19.4221,80,30,44,111,123,80,210,146,177
orf19.4222,36,0,20,32,34,12,25,18,34
orf19.4223,348,222,224,1415,1600,1339,1578,1552,1888
orf19.4225,150,66,74,356,452,380,416,310,568
orf19.4225.1,122,39,51,187,223,165,322,207,352
orf19.4227,0,4,0,2,6,12,17,2,2
orf19.4228,98,52,56,301,257,244,361,278,346
orf19.4229,10,6,20,35,26,16,105,37,96
orf19.4230,223,116,126,318,294,178,473,286,358
orf19.4231,26,12,12,30,60,40,38,61,100
orf19.4232,87,20,44,140,152,80,223,154,248
orf19.4233,106,47,68,1064,1474,1164,1572,1102,1564
orf19.4234,170,60,56,44,126,68,62,80,180
orf19.4235,224,86,114,49,75,34,93,64,69
orf19.4236,132,38,67,776,796,532,904,602,712
orf19.4239,42,24,37,55,64,40,68,36,60
orf19.4240,52,26,28,72,82,58,128,110,108
orf19.4241,36,24,15,79,71,63,81,82,145
orf19.4242,42,20,36,349,311,228,545,350,403
orf19.4243,6,8,2,38,31,28,51,32,41
orf19.4244,0,4,2,4,18,8,18,18,12
orf19.4245,36,14,16,42,77,26,82,52,76
orf19.4246,454,318,266,226,260,110,560,288,566
orf19.4247,52,18,34,48,50,32,74,52,58
orf19.4248,84,54,48,56,104,44,202,108,200
orf19.4250,10,2,0,33,50,21,79,48,42
orf19.4251,0,4,2,30,40,13,119,38,66
orf19.4252,16,8,10,12,28,34,46,30,54
orf19.4253,52,22,26,86,82,28,148,76,112
orf19.4255,4,2,0,24,22,12,100,26,60
orf19.4257,4,8,16,109,222,100,923,544,808
orf19.4258,104,46,50,244,251,198,284,280,346
orf19.4261,96,64,76,543,717,463,641,638,740
orf19.4262,60,20,43,80,64,50,292,162,197
orf19.4263,31,9,23,48,51,16,121,100,100
orf19.4264,27,10,13,0,4,4,6,6,4
orf19.4265,108,52,62,156,224,130,306,230,312
orf19.4266,12,6,8,2,14,6,12,14,30
orf19.4268,116,64,70,390,548,414,335,305,497
orf19.4269,112,22,51,112,78,60,156,86,120
orf19.4270,50,20,26,60,60,14,46,44,28
orf19.4271,28,4,32,57,97,62,122,110,151
orf19.4273,96,28,28,112,300,186,160,132,242
orf19.4274,83,48,67,26,28,11,32,4,14
orf19.4275,48,18,20,34,36,24,78,50,78
orf19.4278,92,62,54,188,217,188,273,236,262
orf19.4279,38,10,10,6,6,0,0,2,6
orf19.4280,14,4,4,10,8,4,18,14,14
orf19.4282,176,111,87,614,781,566,832,625,850
orf19.4283,90,34,50,361,462,291,387,389,523
orf19.4284,46,14,20,52,73,54,136,78,108
orf19.4286,118,32,50,35,38,33,59,44,34
orf19.4287,62,36,30,114,78,18,230,100,130
orf19.4288,70,42,42,159,208,102,198,127,209
orf19.4290,118,42,26,400,462,360,416,334,592
orf19.4292,70,22,38,54,34,34,62,52,44
orf19.4293,52,32,38,98,106,88,174,145,164
orf19.4294,22,12,12,102,148,94,138,116,193
orf19.4295,36,14,16,108,74,46,263,149,155
orf19.4297,70,36,33,84,128,78,112,96,160
orf19.4299,46,14,30,96,103,74,154,94,138
orf19.4301,4,0,0,72,49,51,239,143,262
orf19.4304,335,166,176,156,368,300,192,154,182
orf19.4305,0,0,0,0,2,4,0,2,0
orf19.4305.1,20,2,13,0,6,4,13,13,6
orf19.4306,25,6,6,38,32,30,80,42,65
orf19.4307,38,16,50,56,50,30,98,38,64
orf19.4308,16,6,4,194,186,160,916,672,787
snR10c,93,51,53,65,83,36,398,344,402
orf19.4309,138,52,60,0,2,4,28,12,10
orf19.4310,0,0,0,2,0,0,0,0,2
orf19.4311,170,63,93,1860,2241,1716,3759,2949,3576
orf19.4312,22,10,12,96,108,60,238,196,190
orf19.4315,32,6,17,38,44,14,58,26,22
orf19.4316,24,16,10,12,18,6,44,28,41
orf19.4317,203,94,110,88,117,30,136,75,158
orf19.4318,488,168,324,427,974,842,416,484,1569
orf19.4320,0,0,0,4,8,7,6,4,6
orf19.4321,0,0,0,0,2,0,10,0,2
orf19.4322,108,56,56,236,226,138,286,210,242
orf19.4323,22,14,10,10,20,14,18,14,16
orf19.4324,12,14,8,32,56,41,46,46,72
orf19.4325,2,4,6,25,34,23,160,149,142
orf19.4326,76,40,32,34,87,92,82,107,164
orf19.4328,144,73,72,246,403,347,241,259,414
orf19.4330,22,2,6,42,26,28,64,48,38
orf19.4332,21,6,18,40,33,10,65,51,21
orf19.4334,6,0,2,2,2,0,4,0,8
orf19.4335,10,2,4,719,551,284,3151,1025,910
orf19.4336,769,534,468,4214,5475,4385,7824,6810,9099
orf19.4337,16,10,12,96,78,58,183,88,106
orf19.4339,48,26,32,222,210,159,390,232,306
orf19.4340,24,20,12,52,88,60,146,94,136
orf19.4340.1,8,2,10,29,44,53,40,40,33
orf19.4341,4,6,6,80,65,50,173,96,121
orf19.4342,12,6,2,273,444,310,608,432,521
orf19.4346,90,48,80,1126,950,598,1326,808,1147
orf19.4347,492,226,291,162,160,70,610,313,350
orf19.4348,16,4,16,106,131,84,191,150,160
orf19.4349,26,8,11,105,87,56,243,153,129
orf19.2657,0,0,0,8,2,0,20,2,14
orf19.2655,374,161,198,29,40,21,119,68,56
orf19.2654,86,54,32,86,166,178,74,100,172
orf19.2653,26,14,16,112,116,96,78,86,90
orf19.2652,0,0,2,4,2,0,0,0,0
orf19.2651,146,66,94,996,1194,937,1567,1295,1688
orf19.2650.1,2,2,9,58,78,59,51,44,97
orf19.2650,62,30,28,54,55,32,104,48,54
orf19.2649,2,0,6,50,75,34,163,75,136
orf19.2647,2,2,0,6,2,0,18,10,22
orf19.2646,101,46,58,384,324,142,419,342,234
orf19.2645,2,0,0,0,0,0,2,4,0
orf19.2644,224,111,135,1053,1155,703,1989,1390,2009
orf19.2643,92,71,56,219,283,212,227,232,294
orf19.2642,3,2,0,11,5,2,8,9,12
orf19.2641,0,0,2,25,16,4,52,54,55
orf19.2640,26,28,18,115,167,114,130,85,135
orf19.2639.1,12,4,8,84,128,62,162,142,158
orf19.2639,36,8,24,123,225,148,124,185,241
tE(UUC)5,0,0,0,0,0,0,0,0,0
orf19.2638,0,0,0,4,20,6,4,10,16
orf19.2638.1,14,4,4,8,18,12,14,8,22
snR40,0,2,0,16,12,14,25,12,10
orf19.2637,22,8,0,4,12,4,22,16,22
orf19.6654,46,28,14,108,124,72,130,104,122
orf19.6656,50,27,24,156,150,146,270,242,276
orf19.6658,26,26,18,12,18,20,48,8,41
orf19.6659,1210,590,576,164,350,204,697,429,408
orf19.6660,160,78,60,2,4,2,171,36,114
orf19.6661,0,0,0,0,0,0,2,0,0
orf19.6662,8,10,2,14,30,22,4,10,26
orf19.6663,361,238,219,2041,2680,1878,3805,3361,4131
orf19.6665,220,134,144,478,582,439,792,685,892
orf19.6667,46,4,20,38,22,8,50,24,20
orf19.6668,50,32,30,88,100,74,130,74,102
orf19.6670,4,8,0,46,48,18,82,56,82
orf19.6671,38,14,16,60,46,23,85,50,60
orf19.6672,104,46,76,200,266,202,366,248,368
orf19.6673,32,22,22,14,26,6,38,8,56
orf19.6674,14,6,2,30,31,37,50,26,50
orf19.6675,12,2,8,22,29,35,10,19,49
orf19.6676,18,6,12,108,144,116,120,161,150
orf19.6678,10,4,2,8,9,2,14,12,6
orf19.6679,16,22,8,82,87,82,123,85,129
orf19.6680,124,98,70,121,154,123,209,127,194
orf19.6681,18,20,6,33,20,18,66,30,56
orf19.1124.2,12,12,10,120,152,130,150,122,146
orf19.1124,8,4,4,30,15,14,68,47,48
orf19.1123,0,0,0,2,2,4,0,6,0
orf19.1122,0,4,12,6,0,2,0,2,0
orf19.1121,56,36,16,131,150,108,139,98,170
orf19.1120,2,4,0,1,7,4,6,2,2
orf19.1119,84,28,42,206,209,170,234,210,276
orf19.1117,12,2,2,4,6,4,4,0,0
orf19.1116,2,2,2,12,24,22,58,40,68
orf19.1115,44,16,12,128,159,124,386,252,384
orf19.1114,27,8,14,40,64,40,94,56,106
orf19.1113,0,0,0,6,2,8,38,58,46
orf19.1112,82,38,44,78,92,62,209,114,224
orf19.1111,32,6,14,66,66,62,102,78,92
orf19.1110,2,0,4,18,14,6,36,32,28
orf19.1109,40,6,18,106,152,95,176,149,188
orf19.1108,28,6,6,31,58,54,109,67,84
orf19.1107,60,34,50,258,138,70,327,132,104
orf19.1106,4,0,0,0,0,0,2,0,2
orf19.1105.3,0,0,0,0,0,2,2,2,2
orf19.1105.2,3273,1803,1940,4595,5957,4273,6881,5643,7991
orf19.1105,0,0,0,0,2,0,4,2,2
orf19.3220,96,36,36,76,140,113,88,80,118
orf19.3219,2,0,1,64,62,28,163,130,101
orf19.3218,16,6,14,14,24,20,70,36,69
orf19.3216,8,2,2,59,56,28,116,71,129
orf19.3215,107,59,44,106,132,80,162,120,126
orf19.3214,8,0,0,14,6,6,10,8,14
orf19.3213,36,18,40,123,126,56,186,160,188
orf19.3212,30,12,12,54,50,34,114,72,94
orf19.3211,0,0,4,84,73,49,114,127,138
orf19.3210,2,2,0,0,7,0,2,4,8
orf19.3209,2,0,0,0,0,0,0,0,0
orf19.1287,282,112,153,198,376,357,162,242,544
orf19.1286,0,0,0,0,2,4,0,5,2
orf19.1285,224,106,116,86,68,56,104,74,110
orf19.1283,20,14,16,120,146,110,362,274,366
orf19.1282,21,14,13,44,54,57,79,61,98
orf19.1281,77,30,80,16,32,33,38,30,55
orf19.1280,256,99,154,315,478,247,518,326,427
orf19.1279,136,90,102,144,156,112,290,204,206
orf19.3893,34,12,24,16,22,10,20,24,18
orf19.3894,48,18,18,28,42,23,35,32,58
orf19.3895,37,14,12,695,889,532,9531,7733,8576
orf19.3897,0,0,0,4,4,6,6,12,4
orf19.3898,6,2,8,24,30,24,42,38,32
orf19.3899,4,2,4,26,22,10,44,28,74
orf19.3900,308,151,134,148,136,114,227,148,240
orf19.3901,14,4,6,28,32,12,50,32,26
orf19.3902,10,2,8,0,0,0,8,2,2
orf19.3903,0,0,0,0,0,0,0,0,0
orf19.3904,2,0,0,0,0,0,0,0,0
orf19.3905,0,0,0,2,0,0,4,2,0
orf19.3906,2,0,2,2,0,0,0,0,0
orf19.3907,0,0,0,0,0,0,0,0,0
orf19.3908,0,1,0,0,0,0,0,0,0
orf19.3910,8,6,4,18,10,2,68,34,33
orf19.3911,844,509,532,4024,4686,3531,4914,3768,5180
orf19.3912,321,132,205,267,344,281,459,311,415
orf19.3914,351,124,169,186,279,314,154,253,422
orf19.3915,139,68,90,221,237,118,325,246,313
orf19.3916,8,0,6,68,79,56,94,101,120
orf19.3919,106,70,67,81,97,48,138,80,91
orf19.3919.1,28,12,22,88,84,67,113,90,147
orf19.3920,12,10,10,78,84,84,74,66,152
orf19.3921,30,24,18,70,134,109,131,109,117
orf19.3922,104,54,80,88,98,56,185,106,126
orf19.3923,12,2,4,14,2,6,24,14,16
orf19.3924,14,10,8,1547,1135,276,5187,2031,2491
orf19.3925,0,2,0,2,0,0,0,0,0
orf19.3926,0,4,0,4,6,0,4,4,4
orf19.3928,4,2,8,52,42,26,156,96,68
orf19.3929,20,6,6,119,88,54,196,122,105
orf19.3930,67,20,47,122,100,61,208,108,129
orf19.3931,16,20,10,1296,999,561,5136,2224,2852
orf19.3931.1,0,0,0,0,2,0,0,5,0
orf19.3931.2,0,0,0,2,0,0,0,4,2
orf19.3932,919,450,502,8,16,6,120,40,68
orf19.3932.1,4,12,4,0,0,0,4,2,2
orf19.3934,298,172,126,360,380,427,116,124,168
orf19.3935,0,0,0,0,0,0,2,2,0
orf19.3936,14,6,10,172,214,148,217,144,210
orf19.3937,42,26,24,72,64,38,116,68,56
orf19.3938,62,42,48,280,390,255,329,330,446
orf19.3940,9,0,0,16,10,10,42,22,28
orf19.3939,72,38,52,100,76,50,220,100,140
orf19.3940.1,2224,1169,1182,2855,2554,2101,3180,2818,3940
orf19.3941,268,120,105,1306,1669,1335,1699,1890,2087
orf19.3942,10,12,12,30,54,44,50,26,63
orf19.3942.1,620,391,344,3471,3869,3363,6272,5902,6757
orf19.3944,662,312,356,358,435,268,751,519,718
orf19.3945,250,116,133,86,145,88,120,84,162
orf19.3946,18,6,14,40,56,36,83,56,66
orf19.3947,12,18,16,58,68,44,78,52,84
orf19.3949,154,58,103,481,372,311,711,479,584
orf19.3950,10,4,4,104,122,64,108,100,122
orf19.3951,34,22,14,70,98,54,200,110,156
orf19.3952,178,84,100,360,338,196,408,304,332
orf19.3954,115,50,56,102,101,50,172,125,160
orf19.3954.1,0,0,0,0,0,0,0,0,0
orf19.3955,52,30,30,790,850,668,828,630,878
orf19.3956,23,14,12,59,79,62,140,92,109
orf19.3957,32,26,10,94,151,128,158,138,156
orf19.3959,333,196,198,928,902,706,1251,841,1083
orf19.3960,36,10,10,98,124,108,202,172,274
orf19.3962,264,132,142,682,938,834,654,626,842
tA(AGC)5,0,0,0,0,0,2,0,0,0
orf19.3963,20,14,18,32,38,16,96,40,94
orf19.3964,12,2,6,56,60,55,134,111,133
orf19.3965,4,2,0,16,30,36,42,28,32
orf19.3966,106,56,70,26,38,24,30,12,44
orf19.3967,1193,721,672,36,60,36,168,86,168
orf19.3968,0,0,0,0,0,0,0,0,0
orf19.3969,54,28,24,228,393,142,230,224,155
orf19.3970,40,18,14,10,38,44,28,19,37
orf19.3971,0,2,0,6,4,10,24,5,26
orf19.3972,14,8,4,42,48,36,74,57,68
orf19.3973,100,68,36,64,42,20,126,74,44
orf19.3974,10,6,18,314,372,278,538,436,508
orf19.3976,2,2,0,16,10,16,28,20,30
orf19.3977,44,28,26,132,208,136,124,144,200
orf19.3978,40,16,24,90,209,152,44,122,180
orf19.3980,60,48,34,290,246,161,366,281,292
orf19.3981,16,8,2,800,546,202,999,592,530
orf19.3982,2,2,0,10,8,2,102,34,90
orf19.3983,26,4,12,210,134,66,286,174,206
orf19.3984,105,40,60,174,177,92,363,227,248
orf19.3986,18,8,12,32,32,16,84,46,46
orf19.3988,24,14,18,16,10,10,8,8,10
orf19.3990,20,6,2,30,48,38,41,30,50
orf19.3991,42,40,39,121,144,120,160,168,161
orf19.3992,0,0,2,0,2,10,9,6,10
orf19.3994,14,18,14,118,98,54,172,114,164
orf19.3995,34,10,24,56,47,44,76,74,59
orf19.3996,12,10,6,48,54,34,70,44,50
orf19.3997,15349,8658,8976,78,168,66,317,96,345
orf19.3998,4,0,0,0,4,0,12,6,10
orf19.3999,8,2,8,26,24,22,82,30,56
orf19.4000,529,208,263,233,362,327,261,251,597
orf19.4001,10,12,4,16,14,8,26,18,34
orf19.4002,10,8,0,56,63,40,167,103,150
orf19.4003,94,48,86,64,54,40,123,71,142
orf19.4004,158,66,94,542,622,494,636,584,774
orf19.4005,16,6,18,30,38,14,94,41,58
orf19.4006,22,14,11,73,68,38,107,60,131
orf19.4007,16,2,16,28,34,40,58,28,64
orf19.4009,22,22,10,90,90,62,158,108,144
orf19.4010,66,16,34,124,134,92,232,126,172
orf19.4011,0,0,0,0,0,0,0,0,0
orf19.4012,71,22,53,19,37,11,167,51,94
orf19.4013,16,0,4,24,16,6,50,34,34
orf19.4014,66,20,38,74,66,46,165,98,87
orf19.4015,2,0,2,8,10,0,18,12,8
orf19.4016,484,310,370,2160,2220,1498,3641,2720,3646
orf19.4017,0,0,0,10,4,0,8,6,2
orf19.4018,38,24,28,242,354,216,371,352,430
orf19.4019,18,8,6,8,14,12,26,20,22
orf19.4021,32,26,30,180,178,120,202,172,210
orf19.4022,28,10,8,126,172,168,100,94,146
orf19.4023,36,10,16,162,202,188,270,196,327
orf19.4024,204,80,90,42,72,24,248,118,160
orf19.4025,54,40,44,124,130,104,242,151,200
orf19.4026,12,8,16,490,688,481,889,673,991
orf19.4028,64,28,30,120,154,94,160,106,157
orf19.4029,182,74,104,456,658,480,502,466,556
orf19.4030,10,4,0,129,147,129,262,285,421
orf19.4031,230,126,142,368,270,191,502,297,314
orf19.4033,30,4,20,116,144,104,180,136,164
orf19.4032,99,52,76,264,253,152,360,214,348
orf19.4035,629,340,368,360,339,194,1716,1200,1312
orf19.4036,28,22,12,203,190,158,305,250,258
orf19.4040,256,150,120,1565,1841,1326,1937,1544,2253
orf19.4041,180,82,118,405,373,207,584,370,377
orf19.4043,960,336,532,398,282,184,668,449,524
orf19.4044,207,114,123,108,139,58,103,36,67
orf19.4046,34,6,12,24,34,30,49,26,24
orf19.4045,574,344,342,574,748,686,688,598,890
orf19.4048,212,148,147,411,503,352,464,464,508
orf19.4051,299,166,210,1828,1874,1559,1962,1946,2187
orf19.4054,170,46,80,48,42,22,62,42,64
orf19.4055,0,0,0,2,0,0,0,2,0
orf19.6339,0,0,0,0,0,0,0,0,0
orf19.6338,0,0,0,2,0,0,2,0,2
orf19.6337,0,0,4,1,0,0,4,2,4
tL(CAA)5,0,0,0,0,0,0,2,2,0
orf19.6336,191,98,125,2053,2063,583,3843,2707,3060
orf19.6329,242,134,122,1492,1517,398,2830,2112,2474
orf19.6328,12,15,27,132,117,77,118,133,147
orf19.6327,76,50,48,810,1007,702,624,545,750
orf19.6326,12,4,12,76,50,60,195,118,136
orf19.6325.1,2,0,4,21,41,22,54,45,32
orf19.6324,338,172,166,294,304,156,752,456,570
orf19.6323,6,10,2,20,37,22,38,20,46
orf19.6322,2282,1010,1380,1941,2110,1235,4937,2728,2707
orf19.6321,72,28,46,12,11,10,46,19,19
orf19.6319,358,165,247,615,660,614,621,637,757
orf19.1178,8,0,10,6,4,8,20,16,8
orf19.1177,35,8,34,120,145,105,289,254,315
orf19.1179,152,84,108,381,478,304,664,517,649
orf19.1180,32,14,16,60,54,32,228,106,188
LSU+AC0-G1431,0,0,0,0,2,0,2,0,0
orf19.1181,15,8,20,22,20,24,54,27,51
orf19.1182,40,8,28,10,14,0,55,19,25
orf19.1183,516,286,344,52,82,36,152,92,162
orf19.1185,222,71,107,298,328,232,422,324,482
orf19.1186,32,26,14,44,74,32,87,88,106
orf19.1187,1348,724,884,271,369,278,586,342,463
orf19.1189,1164,568,698,136,352,162,301,170,392
orf19.1190,198,112,114,316,150,86,673,372,405
orf19.1191,329,204,248,182,150,120,258,148,232
orf19.1192,14,6,2,145,145,85,360,224,472
orf19.1193,3677,1836,2191,1109,1276,778,526,406,424
orf19.1195,18,20,18,278,264,214,446,257,394
orf19.1196,54,30,37,265,227,106,505,294,400
orf19.1198,60,26,37,49,46,38,56,37,73
orf19.1199,637,336,311,2385,3178,2788,2680,2667,3062
orf19.1200,40,6,20,16,36,38,26,36,44
orf19.1201,134,46,70,86,140,84,176,136,172
orf19.1202,6,3,0,28,30,14,98,82,86
orf19.1203,128,54,88,148,170,64,330,227,258
orf19.1203.1,38,10,16,236,326,231,263,164,237
orf19.1204,36,32,24,109,102,56,168,82,91
orf19.4215,27,19,19,1143,1164,1119,579,673,648
orf19.4214,0,0,0,0,0,0,0,0,2
orf19.4213,26,9,14,23,37,30,75,48,40
orf19.4212,10,4,14,3,4,2,4,2,2
orf19.4211,112,52,44,1093,1257,1044,3109,3553,4077
orf19.4210,10,0,4,44,52,34,80,76,48
orf19.4209,12,2,6,20,16,10,42,50,44
orf19.4208,4,6,6,92,74,64,174,160,181
orf19.4207,2,6,2,20,26,21,13,31,40
orf19.4205.1,22,2,8,32,42,22,37,24,56
orf19.4206,10,4,4,22,30,12,70,50,88
orf19.4204,140,60,74,343,478,412,440,398,586
orf19.4203,124,84,84,64,110,60,172,120,174
orf19.4201,58,32,42,200,190,82,340,212,251
orf19.4200,2,2,0,0,1,0,0,3,1
orf19.4199,256,94,110,84,169,96,118,89,299
orf19.4197,48,16,24,612,696,403,1304,816,1052
orf19.4196,0,0,0,0,0,2,2,0,0
orf19.4195.1,82,60,62,154,202,164,144,130,118
orf19.4195,4,1,2,0,13,6,4,2,4
orf19.4194,17,12,6,52,66,44,58,20,76
orf19.4193.1,494,239,267,2602,3266,2345,4830,4286,4859
orf19.4193,20,6,4,44,50,22,138,100,135
orf19.4192,30,26,30,40,68,38,414,346,451
orf19.4192.1,14,0,10,26,30,18,72,40,69
orf19.3660,18,4,10,64,78,36,82,74,126
orf19.3659,84,28,24,26,18,10,82,44,50
orf19.3658,22,10,18,22,24,16,137,54,76
orf19.3656,154,48,80,268,307,226,586,399,668
orf19.3655,4,4,4,4,4,2,16,6,12
orf19.3653,114,78,47,808,953,520,1037,645,936
orf19.3651,3202,1880,1843,30,76,20,312,140,224
orf19.3649,34,34,18,52,72,44,73,51,68
orf19.3648,4,0,0,66,46,34,140,128,136
orf19.3647,28,12,16,156,152,84,264,208,238
orf19.3646,814,446,493,20,65,43,37,44,42
orf19.3644,102,20,64,130,319,194,213,218,486
orf19.3643,12,3,4,8,18,8,12,4,24
orf19.3642,290,168,179,737,916,617,2377,1611,2371
orf19.84,130,74,44,127,201,52,288,242,136
orf19.85,105,56,62,148,214,118,143,75,74
orf19.86,132,70,66,186,196,182,154,82,120
orf19.87,2,6,0,0,6,2,12,6,8
orf19.88,253,137,127,1406,1362,1114,4221,2371,4408
orf19.89,14,9,10,149,108,58,335,151,186
orf19.90,10,16,18,26,20,6,116,50,42
orf19.91,13,4,8,58,67,51,110,55,59
orf19.92,260,146,158,490,464,284,868,488,582
orf19.93,164,72,116,1238,1306,994,1794,1345,1724
orf19.94,197,110,132,84,73,44,450,168,122
orf19.95,18,0,6,58,62,26,148,116,162
orf19.96,141,76,71,704,1008,717,977,901,1201
orf19.97,1126,623,616,5685,5526,2704,4860,3918,4191
orf19.99,53,20,27,44,35,16,85,62,74
orf19.100,180,86,100,104,70,44,162,114,104
orf19.101,34,16,16,78,104,56,118,118,100
orf19.102,8,4,4,68,100,110,126,114,144
orf19.103,0,0,0,4,6,8,4,6,2
orf19.104,2,2,0,8,8,4,4,2,2
orf19.105,28,12,10,48,29,20,145,98,114
orf19.107,104,52,42,150,364,380,160,220,482
orf19.109,10,4,6,60,74,44,122,76,112
orf19.111,462,290,220,510,546,456,256,412,226
orf19.113,30,10,4,2,2,4,6,6,2
orf19.114,6,10,8,24,29,8,37,42,50
orf19.115,4,2,0,6,10,8,10,8,14
orf19.117,160,84,96,272,186,140,352,258,244
orf19.118,428,236,268,1254,1664,1046,1123,1002,1512
orf19.119,2,0,0,20,38,20,14,38,22
orf19.120,0,0,0,2,10,2,6,6,8
orf19.121,16,10,6,24,33,17,43,36,28
orf19.122,18,18,10,18,21,21,112,66,82
orf19.123,2,4,2,14,16,6,23,14,21
orf19.124,166,52,76,264,461,355,216,282,421
