,WT_1_FPKM,WT_2_FPKM,WT_3_FPKM,YCK2_1_FPKM,YCK2_2_FPKM,YCK2_3_FPKM
CAALFM_C101550WA,34.386859,36.112872,34.692693,43.914494,42.656772,42.509828
CAALFM_C101560WA,23.769128,20.464666,32.408404,29.514177,30.15094,26.007553
CAALFM_C101570CA,99.69157,99.221373,125.615015,88.696994,100.171663,104.128707
CAALFM_C101580WA,263.853825,256.175237,312.430584,230.348797,253.178069,274.404309
CAALFM_C101590CA,95.333011,90.632292,105.589006,79.940092,85.691994,79.512717
CAALFM_C101600WA,224.695588,192.598691,244.026387,216.82569,242.584534,248.758294
CAALFM_C101610CA,3.482212,2.947519,3.605754,3.997855,4.745914,3.271581
CAALFM_C101620CA,12.851773,11.312461,17.165502,13.992201,19.609454,13.593572
CAALFM_C101630WA,151.389409,124.098072,113.75232,82.301552,86.761006,86.198283
CAALFM_C101640WA,550.63417,570.695018,618.685921,508.304199,559.312907,563.881752
CAALFM_C101650WA,62.464818,73.787408,34.359286,75.465435,56.727353,57.874036
CAALFM_C101660CA,0,0,0,0,0,0
CAALFM_C101670CA,7.337777,7.679402,10.789463,9.424369,10.487028,9.34179
CAALFM_C101680CA,202.752666,170.738298,227.336241,169.880523,192.433261,200.609664
CAALFM_C101690CA,992.158807,989.006647,994.225915,868.747622,818.910321,1019.648379
CAALFM_C101700WA,51.883368,45.128912,37.449536,45.105514,39.128676,33.097212
CAALFM_C101710WA,30.340586,36.541295,13.041289,39.69819,26.127182,19.051533
CAALFM_C101720CA,91.415212,90.666852,105.845297,119.162179,110.97096,125.551676
CAALFM_C101730WA,0,0,0,0,0,0
CAALFM_C101740WA,0.314954,0.466445,0.495618,24.005381,42.705513,13.375528
CAALFM_C101750WA,10.428037,12.666416,8.950758,4.244924,7.127959,5.644468
CAALFM_C101760WA,11.867789,12.35887,10.963767,14.609049,13.799248,11.315505
CAALFM_C101770WA,14.687634,14.677215,10.762749,13.932381,12.250018,13.15438
CAALFM_C101780CA,22.161389,23.884679,23.079607,43.859157,36.228359,36.206038
CAALFM_C101790WA,38.55777,32.783159,39.005451,38.545752,35.573294,31.576487
CAALFM_C101800WA,60.163111,56.669918,66.642431,59.802849,61.937273,60.743609
CAALFM_C101810CA,16.222356,18.437844,13.597089,28.34477,31.099663,32.906082
CAALFM_C101820CA,34.433171,25.406227,39.863529,34.090691,31.389184,31.400875
CAALFM_C101830CA,90.144903,114.545541,53.922654,81.32141,65.797703,57.841924
CAALFM_C101840CA,23.29707,37.070549,15.862427,73.387035,62.284076,72.194088
CAALFM_C101850CA,53.97771,50.307806,54.511111,56.369086,49.992748,54.499097
CAALFM_C101860WA,142.403692,139.05449,170.314724,116.217345,128.378311,137.67026
CAALFM_C101870CA,309.871305,292.493266,341.453074,219.69593,240.863786,282.377432
CAALFM_C101880CA,5.772706,5.157624,7.113947,6.771874,7.507679,5.947834
CAALFM_C101890CA,36.618909,35.882043,32.696232,41.79762,39.417817,35.1441
CAALFM_C101900CA,36.549656,32.410992,34.15827,33.357121,35.355676,34.215865
CAALFM_C101910WA,214.358801,197.487839,218.510238,170.577384,177.615176,210.427137
CAALFM_C101920WA,10.834617,6.4373,18.256457,26.088426,23.139787,29.994536
CAALFM_C101930WA,14.303053,25.006196,8.830824,36.215669,39.579774,25.582729
CAALFM_C101940CA,115.243456,109.722229,121.754526,92.774057,86.229989,113.623373
CAALFM_C101950CA,36.441561,50.188996,59.828792,64.422305,71.648936,71.777745
CAALFM_C101970WA,0.346893,0,0,0,0.518181,0
CAALFM_C101980WA,76.752907,101.914724,35.972111,497.406314,353.606433,371.693588
CAALFM_C101990WA,0.113886,0.078128,0.115361,0.260192,0.320528,0.334875
CAALFM_C102000WA,60.032971,68.894414,58.992386,62.806264,75.095657,68.947022
CAALFM_C102010CA,4.416195,5.978,5.332418,5.104726,6.273843,5.860098
CAALFM_C102020WA,20.813453,19.809676,19.301237,17.114177,20.301213,18.282044
CAALFM_C102030CA,32.807302,27.871841,38.873853,43.500297,46.559044,39.799393
CAALFM_C102040CA,19.611744,18.99567,15.328395,54.23036,42.936086,40.234413
CAALFM_C102050CA,29.570249,32.322149,30.979817,47.568795,35.555583,36.652679
CAALFM_C102060WA,73.833096,78.450122,68.575056,100.047111,90.116652,98.308218
CAALFM_C102070WA,7.600474,4.277426,0.590604,2.024204,1.649668,1.095801
CAALFM_C102080WA,43.345271,22.800124,48.580956,38.078839,36.080431,42.527127
CAALFM_C102090CA,28.008205,20.76355,28.834547,20.677647,24.102432,23.080223
CAALFM_C102100WA,3.901295,4.74377,8.996524,8.786812,10.110564,8.75902
CAALFM_C102110CA,3.828854,3.514499,2.466138,120.613589,93.364313,101.408925
CAALFM_C102120CA,1630.180058,1339.541654,665.396752,692.731056,335.567654,257.631339
CAALFM_C102130CA,135.965568,181.051492,34.263503,99.212764,48.621923,34.744214
CAALFM_C102150WA,134.84744,186.17397,16.523571,138.977321,68.288677,43.08707
CAALFM_C102160WA,29.595426,30.202211,31.999913,41.23955,31.827605,34.935517
CAALFM_C102170CA,21.551556,29.759546,11.164819,35.338501,21.734761,19.757936
CAALFM_C102180WA,463.267444,436.361855,108.936705,309.83874,131.385702,99.727148
CAALFM_C102190WA,74.045536,55.6536,83.214084,51.46327,53.695486,66.395231
CAALFM_C102200CA,15.318316,14.973189,9.481102,17.010602,13.270423,12.09388
CAALFM_C102210WA,54.737507,40.335261,34.384458,50.861552,38.878567,34.946776
CAALFM_C102220CA,20.562936,22.835136,26.392124,38.889336,38.469576,35.459191
CAALFM_C102230WA,46.48201,45.628501,59.7644,67.56048,66.911113,64.85661
CAALFM_C102240WA,72.011405,61.671522,83.953826,76.519057,79.215703,70.026791
CAALFM_C102250WA,41.29159,41.161434,37.035163,145.736822,172.129665,87.954628
CAALFM_C102260CA,104.257672,95.930257,103.599306,109.242542,98.472942,110.93576
CAALFM_C102270CA,12.867138,8.511503,9.901204,181.971845,233.504635,229.537817
CAALFM_C102280CA,6.587277,5.843566,8.233748,7.923239,10.023389,8.74833
CAALFM_C102290CA,57.134133,44.714753,55.996364,47.680711,55.050348,55.325102
CAALFM_C102300WA,42.645676,27.334189,42.057413,39.004223,34.451197,40.243314
CAALFM_C102310CA,45.691455,36.127969,48.939067,37.405163,39.912204,39.149846
CAALFM_C102320CA,45.51963,49.964817,40.217582,70.007845,71.893492,60.061298
CAALFM_C102330CA,5208.906597,4715.202065,5231.774855,3759.175319,3916.511134,1265.533954
CAALFM_C102330CA,5203.992968,5136.498952,5967.610839,3806.31648,3830.513673,2769.879142
CAALFM_C102340CA,0,0,0,0,0,0
CAALFM_C102350WA,78.388384,74.563578,91.447582,79.109513,87.645629,87.118382
CAALFM_C102360CA,0.782823,0.543501,0.905586,1.016048,0.807719,1.102711
CAALFM_C102370CA,19.511615,10.993184,23.685054,19.927365,18.761909,18.013617
CAALFM_C102380CA,5.426151,5.452452,8.523422,8.541054,10.771669,6.830452
CAALFM_C102390WA,12.541828,9.436821,11.809657,13.756389,13.748805,13.790069
CAALFM_C102400CA,22.392314,15.80922,34.937471,29.416254,36.005075,32.873903
CAALFM_C102410CA,32.258324,30.482836,36.675855,26.503084,32.516547,36.242782
CAALFM_C102420CA,49.256136,41.776457,58.338839,66.834959,1.58738,62.064267
CAALFM_C102430CA,147.143763,109.836491,165.751329,121.05758,128.817666,134.727738
CAALFM_C102440CA,33.318873,19.998016,26.40573,26.021464,22.416672,22.377131
CAALFM_C102450CA,109.271616,65.390493,143.843574,98.638567,109.402728,129.02398
CAALFM_C102460WA,4434.515563,4434.449734,4991.622864,3692.621525,3926.642298,4366.047754
CAALFM_C102470WA,10.620816,6.625027,13.597144,12.627209,16.631209,16.707424
CAALFM_C102480WA,293.331328,271.37824,317.412983,281.422577,281.757606,291.459803
CAALFM_C102490CA,27.879081,23.472933,30.358353,40.315931,41.339898,39.907525
CAALFM_C102500WA,27.025851,25.823457,28.166161,40.511638,40.052206,45.974342
CAALFM_C102510WA,38.436228,30.918355,39.639361,49.118747,44.37668,44.379032
CAALFM_C102520WA,0.404127,0.064477,0.083225,0.57705,0.314253,0.470568
CAALFM_C102530CA,71.432697,71.711337,101.471625,65.013963,62.469423,56.713917
CAALFM_C102540CA,0,0,0,0,0,0
CAALFM_C102570CA,2.270552,1.466404,2.357204,4.162855,4.866594,4.4437
CAALFM_C102580WA,0.155398,0.377327,0.265844,0.984592,2.48458,1.07984
CAALFM_C102590CA,109.917562,118.146786,107.542721,131.442178,127.492211,114.808261
CAALFM_C102600WA,42.281393,33.465992,45.041733,28.834974,35.453055,28.417109
CAALFM_C102610WA,16.428032,11.31392,21.60845,12.987703,14.751806,13.640694
CAALFM_C102620CA,223.304039,208.985851,220.099889,496.238969,537.89524,556.179517
CAALFM_C102630CA,11.575591,19.894765,17.202352,35.023818,45.451842,40.195203
CAALFM_C102640CA,456.445336,437.606739,474.290426,429.710797,459.241429,492.559308
CAALFM_C102650WA,396.192176,420.497138,437.484639,410.112292,455.887033,444.144716
CAALFM_C102660CA,60.099351,60.948215,76.868431,59.107352,72.330053,71.540701
CAALFM_C102670CA,0.193383,0.367342,0.09661,0.529408,0.430569,0.468983
CAALFM_C102680CA,4.331811,6.334295,4.060832,5.706451,4.526319,4.457497
CAALFM_C102690CA,0,0,0,1.66512,2.458253,0.494749
CAALFM_C102700CA,84.040205,86.240893,70.265199,899.57355,582.077762,653.222706
CAALFM_C102710WA,386.302288,375.062407,410.447059,357.863735,369.937583,372.383873
CAALFM_C102720WA,34.67373,29.825059,35.569318,36.030469,35.598705,37.266726
CAALFM_C102730WA,10.839908,7.292633,9.205258,20.764569,15.792883,12.218937
CAALFM_C102740CA,9.493083,8.355728,10.351901,12.002842,17.854377,14.618877
CAALFM_C102750CA,64.431003,63.798894,75.012033,60.764052,62.663865,63.434617
CAALFM_C102760WA,230.543012,240.646386,239.747279,244.062211,239.993045,245.814861
CAALFM_C102770WA,183.736713,172.965025,177.667449,138.644508,159.620651,185.418207
CAALFM_C102780WA,76.255663,85.073283,70.571149,84.766582,92.262118,90.587519
CAALFM_C102790WA,476.66783,449.901369,540.875653,413.156067,442.976778,493.269176
CAALFM_C102800WA,1.154459,0.64179,0.09843,0.833355,1.051095,1.000045
CAALFM_C102810WA,27.28648,31.296279,24.377199,26.822376,21.851374,23.453351
CAALFM_C102820WA,30.663963,31.797753,32.58741,77.269541,87.025055,77.066551
CAALFM_C102830WA,21.096822,16.852153,22.682455,20.690155,20.901531,23.547689
CAALFM_C102840WA,45.782188,47.920603,33.332935,58.00464,48.286926,50.058554
CAALFM_C102850WA,18.504369,18.886561,33.51386,31.953652,40.096955,40.974884
CAALFM_C102860CA,109.397081,101.165508,95.965972,135.940659,140.283309,142.204334
CAALFM_C102870WA,31.501821,36.238754,42.954336,36.78016,39.948415,41.077123
CAALFM_C102880CA,255.735449,226.662193,292.253053,258.531869,294.305205,305.291618
CAALFM_C102890CA,40.387712,41.537159,50.130816,73.15301,85.74815,88.492795
CAALFM_C102900CA,24.913191,18.169998,28.653942,21.052562,18.711683,23.81877
CAALFM_C102910CA,11.648394,8.089165,10.795014,12.069264,13.981566,14.333373
CAALFM_C102920WA,105.612389,101.963141,96.046871,108.005069,100.031536,101.550621
CAALFM_C102930CA,45.471288,47.532683,45.340438,43.953726,50.212437,48.026883
CAALFM_C102940CA,89.144171,79.40348,80.446346,73.574085,66.264369,75.279207
CAALFM_C102950WA,8.663714,9.240664,10.907358,8.008434,13.333988,11.822159
CAALFM_C102960CA,32.032457,31.467564,35.4364,33.404415,35.455986,39.334248
CAALFM_C102970WA,85.544345,84.71719,90.991239,96.138861,101.691119,93.15335
CAALFM_C102980WA,8.950005,7.922725,6.977608,30.952434,30.967796,30.748555
CAALFM_C102990CA,10.695096,4.693584,13.869441,5.36379,5.454895,3.495127
CAALFM_C103000WA,3.216768,3.469578,4.277095,6.952085,7.782652,7.211923
CAALFM_C103010WA,5873.023672,5643.388037,6011.7882,3812.727247,3920.463214,4669.787317
CAALFM_C103020CA,8112.370436,7957.372681,8371.354539,5953.121642,6253.545802,6931.367041
CAALFM_C103030WA,5401.43715,5199.086769,5693.589538,3914.368305,4055.585479,4568.789425
CAALFM_C103040WA,22.473956,20.065026,33.573712,37.100003,35.371613,37.101186
CAALFM_C103050WA,16.871686,14.066541,19.573948,18.02053,17.001325,16.858286
CAALFM_C103060CA,151.686102,116.827521,203.102609,117.877745,128.548131,158.232794
CAALFM_C103070CA,39.103814,38.474872,40.313608,36.492348,37.70482,38.005027
CAALFM_C103080CA,24.921425,22.119669,45.452076,43.689235,45.54987,45.427233
CAALFM_C103090WA,5792.254546,5732.3686,6131.960034,4380.16734,4657.015053,4947.10053
