,Untreated_1,Untreated_2,Untreated_3,SH9051_3,SH9051_2,SH9051_1,SH1009_1,SH1009_2,SH1009_3
CAALFM_CR06570CA,414.5459127,328.3611442,398.6992245,322.9216045,339.8868479,462.5576498,288.087232,192.7672205,204.5695676
RGS2,69.09098544,78.03406015,99.395605,289.6508938,245.5369871,311.4149089,132.0399813,118.5518406,131.3051178
CAALFM_CR06580WA,0,0,1.116804551,0,0,0,0,0,0
CAALFM_CR06600CA,302.0263078,464.3412886,272.5003103,397.2914286,395.5873681,241.422633,154.9560112,401.9196548,153.1893041
CAALFM_CR06620WA,696.8319389,656.7222884,756.0766807,567.5591837,574.0563819,741.5123727,723.4917986,520.4714955,676.5068026
CAALFM_CR06630WA,292.156167,324.4980719,214.4264737,400.2270796,425.1427462,280.9834846,205.1530289,447.2199517,212.1814585
CAALFM_CR06640CA,1062.027148,1001.308336,1046.445864,641.9290078,669.542988,847.0079771,868.6266541,691.0704857,716.4692298
SEO1,399.7407015,321.4076141,426.6193383,190.8173118,180.7425044,173.4591187,790.057409,873.2355091,846.8228612
CFL11,1.974028156,1.545228914,1.116804551,1.957100634,4.546981243,3.043142433,0,2.891508308,2.854459083
CAALFM_CR06680CA,1916.781339,1630.216504,1904.151759,2378.85582,2625.881668,2648.548297,3258.441192,3064.998807,3348.280504
CAALFM_CR06690CA,748.156671,762.570469,727.0397624,676.1782689,671.8164787,610.6572481,592.5430568,583.1208422,593.7274892
SOL3,2660.989954,2843.993816,2609.972235,2911.187192,2574.728129,2956.920064,2113.730941,2239.955103,2048.550135
GCN5,1260.416977,1180.55489,1173.761583,1313.214525,1375.461826,1386.658568,1376.053029,1373.466446,1206.484706
NMD3,7507.229076,6724.836233,7409.998193,7693.362591,7870.824532,7508.446762,9003.81724,9495.713284,9322.663364
APG7,162.8573228,189.2905419,157.4694416,199.6242646,194.3834481,216.0631127,104.7589935,102.1666269,127.4991724
CAALFM_CR06740WA,304.98735,303.6374816,333.9245606,311.1790007,378.5361885,320.5443362,511.7913326,476.1350348,494.7729077
PUP2,3609.510482,3710.094622,3448.692452,3302.607319,3197.664559,3392.089432,2953.985368,2957.049163,2753.601529
LSC2,10525.51813,10406.34412,10485.67793,11288.55645,11129.87334,11338.7487,11195.02619,10980.98472,10592.89766
CAALFM_CR06770CA,1038.33881,1029.895071,974.9703726,564.6235328,662.7225162,619.7866754,1552.83383,1085.279452,997.1577063
CAALFM_CR06780WA,1391.68985,1422.383215,1359.151138,1147.839522,1204.950029,1268.990394,889.3602049,979.2574804,882.0278566
CAALFM_CR06790CA,293.1431811,295.1387225,304.8876423,125.2544405,152.3238716,138.9701711,231.3427772,256.3804033,273.0765856
HHF22,19116.48866,20034.66548,18928.72033,17222.48558,19463.35321,17220.12865,22699.9644,24146.98588,19818.50941
HHT2,20435.13947,20427.15363,19249.24323,18523.9575,19758.90699,25507.61987,18530.33821,46732.55728,18704.31888
CAALFM_CR06820WA,622.8058831,611.1380354,598.6072391,637.0362562,597.9280335,591.3840127,482.3278657,552.2780869,489.0639895
SIW14,262.5457447,275.0507467,241.2297829,349.3424631,370.5789713,310.4005281,240.0726933,296.8615196,286.3973946
CAALFM_CR06840WA,1402.547005,1114.110047,1451.845916,1601.886869,1636.913248,1777.195181,2252.318359,1834.180104,2047.598649
CAALFM_CR06850CA,396.7796593,354.6300357,326.1069288,410.0125827,369.442226,287.0697695,301.1821062,385.5344411,314.9419855
ARO10,175.6885058,213.2415901,182.0391417,81.21967629,70.47820927,86.22236892,108.032712,111.8049879,124.6447133
tS(AGA)2,0,0,5.584022753,0,0,1.014380811,0,2.891508308,0
ALG6,650.4422773,655.9496739,714.7549124,414.9053343,414.9120384,439.2268911,593.6342963,429.8709018,523.3174985
BUD5,768.8839666,771.069228,935.8822134,700.6420268,732.0639801,704.9946635,1009.396552,831.7905567,912.4754201
CAALFM_CR06920WA,57.24681651,55.6282409,83.76034129,33.27071077,81.84566238,65.93475271,66.56561043,62.64934668,66.60404527
CAALFM_CR06930WA,608.987686,572.5073126,539.4165979,552.880929,510.3986445,582.2545854,512.8825722,459.749821,474.7916941
DSL1,321.7665894,322.952843,326.1069288,231.9164251,283.0495824,285.0410079,292.4521901,199.5140733,261.6587493
ATX1,1057.092077,1345.894384,988.3720272,1685.063645,1484.589376,1312.608769,985.3892822,1246.240081,867.7555612
CAALFM_CR06960WA,762.9618821,694.5803968,654.4474666,767.1834484,863.9264362,878.4537822,981.0243242,945.5232168,997.1577063
CAALFM_CR06970CA,657.3513758,533.1039753,664.4987076,654.6501619,685.4574224,720.2103757,911.1849952,823.1160317,793.539625
