Gene_name,R1_T36_1,R1_T36_2,R1_T36_3,R1_Ctl_1,R1_Ctl_2,R1_Ctl_3
CDS1,2313,2788,3288,2849,3085,3042
CEF1,269,368,246,54,52,131
CEF3,29598,37684,35560,35451,41926,52014
CEK1,728,818,1478,146,147,238
CEK2,10,21,30,17,8,23
CEM1,112,189,138,49,64,181
CET1,1263,1224,736,468,498,596
CFL1,402,372,508,524,529,452
CFL11,12,83,59,755,945,217
CFL2,403,61,275,1248,1406,1203
CFL4,11,0,1,4,9,6
CFL5,2,2,0,2,6,0
CGR1,193,270,330,44,42,169
CGT1,541,570,472,80,102,246
CHA1,447,1651,1962,2637,3164,5729
CHC1,7021,8002,8401,2389,2624,3945
CHK1,331,455,852,257,300,402
CHL4,74,49,24,15,14,30
CHO1,1207,2281,3096,1696,1890,2284
CHO2,448,339,359,172,167,281
CHR1,199,418,304,48,47,239
CHS1,728,774,226,630,631,296
CHS2,1533,1539,1454,590,629,709
CHS3,4264,3572,4421,1862,2042,2925
CHS4,1343,1561,1727,634,699,1077
CHS5,4226,3228,3099,476,534,861
CHS6,572,576,499,339,372,482
CHS7,386,577,708,273,238,324
CHS8,2360,1679,1123,1485,1762,1027
CHT1,243,293,152,445,376,239
CHT2,2313,2358,1169,3076,3595,3423
CHT3,375,2691,1014,1921,2316,1331
CHT4,197,232,240,57,38,64
CIC1,101,205,138,42,36,171
CIP1,8,22,48,13,18,23
CIRT4B,121,60,51,10,3,24
CIS2,681,661,805,181,236,286
CIT1,1891,3153,1860,1592,1843,2262
CKA1,1067,1210,1102,728,778,690
CKA2,243,247,224,40,50,151
CKB1,370,401,343,139,187,268
CKB2,176,183,202,55,60,172
CKS1,364,355,290,348,375,265
CLA4,1200,988,1047,456,503,801
CLB2,596,404,243,124,108,257
CLB4,474,527,297,246,244,353
CLC1,1949,1363,1567,233,241,419
CLG1,2851,4609,4069,5177,5708,4408
CLN3,1328,1608,2028,1855,2120,1909
CMD1,9734,6546,9907,3197,3380,4983
CMK1,2883,1242,1053,308,331,890
CMK2,808,696,810,226,232,461
CMP1,1454,1242,1528,448,459,723
CNB1,554,392,581,134,134,324
CNH 1.00,769,1425,883,413,349,394
CNS1,360,403,414,113,107,385
CNT,1702,6281,3590,4660,4924,7317
COB,7,16,1,6,4,10
COF1,8463,8140,8026,6134,6220,7093
COG4,1082,790,778,180,182,293
COI1,86,56,109,45,26,57
COQ3,1425,1713,1788,1506,1682,1928
COQ4,1088,1050,1702,476,458,924
COQ5,1145,1115,1257,420,450,1065
COQ6,5940,5645,6206,5045,5616,6044
COX1,12,10,5,9,7,7
COX11,617,682,902,358,412,612
COX13,3289,2769,3947,1220,1502,2272
COX15,2662,3843,2186,2839,2943,4279
COX17,0,2,0,0,1,0
COX19,229,231,189,72,88,176
COX2,10,10,5,13,10,16
COX3A,0,0,0,0,0,0
COX3B,0,0,0,0,0,0
COX4,4232,3946,2462,5049,4942,3698
COX5,852,946,1110,397,402,1280
COX6,1174,1086,1317,525,498,1897
COX7,150,115,101,109,23,117
COX8,1504,1023,1053,889,902,1429
COX9,271,73,190,33,22,109
CPA1,54,239,479,78,106,227
CPA2,91,258,397,129,146,498
CPH1,552,455,475,730,814,443
CPH2,3351,4864,3659,3388,3837,4043
CPP1,799,650,925,245,268,482
CPR3,1646,2086,2749,1328,1453,2047
CPR6,4408,6128,3975,1624,1495,3047
CPY1,1786,3203,4195,3868,4446,5540
CRC 1.00,573,1028,915,861,957,842
CRD2,21,18,21,8,10,25
CRG1,56,49,38,15,11,31
CRH11,5232,7185,4975,5948,7612,4745
CRH12,1182,478,822,646,656,1651
CRK1,757,652,561,145,120,324
CRL1,877,771,529,165,171,234
CRM1,833,1147,827,396,428,796
CRN1,2188,2028,1855,581,638,823
CRP1,2659,4659,3710,4497,4922,3989
CRZ1,1122,1224,1076,211,211,425
CRZ2,885,281,634,73,95,301
CSA1,439,718,407,1362,1432,894
CSA2,0,0,0,0,0,0
CSC25,1077,1043,1069,614,722,1034
CSE4,169,167,79,44,52,74
CSH1,929,3478,2254,356,392,1714
CSH3,1269,1577,1720,1207,1336,1319
CSI2,40,71,60,35,18,64
CSK 1.00,1,0,1,0,0,1
CSO99,78,60,98,23,23,43
CSP1,21,39,26,17,7,14
CSP2,91,73,65,35,24,84
CSP37,568,397,516,17,7,126
CSR1,136,104,76,46,66,80
CST20,910,1096,871,362,361,565
CST5,304,309,326,244,248,226
CTA1,356,244,259,75,50,109
CTA2,1072,1184,883,285,250,587
CTA24,2221,1598,1106,395,332,594
CTA26,1604,1695,1569,473,366,659
CTA3,2866,3707,3154,3497,3388,3018
CTA4,1657,1629,2107,777,848,1661
CTA6,461,332,280,161,115,198
CTA7,1540,1313,1520,406,406,739
CTA8,886,824,522,174,228,483
CTA9,512,303,268,87,88,198
CTF1,93,245,138,67,68,153
CTF18,471,395,439,156,175,431
CTF5,45,9,12,8,2,11
CTF8,32,37,28,10,12,43
CTM1,8919,6329,9227,2240,2400,2922
CTN1,1,3,2,2,1,10
CTN3,30,34,42,10,10,26
CTP1,458,522,693,668,619,978
CTR1,2202,218,791,1172,1306,1973
CTR2,442,359,702,415,396,450
CUE5,1889,1801,1453,304,322,544
CUP 1.00,27,16,73,49,46,51
CUP 2.00,647,659,480,174,183,483
CUP 5.00,6575,7060,7725,6423,6498,4874
CUP 9.00,8579,13104,8573,13004,15329,9073
CWC22,59,95,77,10,16,58
CWH41,1095,1270,1564,263,333,525
CWH43,1899,2273,1962,767,802,1091
CWH8,82,220,115,60,58,94
CWT1,805,732,489,223,225,329
CYB2,17,36,35,5,9,22
CYB5,2685,2329,2554,3514,3569,3028
CYC1,868,1072,725,621,685,1182
CYC3,279,931,512,897,958,769
CYK3,242,221,176,64,47,58
CYM1,878,963,1191,277,338,828
CYP 1.00,28925,26435,31335,32955,34414,29147
CYP 5.00,5503,4636,6565,2154,2140,3258
CYR1,1765,2347,1827,1235,1336,1811
CYS3,7599,15958,19516,32577,34207,19047
CYS4,3072,3441,4552,2614,3004,4758
CYT1,5151,4574,4018,3001,3051,3580
CYT2,122,170,157,51,54,135
CZF1,2151,1173,1146,393,467,737
DAC1,964,996,1162,1245,1270,576
DAD1,35,20,15,2,0,10
DAD2,123,54,35,25,32,39
DAD3,70,22,44,3,5,38
DAD4,61,40,24,17,17,49
DAG7,295,814,620,120,126,297
DAK2,5718,3485,3152,509,491,2146
DAL1,73,135,54,430,396,137
DAL4,45,83,52,43,67,69
DAL5,150,99,181,94,74,114
DAL52,0,4,3,3,1,1
DAL7,20,10,27,9,17,9
