,WT_YPD.30C_1,WT_YPD.30C_2,WT_YPD.30C_3,WT_YPDserum.37C_1,WT_YPDserum.37C_2,WT_YPDserum.37C_3,WT_LI_1,WT_LI_2,WT_LI_3,WT_LI_4,WT_LI_5,ume6_YPD.30C_1,ume6_YPD.30C_2,ume6_YPD.30C_3,ume6_YPDserum.37C_1,ume6_YPDserum.37C_2,ume6_YPDserum.37C_3,ume6_LI_1,ume6_LI_2,ume6_LI_3,ume6_LI_4,ume6_LI_5
orf19.1313,1.92668,1.34374,3.97743,3.24506,5.30989,6.53626,17.0284,15.4135,16.2655,13.4805,20.4163,2.47298,2.17354,2.46678,3.21835,3.60594,5.59062,13.3611,18.8912,12.4998,11.9749,15.2128
orf19.1314,21.3822,22.5687,25.0114,11.0201,27.5022,20.1762,71.9511,56.4508,46.7134,51.0636,49.5489,11.4768,26.2757,24.1998,9.23189,9.91134,6.71511,59.8675,53.663,60.4558,58.0425,56.82
orf19.1317,24.5076,25.2772,40.3029,23.4231,29.9551,24.893,65.6748,66.1341,50.1315,45.4035,49.1632,18.8646,36.3746,36.6109,21.1737,21.1586,16.0633,45.0054,37.6389,33.3481,35.7577,49.8005
orf19.1318,1.63743,2.12424,4.88197,1.69269,5.86197,4.36784,8.00394,5.83175,9.93655,6.84133,12.1587,3.53944,4.13162,4.4287,3.94185,3.84979,2.11533,7.99779,6.1508,7.61753,5.90216,7.7939
orf19.132,11.7692,14.8314,25.8843,8.60525,24.2061,18.6999,57.45,59.3813,56.1821,57.4558,47.6134,8.78971,24.4481,23.8384,9.91555,12.2841,6.69618,63.6342,55.9451,64.4367,56.6411,59.72
orf19.1321,11.2926,11.518,6.85094,6135.81,2066.94,4185.84,2997.55,4259.27,2153.27,1194.29,1911.57,9.00961,5.53221,6.13114,681.963,438.262,637.969,1075.2,1550.98,235.985,662.532,741.524
orf19.1323,7.18974,8.48305,12.2458,6.4262,12.2908,11.0584,24.8455,23.2654,21.4303,21.9798,22.6423,5.01011,11.7454,11.5615,7.62073,8.73286,4.718,23.2932,21.8436,20.9935,21.0361,26.6699
orf19.1324,7.07022,6.5229,9.26652,6.90053,8.73336,8.23767,8.16099,8.30556,10.2831,6.4747,10.9804,5.38784,8.07252,8.81584,8.44589,6.22085,6.8191,8.577,11.5006,9.557,8.84997,8.96581
orf19.1327,8.60021,7.81106,8.16703,53.453,49.6689,59.8384,7.70494,7.3376,2.99542,1.17716,2.26233,10.5558,5.80712,5.94244,137.82,121.758,113.239,1.76782,2.76698,1,1,2.42101
orf19.1331,9.47206,8.49573,16.3136,6.78769,16.1686,22.5654,230.189,122.047,150.023,127.291,162.832,7.07316,13.0858,11.2251,7.01114,8.6049,5.35835,170.065,162.869,146.827,259.7,201.245
orf19.1332,11.7036,9.0679,15.0433,14.3917,13.0622,15.2611,59.7515,66.7592,48.7734,49.867,57.9931,11.0718,14.6507,13.8309,10.1614,8.96843,7.25525,45.9075,53.5236,28.099,39.1517,45.3882
orf19.1333,5.7589,5.75241,8.99208,7.79471,13.9891,12.4327,74.0516,49.0715,53.4413,48.2718,60.9667,4.34721,7.88814,7.64742,7.12253,8.05268,5.63057,51.7936,64.058,41.5581,52.9642,60.4511
orf19.1334,4.07594,4.3842,8.07733,4.97819,7.63947,5.01106,19.9698,28.1824,12.7544,15.1593,15.0919,3.2144,6.59685,6.9614,2.65804,3.19488,1.98808,11.1633,11.1156,5.37825,8.76649,7.76434
orf19.1335,10.5564,7.28358,26.3845,13.1307,24.6547,25.16,24.0137,15.5511,21.9271,23.2067,35.19,10.3039,20.0457,21.7941,32.0501,32.4529,17.8209,26.2116,32.7405,55.503,28.1632,38.4115
orf19.1336,57.902,47.3525,75.0085,34.5945,107.482,107.196,212.255,225.848,276.498,254.994,263.826,47.0305,82.0532,63.4864,40.7903,61.7895,23.1976,309.603,261.067,333.601,317.167,219.865
orf19.1336.2,7.33393,11.2074,13.2244,20.7727,19.69,38.0916,44.8992,68.9342,75.8101,70.016,70.9379,10.5822,3.37795,4.23776,13.8628,12.3514,15.9659,92.8653,102.477,136.854,91.2106,75.2309
orf19.1338,39.6489,34.2874,40.5481,32.8316,38.876,48.0585,173.08,127.329,132.585,132.014,162.053,28.5617,37.925,42.1514,30.1308,26.8019,23.3878,148.722,118.504,135.957,161.649,164.717
orf19.1339,107.714,147.852,115.072,101.285,103.764,151.263,181.725,145.099,156.205,120.575,160.373,98.8614,128.853,122.637,106.444,100.167,103.303,157.466,129,178.097,232.322,244.223
