,II_KO2_CTRL(raw),III_KO3_CTRL(raw),I_KO1_CTRL(raw),II_KO2_treated(raw),III_KO3_treated(raw),I_KO1_treated(raw),II_QMY2_CTRL(raw),III_QMY3_CTRL(raw),I_QMY1_CTRL(raw),II_QMY2_treated(raw),III_QMY3_treated(raw),I_QMY1_treated(raw)
C5_00470C,1.970551,1.70782,1.818585,2.18098,2.70445,3.07446,1.28761,1.776344,1.553039,1.460026,1.983451,1.576498
C5_00480C,131.0994,123.0917,132.1237,245.096,317.455,268.756,108.6503,152.1746,150.9386,129.3153,191.1795,169.8383
C5_00490C,11.09703,17.21956,14.26784,19.80404,21.1521,18.72091,15.47134,17.7363,17.23168,14.47602,19.48161,19.48516
C5_00500W,33.9129,35.9895,36.3948,50.3413,52.0752,52.0637,36.2344,43.0033,45.316,34.9586,42.8213,44.5552
C5_00510W,2.81902,3.1878,4.9402,3.56551,8.24033,7.17423,2.68188,3.79049,4.35627,2.22356,2.50338,3.69189
C5_00520W,0.163005,0,0.136108,0.703145,0.510067,1.189445,0,0,0.125174,0.706066,0,0
C5_00530W,0.1830392,0.188379,0.356618,1.294012,1.63342,1.910699,0.1741348,0.1429064,0.437295,0.374399,0.278648,0.420963
C5_00540C,0.605892,0.935352,1.602059,0.6534,1.790599,0.690809,0.1296933,0.0886958,0.1163185,0.0546761,0.1729453,0.1959554
C5_00550C,121.3,132.4739,145.8863,184.0154,205.453,188.1224,109.258,121.8551,118.7852,145.0117,130.4476,134.8467
C5_00560W,279.414,333.18,295.227,383.613,528.126,474.786,329.627,346.71,311.495,346.996,320.168,333.262
C5_00570W,10.90771,12.2383,12.90214,22.3807,28.8291,30.57,11.71702,14.21415,16.485,14.85668,17.79131,17.17409
C5_00580W,47.19,52.179,45.6287,62.691,68.8191,74.3888,54.6848,43.9874,45.3811,55.9705,53.3293,52.9161
C5_00590W,493.059,432.316,707.016,2361.18,3521.47,3100.02,285.624,464.667,427.897,789.011,978.833,712.138
