,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C5_04930C_A,1.55422,1.53241,1.43266,1.39196,0,0,1.71789,1.67787,1.75516,0,0,0,1.89299,1.84957,1.75725,1.71665,1.72416,1.68065,1.24473,1.21566,1.67278,1.63507,3.02427,2.57228,1.78415,1.74653,1.18317,1.14691
C5_02550C_A,9.19113,9.64924,12.3299,11.5373,12.2452,11.5434,7.83744,7.19711,7.5352,7.12489,4.39165,4.75849,13.4031,13.0957,14.6114,14.4905,26.3104,25.209,35.2808,34.9351,7.57104,7.90456,3.84889,3.11253,3.50154,3.42771,16.5635,16.1727
C2_09070C_B,3.19237,3.26023,2.47538,2.2514,2.41504,2.46687,2.24771,2.49623,7.24277,6.59531,3.05325,3.31224,2.69228,2.41292,3.17003,3.29844,24.8765,26.6864,23.1146,28.0011,28.1095,27.6058,12.0384,9.36587,14.5509,15.1889,12.9977,13.775
CR_08430W_A,12.1615,11.9909,11.3743,11.0512,11.2236,10.9559,11.7181,11.4451,13.0839,12.8077,11.7977,11.5533,13.8302,13.513,13.3497,13.2078,10.9251,10.6494,13.4534,13.1392,14.2383,13.9174,14.672,14.1355,12.1223,11.8667,11.29,10.944
C1_09090C_B,2.49232,2.31816,3.85924,2.89704,5.94475,5.51524,4.31008,3.48475,6.61318,5.67713,6.16468,6.03697,3.44944,2.92255,3.83393,3.74535,5.89357,5.73712,5.33492,5.3966,8.2806,7.89386,6.05402,6.11789,6.07055,6.03854,4.57918,4.3352
CR_08150W_B,2852.29,3000.16,3000.32,3141.04,2946.36,3114.66,2876.2,3057.05,2348.12,2479.61,2207.36,2321.7,2936.78,3096.66,2520.6,2650.67,4146.73,4413.57,4036.97,4206.29,2607.7,2769.15,1126.81,1150.87,2371.53,2499.47,3374.8,3511.02
C7_00770W_B,60.6228,59.7723,40.8729,40.2727,69.6502,68.5294,69.063,69.1718,69.7493,69.9666,76.9025,76.0717,72.8722,74.3567,60.4509,59.0543,31.8216,31.0186,32.9371,32.1679,76.7057,76.294,15.6504,15.0782,71.7481,73.7539,17.5464,16.5465
C4_02600C_A,7.23723,7.17853,14.2422,13.0885,11.3011,11.0315,11.9046,11.8146,6.23479,6.4886,8.74952,8.03562,8.98403,7.79956,10.179,10.0532,9.36433,9.47451,7.13427,7.37692,5.44685,5.67164,4.51971,5.23572,8.46038,8.282,10.7923,10.9393
C2_02120W_B,3.59994,5.65203,2.7531,3.11553,2.78367,3.78506,2.19036,1.90777,3.2523,2.48953,4.37688,6.31656,3.04125,2.70142,4.05101,4.73252,40.8279,23.1777,35.8805,32.8046,6.16542,10.7252,18.1943,18.6977,20.0355,23.2985,17.9979,17.4463
C3_03010C_A,73.8136,77.1545,145.94,132.726,120.519,109.494,30.3701,42.5626,3.1834,16.0454,3.25562,2.62275,27.2607,40.6337,102.407,100.629,68.5048,56.0909,86.8707,68.5121,90.8016,93.9066,132.85,147.909,117.085,117.205,113.622,121.307
CR_00130C_A,19.1564,18.4416,9.31822,9.05353,16.1358,15.7509,14.1218,13.7928,14.5572,14.2498,19.8731,18.9108,17.8944,17.484,14.8786,14.5348,9.20682,8.97447,5.45945,5.33195,18.1834,17.7735,19.6053,18.8885,18.8746,18.4767,9.41743,9.1288
C4_02190C_B,0,0,0,0,1.42215,1.38823,0,0,0,0,0,0,1.34632,1.31544,1.83108,1.78877,0,0,0,0,0,0,2.50289,2.41138,1.49821,1.46662,0.993546,0.963095
C4_04820C_A,41.7211,41.2205,37.5753,36.6267,59.767,52.9198,51.5173,46.8375,22.9817,16.5992,25.2087,26.0068,35.9251,39.6766,37.3762,36.0969,53.9252,54.1982,58.7607,61.5977,14.273,20.5143,10.1621,10.7182,12.5867,16.5868,46.4572,47.7136
C3_06070C_A,19.0596,18.7922,24.3397,24.1965,18.4735,18.5611,18.7021,17.9866,15.7248,13.741,17.9828,17.6103,21.5555,19.8272,21.4752,21.2654,30.3106,29.2147,25.5118,24.3316,19.5254,20.0512,19.4156,18.3336,16.9607,16.6031,30.5855,28.9705
C1_14570C_A,13.1454,12.961,12.1173,14.0615,13.1274,14.2844,15.4954,15.1344,11.0752,13.1398,11.0451,11.8529,9.1673,10.6739,12.588,14.6874,9.85853,13.2937,9.5195,10.1103,17.815,20.9975,21.9606,21.1577,21.9342,22.4288,8.06199,7.8149
C1_04300C_A,380.542,374.704,418.288,420.623,530.926,489.212,546.962,526.062,437.063,423.838,504.983,481.115,503.915,491.299,502.861,472.007,615.994,588.906,622.522,614.157,480.623,459.25,271.719,239.295,475.918,468.256,545.301,524.108
C1_00770C_B,3.88717,5.49702,14.2955,11.2049,16.6411,13.3404,29.6708,24.0133,14.1218,9.22215,9.14839,10.9453,15.5314,12.4504,10.6875,9.39654,20.809,19.8289,9.23484,7.91467,9.67886,8.44973,8.16299,5.86487,6.55936,4.72372,23.5477,19.5444
CR_05440W_A,41.8694,41.282,21.8882,21.2664,23.4576,24.1013,39.196,38.2828,51.9461,50.8495,34.7105,33.9914,34.562,33.7693,32.0838,31.3425,13.9689,13.6164,9.58324,9.35944,43.563,42.581,82.7374,79.7123,59.2665,58.0169,31.8738,30.8969
C3_07040C_A,23.1613,22.8363,17.3069,16.8153,27.4557,26.8008,26.6094,25.9895,33.1336,32.4341,32.057,31.3929,25.7021,25.1126,29.7391,29.052,15.9628,15.5599,18.3531,17.9245,32.4811,31.7488,29.2252,28.1567,31.6226,30.9558,26.3129,24.8592
C2_09290W_A,79.8571,78.7367,88.8622,86.3381,153.485,149.824,121.224,118.399,79.6651,77.9833,44.4164,43.4963,133.579,130.515,113.439,110.818,100.825,98.2805,148.143,144.684,85.9492,84.0115,59.0114,50.1494,53.6859,52.5539,115.371,111.835
C1_11280W_A,6.01253,5.92818,7.81669,7.59465,9.6782,9.87323,7.93846,8.20472,15.0893,14.7708,11.766,12.1229,8.23852,8.04956,7.64779,7.4711,7.21741,7.03526,11.1835,10.4512,8.06459,6.84448,13.8135,13.3084,14.2663,13.9655,10.5878,10.2633
C4_01180W_A,0,0,0,0,0,5.17466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_10800C_B,7.74084,7.63223,12.3809,11.303,23.564,18.2446,9.47575,10.8476,16.6328,17.5338,30.1121,29.4883,2.43041,3.71315,9.20104,5.39997,16.3596,14.9639,23.2381,23.3889,11.3338,10.1241,36.2413,37.2714,22.5278,20.5344,13.7828,12.908
C1_10550C_B,3.1266,3.14456,2.59048,2.40447,1.17295,1.3096,2.58675,2.31624,5.17095,3.5121,7.07556,8.88822,1.37504,1.21211,1.75077,2.0599,1.9402,2.07522,2.02707,1.9836,3.26174,5.17661,18.7313,20.6651,4.6792,4.8484,3.43016,2.73749
CR_00990W_B,38.0583,37.5243,43.1768,41.9504,49.1741,46.7381,53.4409,53.5342,60.5278,59.25,70.9501,69.4803,28.6905,28.0324,60.2718,58.8792,34.1012,34.8233,38.6331,37.7309,55.1396,53.8966,112.663,110.323,60.4907,59.2153,51.2573,49.6863
CR_08340W_B,73.4623,72.5964,77.248,77.8858,106.535,95.8026,65.0703,63.2403,111.403,106.896,147.661,121.346,50.3255,56.0925,84.7047,70.191,113.696,105.86,128.288,125.991,81.8868,75.1017,60.7843,61.1353,54.7525,51.8792,76.7973,66.8227
C6_04170C_A,8.71523,8.64615,13.2885,12.9111,5.09357,5.20878,6.3914,6.4195,7.51703,7.58894,8.72606,7.93903,6.84854,10.0759,13.0443,9.87844,3.90834,4.03202,8.97352,7.70957,6.25132,5.90552,9.84857,8.93442,5.22352,4.28067,3.65736,4.69633
