,CAI4_R1 TPM,CAI4_R2 TPM,CAI4-w-alpha_R1 TPM,CAI4-w-alpha_R2 TPM,CEk1CEk2_R1 TPM,CEk1CEk2_R2 TPM,CEk1CEk2-w-alpha_R1 TPM,CEk1CEk2-w-alpha_R2 TPM,CEK1_R1 TPM,CEK1_R2 TPM,CEK1-w-alpha_R1 TPM,CEK1-w-alpha_R2 TPM,CEk2_R1 TPM,CEk2_R2 TPM,CEk2-w-alpha_R1 TPM,CEk2-w-alpha_R2 TPM,CPP1CEK1_R1 TPM,CPP1CEK1_R2 TPM,CPP1CEK1-w-alpha_R1 TPM,CPP1CEK1-w-alpha_R2 TPM,CPP1CEK2_R1 TPM,CPP1CEK2_R2 TPM,CPP1CEK2-w-alpha_R1 TPM,CPP1CEK2-w-alpha_R2 TPM,CPP1_R1 TPM,CPP1_R2 TPM,CPP1-w-alpha_R1 TPM,CPP1-w-alpha_R2 TPM
C1_14260C_B,128.42,125.262,180.519,175.392,137.251,132.197,156.284,152.014,83.1378,80.4544,96.3398,94.3441,145.247,143.302,146.031,142.657,147.041,142.586,175.293,171.199,107.861,106.153,71.7681,69.1441,74.7676,73.1912,169.507,162.789
C3_04720C_A,5.90817,5.64434,4.93861,4.79833,3.92538,3.51503,5.01555,5.06649,8.14357,7.97165,7.34304,7.41428,4.20166,4.10529,4.25184,4.1536,4.51847,4.20601,4.51963,4.58927,7.93893,7.5669,8.14966,8.07478,8.67811,8.28893,4.77708,4.22442
C1_07360W_A,5.78759,5.13775,9.81494,8.85415,9.61212,8.37956,4.98074,4.38174,8.63093,5.91901,7.92983,9.31489,8.2289,9.52917,8.85088,8.10712,8.77793,9.07841,9.48125,9.03349,5.20845,5.09103,21.9082,19.8613,2.76707,3.00033,10.0802,10.151
C3_00010C_A,29.1026,26.6181,21.6395,15.0425,21.4406,15.8631,19.8245,15.4574,29.5206,23.5665,31.0669,29.9115,20.0865,16.8518,20.5552,19.4691,14.0019,9.64627,18.5033,13.8001,15.1098,15.375,29.444,25.2453,25.6601,22.186,15.0342,12.4752
C2_04480W_B,1.52643,1.50502,1.40059,1.49993,1.20396,1.29442,1.42409,1.36927,2.08705,2.0071,1.90297,1.84872,1.5042,1.52615,1.48608,1.48752,2.35545,1.48349,2.38561,2.3299,16.5155,15.6101,56.4364,41.3752,19.1126,13.967,5.50957,3.77085
CR_01770C_A,5.7992,4.79657,5.16844,5.2752,14.5747,14.2062,16.3595,15.9784,10.9769,11.1021,7.64938,8.87647,7.47187,7.13132,9.09997,9.7528,4.29472,4.02427,7.49644,7.2922,10.5681,10.9797,12.1399,10.5883,8.74242,8.55809,10.0712,9.72279
CR_06040W_B,14.9243,15.8156,18.731,21.0661,26.0271,27.6767,20.4927,21.2103,13.1802,16.8264,18.669,20.0106,22.1631,18.0829,8.23122,8.04104,17.9686,14.4422,12.568,13.2617,11.8413,10.8211,25.3369,22.0957,9.15015,10.3424,16.6118,19.6171
C6_03660C_A,53.0463,51.9479,47.3783,48.3932,22.8896,23.5372,15.9798,15.824,17.6594,13.9371,17.5195,17.4863,23.5421,24.3931,39.3406,40.2544,20.5384,20.02,41.8887,40.1065,27.9836,25.9898,22.7406,23.0713,20.1975,10.9816,23.0282,23.0712
C2_01910W_A,7.75002,7.64129,14.1865,14.893,15.4714,16.0586,24.1048,25.3014,19.1164,19.0435,27.1638,30.1393,22.8574,23.7275,7.4214,7.24993,3.26496,8.83173,22.3763,23.7956,9.62472,11.8223,3.36194,3.23902,16.9415,15.9786,10.0679,8.31509
C1_06480C_B,65.8878,66.2876,101.591,97.5021,77.248,76.5646,76.7689,74.9804,116.735,116.083,76.8816,75.2889,76.2804,74.5309,88.8171,86.7651,90.9719,88.676,80.1607,79.5709,73.8053,72.1415,106.865,102.958,75.6353,74.0405,113.551,111.062
C3_03920W_B,226.498,223.32,108.611,105.525,234.149,223.047,152.193,148.647,144.784,141.728,217.946,213.431,180.893,176.744,118.951,116.203,109.435,106.673,140.171,136.897,181.856,184.481,92.2117,88.8403,260.006,254.524,138.361,134.12
C6_02770W_B,27.8945,31.2658,66.8773,61.4926,43.1983,34.9015,51.8329,48.7565,5.0485,4.94192,13.2593,3.09148,49.4246,56.3806,42.4251,40.2453,1.99729,2.85877,2.18216,2.36179,22.9994,17.3527,3.51689,4.45266,34.4101,37.5098,40.6912,50.7696
C6_02900C_B,4.90601,5.25333,1.9495,1.13191,2.92133,2.85165,4.51175,4.40664,4.28554,4.4585,1.50622,2.54243,4.75431,4.09405,4.89395,4.36827,1.40034,1.28845,1.16853,1.10443,2.45864,2.9231,2.25779,2.17524,2.05403,2.01072,3.70553,3.97346
C5_02960C_A,0,0,0,0,2.93287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52547,2.44807
C7_01360C_B,2.61821,2.58147,5.84485,5.67883,6.7027,6.54284,5.9359,5.79761,3.60883,3.53264,0,3.18666,6.54091,6.39089,8.44839,8.25319,8.41064,8.19838,6.19817,6.05342,6.8245,6.67065,4.86942,4.69139,0,0,6.71626,6.51042
C4_03450C_B,8.15761,7.51875,10.3772,10.7243,5.83362,5.98712,13.6089,12.9998,7.26079,8.02726,12.1194,12.0402,10.6038,10.7007,8.2979,7.46928,4.91436,5.14948,5.96658,6.2353,8.29429,9.03521,11.1445,10.7371,10.6873,10.6152,9.40404,8.62642
C3_01680C_A,2.04694,2.01822,2.71947,1.6453,1.3096,2.43202,5.1199,8.21612,2.01129,1.96883,3.1507,3.08543,6.88016,6.72236,7.49977,8.36429,5.84453,6.41158,13.4668,12.3227,3.77166,3.68663,1.70566,1.6433,3.14432,2.30022,5.73133,5.22838
C5_01970C_B,2.22165,2.1015,1.47692,1.40947,1.42844,1.5894,1.70517,1.57768,2.29674,2.28014,2.13183,2.13905,1.73711,1.59834,1.83006,1.66615,1.91353,2.0103,1.81432,1.52151,2.0203,1.86646,2.17695,2.08096,1.89923,1.88403,1.32858,1.31865
CR_03250C_B,27.0041,25.3178,33.4486,30.717,44.3895,42.7586,33.3489,30.7533,45.4465,42.6978,46.7474,38.5161,28.5404,27.2175,25.2241,24.6413,20.3949,19.8802,16.6749,15.6525,37.6276,33.9892,16.505,14.2895,41.6549,38.5414,12.9861,11.6096
C2_00330C_A,12.3773,11.4267,13.9324,12.6801,8.50989,8.54375,12.6079,11.5361,17.0604,16.3202,14.0847,13.1415,13.2801,11.327,10.006,9.25029,5.53419,4.59186,5.69074,6.19552,13.9911,11.5286,8.16093,8.81317,11.4648,11.043,5.17372,8.7601
C1_05760C_B,3.9993,3.94319,3.6865,9.36003,25.0261,24.3045,5.83318,5.69728,3.31781,3.24777,54.8983,53.7611,20.1393,19.5329,3.82972,3.74123,6.91238,6.73793,16.9987,16.6017,22.1106,23.9418,5.04637,4.86187,7.15288,7.00206,4.74348,4.5981
C2_10550C_B,21.1318,20.8353,20.9176,20.3235,23.318,22.6541,22.4124,21.8902,24.6526,23.8795,22.7724,22.3766,25.1475,24.5707,25.078,24.4402,25.8663,25.2135,28.3456,27.6836,25.0283,24.4641,17.8418,17.1895,20.7465,20.3792,20.2215,19.6478
C4_05430C_B,6.35813,6.62824,13.8404,13.6151,13.0545,11.9106,17.0662,17.1768,10.0907,10.2479,12.3867,10.9931,15.0243,14.0049,8.79505,8.37633,13.1328,12.7711,15.5106,16.8113,10.9868,11.1845,6.42974,6.19465,18.5126,18.0365,20.0996,19.1624
C2_09030W_A,29.5295,28.5055,35.5129,37.1841,23.8598,22.5458,30.5662,29.5788,32.9463,32.2508,33.5431,32.8482,13.4666,13.1578,17.0594,16.6653,8.05129,7.8481,12.059,11.7774,17.17,16.783,31.941,24.6791,24.2192,23.7086,8.83477,2.03883
CR_06930W_B,10.3055,10.1609,11.2019,14.2359,6.25117,6.10208,15.8392,15.9426,17.5937,17.2223,11.4142,10.1185,20.0829,20.9212,6.00353,5.37778,12.0614,11.757,17.3196,14.0703,14.1078,15.5192,11.1161,11.8295,15.8419,16.2888,11.0794,11.0028
C2_03240C_B,7.83877,7.10912,6.98058,5.72647,6.67212,7.12995,5.63131,6.82499,9.11884,8.99809,6.95232,7.1368,9.58278,10.1837,5.81111,7.23354,13.6265,12.0703,22.0142,19.1014,28.0127,25.3333,46.0523,40.8,23.4476,23.3266,33.0922,29.1652
C2_09470C_A,2.68682,2.64912,3.82045,3.71193,2.83609,2.76845,3.90625,3.25087,2.50613,2.45322,2.04386,2.00152,3.66766,3.58354,4.58606,4.4801,6.22463,6.06754,1.77731,1.7358,2.24545,2.19482,3.19117,3.07449,3.48316,3.40972,1.78088,1.7263
C2_03670W_A,48.9521,50.6032,10.1834,10.6128,26.8127,29.4441,51.0464,50.1309,15.2273,13.4159,20.7617,20.9626,45.735,43.7823,21.9527,21.9934,5.42034,5.62825,5.04463,5.10229,3.30328,6.8458,6.34135,3.62518,19.3306,23.7949,1.19613,1.15947
C1_14050C_A,4.26489,4.47861,4.18707,4.06814,4.26103,4.03968,4.2523,3.77271,7.21702,6.50313,7.02481,7.04813,4.3995,4.43842,3.95121,3.85992,5.50069,5.21186,4.98259,4.86622,6.38192,6.0921,8.53227,8.22031,7.28453,6.81916,3.66914,3.55668
C6_03090W_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19089,0,1.31123,1.28167,1.84203,0,1.39853,0,1.02164,0.990328
C1_09330W_A,7.99093,7.63698,13.8627,12.6853,13.9664,13.6332,19.2338,17.2856,2.25832,4.7542,7.11638,6.58304,9.58243,9.36265,8.84695,8.64255,23.3489,22.7597,15.6942,19.3276,8.53283,8.34046,4.44608,4.28353,2.78083,2.7222,12.5347,16.5003
C1_08520C_A,70.1593,69.175,74.6502,72.5297,87.5456,85.4576,72.4352,70.7477,51.9432,50.8466,73.7447,72.217,94.7067,94.353,94.8265,92.6356,139.875,134.394,123.252,120.373,63.861,62.4213,27.0629,26.0734,43.26,42.3478,76.7582,74.4056
CR_06030C_A,2.36842,2.33519,2.36313,2.66154,3.875,3.54498,0,1.02413,2.43287,2.38151,2.6233,3.37222,1.75987,1.36724,4.65747,4.74608,4.07953,3.72906,2.99473,2.45309,3.5766,3.67846,3.3914,3.69101,4.1508,4.06328,2.04634,2.32963
C1_08560W_B,44.3103,35.0273,67.2064,58.7411,44.5378,41.678,37.8222,44.3133,67.4469,58.501,18.7407,33.3932,49.6847,57.8723,49.0704,40.5597,54.8299,54.2104,50.8202,52.2145,55.1518,47.8177,48.9979,38.1391,39.0619,38.2388,38.4844,43.4623
CR_03270W_B,204.213,224.091,188.527,197.376,8.19158,4.18693,2.13597,2.12587,319.057,318.984,295.74,343.026,239.904,256.856,166.353,186.331,217.207,233.894,217.268,250.849,228.979,252.597,192.73,214.115,203.94,210.558,228.552,228.714
CR_00370W_A,7.61025,7.50348,8.71937,8.47169,9.01644,8.80139,8.33594,8.14173,12.2736,12.0145,8.53931,8.36241,10.3299,10.093,11.1827,10.9244,6.80149,6.62985,8.16203,7.97142,12.3698,11.8964,16.3685,15.77,9.16061,8.96746,9.31227,9.02686
C3_04940W_A,16.1059,15.8799,12.4594,12.1054,16.9858,17.0276,7.80538,7.15003,18.6306,18.936,14.8682,14.5602,18.2169,18.321,14.4311,14.0977,18.4415,17.9761,12.7063,12.9039,10.646,10.406,15.7484,15.1726,14.3272,14.0251,14.2321,13.7959
C6_02410W_A,36.4634,37.4206,40.8016,38.363,15.2254,17.3215,29.1365,26.0946,23.6267,30.4326,26.1997,26.2176,55.2541,51.9078,49.654,48.5068,35.4653,34.7309,27.6822,27.4296,10.8125,12.2175,27.951,28.1196,19.406,18.9968,14.0004,14.4174
C2_06310C_B,2.06291,2.16194,1.91959,2.11333,2.05705,2.18009,2.02661,2.26802,14.6088,25.405,2.58588,3.06698,2.29168,2.41514,2.01517,2.28409,425.332,388.588,415.41,413.862,391.58,397.129,223.163,264.903,363.34,364.705,432.128,416.168
CR_10300W_B,94.3415,93.0179,102.043,99.1441,89.6928,87.5535,113.62,110.973,101.605,99.4602,124.326,121.75,72.3727,70.7128,103.282,100.896,75.4626,73.5581,78.3142,76.4853,103.07,99.9978,180.071,173.487,118.096,115.606,93.4776,90.6127
C4_06230C_A,10.7956,11.4945,16.333,17.2811,9.69404,10.3205,14.3918,13.0379,20.0387,20.1252,13.8977,14.3046,13.5461,9.19258,13.8239,13.9934,8.56356,8.34744,14.5901,14.9873,13.0944,15.1507,14.3271,13.4343,18.7388,17.9882,16.7502,16.075
C7_02310C_A,7.2762,7.17412,7.93537,8.10776,4.86201,4.74605,9.30638,8.68346,10.6414,10.4168,9.04333,8.85599,6.5895,6.88604,7.39299,7.22218,7.08636,7.38781,5.81005,6.09839,15.0019,14.6637,17.5879,15.8649,6.82305,6.67918,10.611,9.95799
C7_00100W_A,3.7788,3.72579,2.96942,2.88508,3.58713,3.50158,2.23293,2.18091,4.05604,3.97041,3.65733,3.58156,3.03554,2.96592,4.15236,4.05642,2.02766,1.97649,2.60403,2.54322,3.7671,3.68218,6.52657,6.28795,6.89742,6.75199,3.30102,3.19985
C4_02230C_B,4.21934,4.16015,3.90995,2.67134,3.18357,3.10764,2.21344,2.16187,4.11126,2.32578,2.93865,2.12522,1.80122,1.75991,4.96956,4.85474,0,0,0,0,3.21027,3.1379,12.4617,10.728,1.97876,3.3518,1.32925,1.28851
C5_00800C_B,1.87688,3.79024,1.89929,1.76971,1.71196,1.84829,1.66482,1.94891,3.35275,2.64128,1.90367,2.48445,1.47639,1.74197,1.60352,1.73013,2.54,2.33657,1.84115,1.79815,1.9334,2.3748,2.07321,2.71337,2.19411,2.6287,1.41383,1.44578
CR_04470W_A,2.35818,2.3251,5.57909,5.42061,4.26214,3.62913,3.9368,3.28212,6.64512,6.50483,3.69615,3.61958,5.60835,5.47972,2.84779,2.782,4.66515,4.54742,4.11074,4.01474,4.52614,4.4241,7.63709,7.35786,4.82746,4.72568,3.20137,3.10325
C2_04740C_B,2.09701,2.06759,1.2783,1.24199,1.27858,1.19676,1.22042,1.4151,2.55686,2.82941,1.5823,1.76025,1.48548,1.61908,0,1.44781,6.26531,6.76911,1.32534,1.68154,3.80553,5.55413,4.538,3.06999,10.3186,10.101,3.83617,2.59031
C4_00040W_A,17.8693,18.2213,14.6665,13.4243,17.8253,16.2552,14.9236,14.0409,22.1768,19.6513,21.7519,21.3013,21.9829,20.8113,19.6029,20.2938,23.1973,24.1437,22.6983,23.0077,18.3402,17.0677,24.3855,23.149,16.653,18.1448,18.1713,17.2442
C3_04750W_B,3.41342,3.36553,4.63695,4.50524,3.01771,2.71316,3.95233,3.86025,6.93368,7.15092,6.58704,6.45058,5.18917,5.34177,5.84936,5.71421,3.78666,3.6911,4.12695,4.03057,4.54399,4.44155,4.98721,4.80487,4.53714,4.44147,3.41915,3.31436
C2_01630W_A,5.99532,5.91121,10.06,10.2147,4.43068,4.325,5.61251,5.48175,11.6532,11.4072,8.6739,8.49422,6.18455,6.0427,11.3927,11.1295,7.19647,7.01486,7.78353,7.60175,12.2755,11.9987,27.4238,26.4212,12.5281,12.264,30.3982,29.1036
C1_09920W_A,5.32562,5.2509,4.20782,3.90728,5.32586,5.73754,5.14821,5.97932,6.41432,5.91782,8.12415,7.91811,5.19807,4.16057,7.71364,6.7083,6.13774,6.67494,7.84469,8.04242,8.95579,8.54625,9.09489,11.1503,9.36031,8.03,7.71549,7.59392
C1_01830C_A,51.5829,51.3352,65.1242,53.3336,44.3129,42.5454,43.5904,41.9,52.8578,45.1942,33.6315,33.0378,36.9475,33.4579,63.4919,75.7815,21.4519,14.7392,14.5206,21.6361,66.6042,60.5995,152.492,179.758,99.1249,86.9028,83.86,84.3381
C7_00140C_B,46.665,46.0103,38.1079,37.0254,36.5486,36.8255,33.7178,34.1491,51.4796,50.3928,53.0357,53.557,44.0191,44.3509,49.7842,46.1439,35.5265,40.3867,28.7025,26.7616,45.9276,46.2924,50.4857,50.2578,39.8182,40.4743,47.6828,46.2213
C1_02650W_A,204.91,186.128,192.514,171.607,136.405,120.919,176.757,176.779,109.309,118.346,172.267,166.217,174.548,188.157,157.816,152.836,135.897,127.465,146.974,146.886,125.286,132.234,184.853,180.849,93.9816,102.39,163.803,170.749
C4_05530W_B,9.26251,8.70956,1.75472,2.38068,3.34018,4.07146,5.15959,4.78034,7.19327,8.12667,9.13426,9.20221,5.12201,5.6143,1.5963,2.06671,3.07585,1.9727,2.76262,2.03481,7.44051,7.72189,6.31771,6.97936,9.6451,8.44458,2.12142,2.7916
CR_10850C_A,776.32,765.428,776.659,755.977,708.111,689.893,749.823,728.128,870.464,852.087,828.929,808.008,834.192,815.059,818.631,799.717,644.184,627.926,667.008,652.902,900.202,875.046,874.612,842.634,788.608,771.981,907.603,878.649
C5_01730W_A,1.32723,1.30861,2.24856,2.18535,1.66748,1.91308,2.11452,2.06526,2.34298,2.29352,1.88111,1.84214,1.5613,1.52549,1.44935,1.41587,4.68153,5.38738,4.12518,4.02884,1.90706,1.86406,2.37996,2.06645,1.73744,1.99113,2.71229,2.62916
C3_01880W_B,6.45952,9.22306,10.1099,8.70147,5.66509,5.00818,8.8993,6.8584,16.2049,16.0886,13.1645,13.1218,7.31286,7.53314,10.8535,11.8534,5.80224,5.0291,6.17641,7.84548,4.16864,5.90085,16.0583,17.8065,9.40713,7.60555,8.15698,5.06951
CR_03870W_B,31.8437,46.6899,40.2719,38.9989,2.25244,2.13987,2.25942,2.15315,52.0196,43.354,48.9757,56.903,12.8081,14.9509,16.468,15.6589,2.77054,17.7208,27.7594,20.4004,69.525,76.3816,96.8398,79.1663,3.00639,29.203,33.1491,29.3828
CR_03760W_B,16.1301,16.6408,19.0029,18.4631,25.4949,24.8868,16.4997,16.1153,9.86877,9.66042,20.0475,19.6322,22.8082,21.5316,14.7303,14.39,29.5035,28.7589,31.1123,29.672,14.947,14.61,11.8641,11.4303,9.93525,9.72577,19.6771,19.0741
C4_02680C_A,22.746,52.1759,18.5721,20.7466,27.0992,26.4528,7.56376,7.38755,17.7551,17.0055,44.1117,51.5812,54.0851,23.348,15.9659,2.3661,30.7211,31.1754,19.6947,46.3403,24.6824,36.3548,3.17432,67.6568,16.2018,2.74601,26.8218,50.3534
C1_01260C_A,24.5784,26.2985,44.5246,36.8256,19.8592,19.3855,14.3474,17.2067,28.1052,23.2636,17.1026,18.8668,20.5914,17.8157,21.5438,25.4441,13.2231,16.6418,42.4315,41.9317,14.2634,32.7874,3.26646,20.9604,33.9066,51.6223,11.8005,23.7751
C4_03780C_B,20.6459,17.3748,9.37523,10.6518,13.5015,11.429,18.2772,17.0098,15.0802,12.9079,7.49373,8.36633,9.1314,8.92197,11.4499,15.3644,19.9424,17.4735,17.1181,15.0565,18.7663,19.2442,4.08089,5.97293,9.76791,7.18549,7.61651,6.87294
C1_08490W_A,32.3338,30.8921,20.4467,20.8062,24.2033,23.626,36.344,37.5868,31.9939,26.9854,45.5818,50.3251,29.7966,27.9305,23.7286,23.1804,29.4926,31.1542,17.6828,20.6224,31.4836,26.6225,15.3399,14.6561,29.8593,23.6124,12.2422,10.5871
C1_01940C_A,54.5522,53.7868,48.9627,47.5719,58.3775,56.9852,45.6952,44.6306,33.654,31.0073,37.4801,36.7037,50.3526,49.1977,54.9874,53.717,47.7814,48.1273,49.1169,47.9699,29.3677,28.7057,32.6193,31.4266,37.9123,37.1129,43.7136,42.3739
C5_02580W_B,2.26852,2.24421,2.09113,2.05602,2.00865,1.98558,2.13642,2.09043,3.10948,13.8187,0,2.74843,2.34557,2.30451,2.17963,2.16401,0,2.4582,2.21037,2.18098,2.42579,2.40971,2.8474,2.77983,10.9929,2.54036,1.72695,1.68709
C4_05550C_A,38.0649,36.7817,35.2663,32.285,49.8587,47.5186,35.4219,38.2904,62.6231,64.5007,37.5575,40.8046,38.7731,41.3751,33.5306,32.308,35.5389,33.7452,40.6262,40.2588,51.1471,51.7014,57.6404,56.84,45.6662,43.0053,40.1922,39.7389
C3_01720C_A,29.0478,26.3766,37.9896,36.1811,29.6942,28.8879,36.3445,34.1658,7.1387,7.01459,2.68023,2.65568,34.0051,34.7896,32.5035,32.2468,31.3052,31.7079,34.8476,33.9009,44.8014,46.2514,70.8587,65.8792,35.5838,35.4137,40.356,35.7533
CR_07440W_B,7.67179,9.27917,10.8529,10.1477,13.5051,15.4636,19.2637,16.585,11.3859,17.2174,15.1738,15.3572,10.7952,8.81301,5.81653,5.87344,18.8445,13.3367,18.5304,14.4093,13.3225,14.5122,9.95365,8.37852,15.4233,19.245,8.46181,7.15805
C1_04750W_A,3.74026,3.68778,3.44773,2.54936,4.8869,4.3847,6.46351,6.31292,3.92354,3.84071,2.42706,2.37679,2.93637,2.86903,3.03828,2.96808,5.14069,5.01095,3.13836,3.06507,4.0256,4.14739,3.59179,3.46047,4.80657,3.62264,3.5277,2.76007
C1_12970C_A,13.284,11.179,10.0931,11.4249,12.3145,12.5191,8.06724,8.43276,16.2909,15.6307,17.3347,19.2599,8.11536,5.45866,11.3778,10.2583,13.4777,13.0027,9.5028,7.66511,14.2889,12.9501,16.6734,17.6895,16.5274,13.411,12.1546,10.5909
C3_04320W_A,18.1488,17.8942,18.0561,18.8035,24.3176,23.6831,17.1381,16.6733,23.376,22.8825,30.7204,30.084,17.564,17.1611,17.2765,16.8774,18.4702,17.8207,12.4682,12.177,16.7987,16.42,10.9843,10.5827,22.1623,21.695,18.5511,17.3484
C1_01920W_A,2.91725,2.87632,3.93843,3.82656,3.96106,3.50231,5.16474,5.24032,4.37089,3.8536,2.99006,2.66663,6.35396,5.68771,2.9815,2.91262,6.53943,6.3744,5.3799,5.9782,4.27785,3.9641,4.88905,5.59398,4.93892,5.05176,2.25527,2.64528
C2_10000C_A,3.40961,3.36177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61357,2.54761,2.30297,3.25508,2.53569,3.58699,0,0,6.33308,3.8315,0,0
CR_04090C_B,78.6355,79.802,89.2715,82.7626,3.71339,2.82884,4.483,3.23261,115.419,92.9198,93.3853,84.2538,105.162,87.4265,87.4356,82.7093,68.4204,55.315,82.3264,61.1497,132.511,116.863,118.332,98.7617,122.851,104.059,95.5742,87.3266
CR_00520C_A,13.0967,13.7693,21.6791,21.5818,20.2802,20.2961,22.2878,22.2979,25.0349,24.897,26.172,26.5107,20.8266,20.4948,22.1054,21.8655,21.9152,21.6752,20.1597,19.8271,25.3127,25.0466,34.79,33.87,28.6595,28.7058,24.7357,23.9776
C1_03800W_A,2.32186,2.28928,5.46193,4.85984,4.58819,4.47875,0,0,3.20036,3.13279,2.88576,2.82598,2.39515,2.34021,2.22341,2.17204,5.24076,5.1085,8.72749,9.19348,3.13679,3.06607,2.92976,2.82264,1.45839,3.11259,5.42519,5.25892
C1_04290C_A,289.969,288.813,212.988,204.134,343.273,321.869,400.374,378.599,352.005,341.737,303.857,292.189,337.515,317.886,265.686,255.663,257.084,239.283,265.298,241.281,281.677,272.823,123.86,115.783,240.641,225.691,138.43,128.286
C2_07480W_A,31.0692,31.0623,23.4035,23.6008,37.0354,36.4811,41.8502,42.7296,39.1826,37.6723,39.1065,40.317,36.7983,35.8425,33.0354,32.7528,15.3008,15.4311,18.3048,17.4339,22.6002,23.1974,31.144,29.1337,29.6674,27.3951,20.4242,22.4911
C4_04560C_A,21.7226,19.0537,14.0063,13.6699,19.343,19.2205,18.5514,17.4178,10.9381,13.6255,20.0658,23.6145,16.4414,16.2031,13.2388,11.7445,15.4488,15.9167,13.062,12.757,15.53,15.8808,17.6685,15.6876,16.2668,16.2784,18.1971,14.6031
CR_03050C_B,5.98953,6.05181,10.8824,10.2234,1.75326,2.27955,1.80035,1.34066,9.13264,8.93983,10.4434,10.5772,5.32001,5.19799,9.11852,9.55278,7.18214,5.68389,11.5283,11.341,8.77017,9.60793,10.4024,6.72176,13.9841,12.0151,10.3917,10.2456
C1_13400C_B,19.2269,16.4928,25.8625,25.7708,27.9996,26.6732,24.7569,25.1898,23.2132,22.7231,43.3267,42.4447,27.8548,25.6042,20.088,21.9379,13.7417,11.4238,22.4475,25.1994,31.8146,34.8845,43.6427,43.575,34.3166,28.3782,31.6544,32.9495
C5_04040C_B,0,0,4.31026,0,0,0,0,0,0,0,0,0,4.82357,0,0,0,5.18727,5.05636,4.57082,4.46407,0,0,0,0,0,0,0,0
CR_00610W_A,2.52718,2.49172,2.60727,2.53321,2.94455,2.87432,4.24628,4.23919,5.55992,5.44254,6.012,5.88746,3.12498,3.0533,2.61238,2.55202,1.80075,1.7553,1.58674,1.54969,5.31434,5.19453,3.4423,3.31644,4.2846,4.19426,1.54156,1.49432
C7_04280C_B,32.5964,31.3454,28.5629,27.7516,30.9524,30.2142,39.5578,38.6362,40.4913,39.6365,48.5165,47.5115,23.6607,23.118,35.8392,35.0111,18.3009,17.839,19.2734,18.8233,47.2123,46.148,72.6179,68.9842,47.5833,45.6754,28.4913,27.618
C1_13610C_A,10.2514,9.46889,9.25059,9.76137,12.3082,11.642,12.2247,12.5322,8.47522,8.00495,13.5462,13.0028,9.90675,9.02662,9.40318,9.18592,6.82111,6.41547,8.75442,8.34383,11.4983,11.9205,13.4803,13.2499,12.5116,12.0052,10.5985,10.433
C4_01900C_B,712.028,766.961,645.92,626.227,657.245,660.837,779.515,777.945,895.193,898.955,1024.33,924.141,786.977,752.371,664.511,715.752,491.072,463.618,407.666,401.671,854.903,832.771,1158.32,1078.82,954.599,970.693,607.664,585.742
C4_05880W_A,4.51007,3.25478,6.10491,4.65342,7.74434,5.33527,3.92698,2.65816,11.0329,8.92069,6.96077,6.90927,2.95038,3.51952,5.50972,4.66005,2.07502,3.14334,2.56537,2.50546,3.55293,3.47283,6.55619,4.83572,10.208,9.02426,5.04831,4.89358
CR_01790C_A,4.73954,4.02562,3.53536,3.98554,4.84043,4.54549,8.56148,7.13946,7.59076,8.10687,5.46889,5.97277,4.87323,4.62545,4.77834,4.61745,3.79115,2.83194,3.67286,4.21584,6.80198,6.64863,11.4006,11.5854,5.14758,3.7471,3.23772,2.76046
C7_01850C_B,27.3574,26.2087,28.3162,24.5014,33.3295,31.642,43.5227,39.9082,48.4002,45.9829,48.1415,45.8854,36.2227,33.307,37.0919,34.5417,28.054,25.948,24.9728,22.4148,39.7412,35.037,54.7483,48.3459,42.9806,38.5876,31.4555,29.1558
C7_00660W_B,80.2194,79.3328,70.3712,69.0234,43.7114,43.5054,60.3514,57.3944,116.917,112.814,106.93,103.535,85.7511,82.3188,88.8847,87.0578,17.4825,16.2551,17.2999,16.8959,111.378,107.337,124.155,118.732,123.243,120.1,20.2985,20.0341
C1_11490C_A,48.6992,42.4162,10.722,10.1586,45.6768,46.5177,40.983,42.7565,18.1754,20.047,21.2646,16.0273,31.7439,29.5667,14.5966,15.7007,21.6418,17.8494,9.30064,8.05505,35.7526,30.3336,15.3511,15.946,28.4821,24.5253,6.20283,5.77476
CR_03480W_B,1.19985,1.18302,1.10601,1.07459,0,0,1.12324,1.09707,2.28337,2.23517,0,0,0,1.20933,1.09833,0,1.89639,1.84853,2.45731,2.39993,0,0,8.58986,5.62901,0,0,1.0643,1.03168
C7_04070C_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91701,3.82651,0,0,0,0,0,0,28.3587,30.1155,0,0,0,0
C4_06760W_B,29.6501,34.4533,37.0048,44.1064,43.7176,43.3484,38.285,32.4808,63.8538,55.7575,38.9142,31.9098,53.1731,57.0822,40.4148,43.0007,52.9991,42.8658,62.129,66.1049,31.3171,32.3564,16.459,10.146,25.4881,23.7757,32.5269,27.9901
