,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C604370WA,12.72750895,11.17490793,11.60665943,15.58060533,16.05213257,18.22480058,10.85863431,14.0126021,13.38509964,12.53455867,17.6514027,13.83338552,17.08744675,18.73722266,21.07554796,21.51970383
ALS2,1881.259796,1908.330432,2089.460994,1980.214348,2062.51745,1426.801245,2859.411178,2291.729387,2546.724348,2267.549873,2124.106104,2924.598053,3936.935866,2300.730782,1976.530192,1885.6718
CAALFM_C604400WA,12.72750895,9.88549548,10.42632118,7.521671539,7.771846991,5.601200177,5.692026049,7.675244366,5.855981091,8.677771385,11.7676018,6.182176714,10.67965422,7.506009076,10.09251592,7.441972505
CAALFM_C604410CA,48.23056023,50.83969104,57.24640497,45.66729149,36.89811469,27.50440087,35.5532704,30.56014729,30.01190309,33.98793793,49.06766071,68.49362121,49.36373506,29.96843624,35.62064444,36.77574746
CAALFM_C604420WA,23.71335878,19.03418384,19.60672977,16.31934093,16.05213257,15.13160048,14.62412846,25.84233654,18.50908309,15.5878486,11.06586408,10.28322463,7.713083604,5.226406319,13.17963844,9.736580694
CST5,14.33519429,14.79754292,16.32801242,11.34966509,11.8393557,7.106000224,7.881266837,12.04097969,8.993113818,9.481268736,12.09148075,14.0782242,12.69692224,7.784009412,10.74556107,11.2249752
CAALFM_C604440CA,22.23964722,19.03418384,18.16409413,16.85660318,16.12476665,9.948400314,11.03377357,14.64633787,16.41766127,14.38260257,18.13722112,21.66822333,22.6052681,11.50921392,18.52273511,14.94596145
CAALFM_C604450WA,13.86628607,15.53435004,16.00014068,16.25218315,15.68896215,11.11880035,13.0478751,12.04097969,12.653102,12.13280999,14.95241146,19.21983652,18.21474359,10.11921224,12.88279974,12.58933682
tL(CAA)3,0.066986889,0.061400593,0.196723041,0.268631126,0.290536336,0.083600003,0.262708895,0,0.313713273,0.080349735,0,0,0.118662825,0.166800202,0.118735482,0.062016438
CAALFM_C604470CA,157.2852159,128.5728418,133.1159245,115.0412799,102.1235221,72.7320023,88.00747968,92.38459274,68.28492236,93.36639213,88.25701348,103.1995043,84.30993693,61.88287482,79.90897902,76.6523168
CAALFM_C604480CA,20.56497499,24.86724018,26.68875925,30.89257954,28.10939052,21.23440067,23.46866125,27.18022317,19.554794,20.4088327,18.73099919,33.91015742,44.79521631,18.34802219,35.38317348,29.3957914
LIP4,19.96209298,17.92897317,19.54115542,19.67723001,22.95237055,17.13800054,26.09575019,18.026262,27.18848363,20.56953217,11.92954127,12.79282112,12.57825942,6.894408336,12.05165137,10.23271219
TSM1,123.0549155,101.8635839,109.5091596,95.29689209,85.70821915,61.02800193,71.98223711,82.52648071,67.34378254,76.97504618,94.57265298,115.4414384,102.4653491,59.10287146,82.52115962,90.17190019
CAALFM_C604510CA,19.62715854,23.27082476,21.70510887,20.41596561,18.15852101,12.5400004,14.53655883,13.59011158,11.81653327,16.63239515,11.3357632,14.50669189,16.31613839,10.23041237,13.71394811,14.63587926
ILS1,717.2956096,686.642832,710.4324759,615.4339106,614.5569849,473.6776149,573.2308079,385.2409351,446.1002738,441.6824936,496.8303071,569.0050963,396.5118286,374.688853,303.9034648,366.7031952
CAALFM_C604530CA,134.5766604,131.0288656,127.4109563,115.3770688,103.9393742,78.16600247,96.32659467,75.34414194,107.7082236,91.27729901,104.3430013,119.7261154,107.5085192,57.10126904,57.88354721,66.97775255
HAT2,18.22043386,17.99037376,19.86902716,11.61829622,11.18564894,15.21520048,19.96587599,23.16656327,19.13650964,24.42631945,16.89568515,20.44402992,20.17268019,17.62522131,27.249793,25.11665721
CAALFM_C604550CA,59.95326584,61.95319838,74.75475564,65.74746818,63.40955535,47.31760149,80.03864321,66.89433163,77.90546272,73.84140651,46.58458877,62.12781549,56.95815584,43.53485264,73.91283721,67.28783473
CAALFM_C604560WA,48.09658645,42.3664092,45.63974555,37.9441466,33.41167865,59.69040188,108.4112038,72.0346329,94.63683727,85.57246783,41.45650541,55.94563877,43.7865823,39.47604773,37.81725085,44.27973641
NAG6,117.896925,86.63623679,92.98442412,71.25440628,59.19677848,38.53960122,63.0501347,58.37410623,44.44271363,58.97670552,74.70807747,109.9937778,76.83417898,39.14244733,71.83496628,69.52042649
HXK1,11.85667939,6.201459898,8.00007034,6.379989252,3.704338285,3.260400103,4.991468997,5.421961616,4.496556909,5.865530659,6.099720198,7.589999133,4.924507224,2.446402958,4.749419258,4.961315003
NAG1,18.75632898,18.60437969,18.55754021,14.17029192,11.62145344,11.36960036,18.65233151,17.81501674,15.99937691,19.92673429,14.52057286,18.97499783,15.54483003,14.56721761,22.26290277,19.41114495
DAC1,37.31169729,34.99833804,37.96754694,32.03426182,29.92524262,23.82600075,36.86681487,36.5454296,26.456486,38.72857229,21.75386938,27.48314202,20.29134302,20.51642481,40.01385725,35.72146802
NAG3,3.41633135,3.62263499,3.868886476,3.290731298,1.961120269,2.926000092,7.530988311,6.478187905,5.855981091,7.472525359,7.611155291,10.65048266,10.32366575,11.00881331,14.36699326,14.63587926
NAG4,0.200960668,0.368403558,0.393446082,0.470104471,0.36317042,1.170400037,3.502785261,1.830792234,2.718848364,2.490841787,0.647757897,1.285403079,1.423953896,1.556801882,1.899767703,1.302345188
CAALFM_C604650WA,33.96235283,19.83239155,19.9346015,16.25218315,9.878235428,8.694400274,12.34731804,12.60430038,14.84909491,13.49875549,17.75936235,22.03548136,17.26544099,8.840410689,11.99228363,15.1940272
CAALFM_C700010CA,3.282357571,2.087620164,1.77050737,1.880417885,1.743218017,1.922800061,2.101671157,1.267471547,2.405135091,2.651541257,1.187556145,1.775080443,1.542616721,1.167601412,1.127987074,1.612427376
RVS161,59.35038384,49.85728155,58.23002018,52.38306965,45.9047411,46.14720146,57.62081754,60.0640683,58.45523981,62.67279334,43.93957735,60.59757373,54.88155641,33.97164108,66.9074438,57.86133623
CAALFM_C700030WA,115.3514232,99.7145631,104.6566579,89.45416509,100.6708405,68.88640217,76.79856684,80.76610356,80.62431109,81.47463134,62.23873795,55.70080009,69.18042678,58.76927106,78.54352099,57.61327048
CAALFM_C700040CA,3.215370682,2.394623129,2.360676494,2.350522356,3.195899697,1.58840005,2.014101525,1.760377148,1.777708545,2.089093111,1.835314042,0.979354727,1.305291071,1.00080121,1.602929,1.860493126
RAD3,51.98182602,29.53368525,31.14781485,27.87047936,18.88486185,16.72000053,20.66643304,20.63162018,18.404512,23.3817729,21.21407113,29.68669016,17.97741794,11.50921392,17.86968996,16.6824217
CAALFM_C700060CA,29.67519192,22.9638218,26.36088751,21.28901677,17.50481425,14.21200045,16.46309073,25.41984602,16.83594564,22.33722634,31.95605626,43.70370469,39.15873214,18.23682205,26.06243818,25.42673939
CAALFM_C700070CA,11.92366628,8.350480654,10.0328751,9.469247205,10.4593081,8.192800259,11.20891283,10.4918478,10.45710909,9.07952006,8.690751786,10.772902,8.484391964,4.559205513,9.439470776,9.426498507
SAC7,151.1894089,157.7995241,180.4606031,148.0157506,153.7663559,142.9560045,190.2012397,98.44029013,177.5617124,122.6136957,102.3457477,102.2813593,89.17511274,130.6045579,77.29679843,91.72231113
CSA1,106.2412063,99.65316251,111.8698361,75.08239983,85.12714648,499.5936158,1442.797249,905.6084201,964.1454581,1099.907523,28.39338782,40.27596314,27.82643239,419.8917077,213.9019699,229.1507367
FRP2,85.74321818,135.0813047,201.5099685,139.6210279,184.0547689,498.3396157,636.0182337,363.4826736,425.3951978,319.8722952,19.00089831,20.44402992,17.38410381,236.6894862,99.44096572,115.660656
SOD3,77.5708177,78.28575613,101.836961,85.96196045,69.51081841,47.73560151,64.4512488,49.78346575,46.01128,37.76437547,212.1946911,265.0990826,218.9329115,194.377835,95.52269484,112.8699163
CAALFM_C700120WA,10.78488916,10.49950141,10.36074683,9.200616079,10.74984444,11.78760037,9.80779873,14.57592279,9.620540363,13.57910522,11.06586408,10.40564397,11.45096258,6.394007731,14.60446422,12.2172382
CAALFM_C700130WA,18.28742075,17.43776842,22.1641293,17.66249656,16.56057116,16.55280052,15.14954625,17.32211114,13.17595745,15.50749886,14.52057286,15.7308853,16.13814416,13.95561687,18.76020607,15.25604364
CAALFM_C700140CA,12.3925745,14.06073581,13.44274115,14.77471195,12.42042837,13.87760044,12.17217878,19.36414863,13.28052854,13.33805602,13.00913777,15.66967563,17.97741794,10.56401277,14.48572874,12.7133697
CAALFM_C700150WA,54.12540648,48.69067028,48.9184629,36.73530653,33.48431274,38.95760123,41.15772681,56.47289891,43.08328945,49.01333838,57.05667477,81.347652,73.03696859,46.70405647,53.96527632,56.0008431
CAALFM_C700160CA,79.64741127,84.42581544,67.27928007,60.50916122,66.3875528,51.74840163,54.64345007,48.44557912,52.59925872,57.28936109,80.91575731,67.2694278,72.91830576,54.04326534,43.16034751,42.97739122
VPS70,74.28846013,60.84798771,62.55792708,40.4961423,36.8254806,39.45920125,45.44863876,69.0771993,43.08328945,73.68070704,91.00998454,106.8108749,98.25281883,60.32607294,102.0531463,106.730289
FAR1,7.435544702,10.68370319,11.21321335,9.737878332,9.442430923,19.72960062,30.03638361,35.48920331,25.41077509,28.68485541,5.55992195,4.529515612,3.322559091,34.58324182,40.78563788,39.44245428
CAALFM_C700190WA,13.39737784,10.560902,10.88534161,7.790302665,6.173897142,11.95480038,13.48572325,18.16709217,14.11709727,17.75729145,6.69349827,5.080402646,5.873809821,19.18202319,29.4463994,23.38019695
CAALFM_C700200WA,19.69414543,19.34118681,18.9509863,19.27428332,17.79535059,17.22160054,16.81336925,13.44928141,15.68566364,15.42714913,20.40437376,17.3835464,16.25680698,13.45521627,15.43561259,14.51184639
CAALFM_C700210CA,21.16785699,19.03418384,20.19689889,18.13260103,16.85110749,15.9676005,22.06754714,28.23644946,19.34565182,24.74771839,21.16009131,25.34080356,30.43701453,24.07482911,32.11794774,25.48875583
CAALFM_C700220WA,4.354147798,3.929637955,4.786927335,5.708411436,5.084385882,3.594800113,4.290911945,4.788225843,5.333125636,5.303082513,4.966143878,5.141612316,4.390524513,4.114404975,4.927522481,5.891561567
CAALFM_C700230WA,9.579125157,9.762694294,9.705003363,8.461880481,7.045506151,6.520800206,8.494254258,11.54807409,9.620540363,10.44546556,10.79596495,11.69104705,13.70555625,11.23121358,10.98303204,11.84513957
CAALFM_C700240WA,10.91886294,11.60471209,15.54112025,9.469247205,8.861358251,7.27320023,6.480152733,16.82920554,8.470258363,12.05246026,15.27629041,15.36362728,10.62032281,11.78721425,17.45411577,15.38007651
CAALFM_C700250CA,12.52654828,10.25389904,8.721388158,8.596196045,7.481310655,7.106000224,7.093140153,7.463999108,6.797120909,6.106579864,8.420852662,9.426289246,7.475757954,5.671206857,6.352348258,5.581479379
CAALFM_C700260CA,99.60950425,86.94323975,98.88611535,86.96932717,76.26578823,71.47800226,77.93697205,66.26059586,65.35693181,68.05622559,78.43268537,86.79531267,73.74894553,62.49447556,70.29140502,77.52054693
CAALFM_C700270WA,18.22043386,17.37636783,18.22966848,17.59533878,16.27003482,17.63960056,19.09017967,15.63214908,17.46337218,15.50749886,19.54069656,24.11661015,20.70666291,18.40362225,17.51348352,18.04678333
HGT12,0.267947557,0.122801186,0.393446082,1.074524506,1.307413513,10.70080034,8.581823889,7.95690471,8.15654509,7.472525359,1.889293867,1.46903209,2.966570617,28.02243388,103.2998689,19.03904633
HGT13,2.813449347,2.149020757,3.213143005,3.089257954,2.324290689,5.016000158,5.867165312,4.224905156,5.333125636,4.660284633,13.38699654,8.44693452,3.322559091,8.729210555,10.27061915,14.01571488
CAALFM_C700300WA,9.713098935,6.078658711,7.213178175,7.051567068,7.263408403,6.353600201,7.180709785,7.463999108,8.365687272,8.034973505,9.662388632,10.772902,10.73898563,7.172408672,9.142632073,10.79086013
CAALFM_C700310CA,30.21108703,28.12147161,30.0986253,34.85488865,47.57532504,41.1312013,78.81266837,25.84233654,80.51974,26.19401363,11.06586408,8.385724849,6.526455357,13.51081634,10.74556107,11.2249752
PMR1,77.5708177,81.72418934,96.7221619,69.30683061,60.86736241,71.89600227,88.44532784,85.41349923,83.55230163,78.66239061,89.55252927,95.11982785,78.851447,80.00849674,69.10405021,66.60565392
CAALFM_C700330CA,10.04803338,15.77995241,16.39358676,14.50608083,13.14676921,24.57840078,30.38666214,16.61796028,29.907332,24.42631945,11.22780355,11.14016002,7.772415016,17.84762158,11.16113526,16.80645457
CAALFM_C700340CA,82.66182128,74.72452173,80.52529818,51.98012296,38.6413327,122.8084039,194.7548605,148.8574917,213.0113122,218.953028,86.04384066,113.849987,116.4675624,115.2033393,139.7516617,156.4674719
CAALFM_C700350CA,225.1429346,192.675061,270.756479,388.7092399,505.3153226,5211.874964,6028.205864,1871.140078,6844.282471,3170.921944,39.72915102,46.5805592,33.1662595,1842.085827,702.973418,1610.318817
DFI1,286.7708727,300.555903,351.5440745,305.7022218,311.6728546,358.4768113,399.1423805,408.6891587,418.1797925,384.9555806,258.5633606,309.2924647,305.9720934,257.5951115,296.7793359,251.6006871
DCC1,2.679475568,2.701626094,2.295102147,3.022100172,2.905363361,6.688000211,7.881266837,7.745659452,10.77082236,9.240219531,2.15919299,2.448386817,3.085233442,9.174011093,8.074012739,8.372219068
CAALFM_C700380WA,3.751265796,4.420842699,3.606589088,4.230940241,3.704338285,12.37280039,19.1777493,12.46347021,20.18222054,18.07869039,3.184809661,3.121693192,3.678547565,7.950809614,9.558206258,8.558268381
SPL1,346.3222172,353.7902171,364.5933696,340.1541638,384.1616704,356.9720113,306.58128,219.9767284,302.3150238,234.8622755,191.0345998,187.7300592,156.1602773,192.0982323,189.9174026,194.9176632
LEU2,18.28742075,16.33255775,18.22966848,16.45365649,19.32066635,9.697600306,15.41225515,15.20965856,16.31309018,14.14155337,17.75936235,46.09088183,33.40358515,14.06681701,13.77331585,12.65135326
CAALFM_C700410CA,13.93327296,9.824094887,11.08206465,10.07366724,14.01837822,12.87440041,20.22858488,20.91328052,19.24108073,15.5878486,9.98626758,11.26257936,11.92561388,22.79602756,23.45025759,23.1321312
CAALFM_C700420CA,16.88069608,15.41154885,18.16409413,12.35703181,12.78359879,14.54640046,12.52245731,22.18075207,13.07138636,14.30225284,26.66603343,32.62475434,35.48018458,28.13363402,37.40167666,26.48101883
CAALFM_C700430WA,118.499807,172.6584676,207.8706801,264.8702906,300.5598397,119.9660038,119.8828256,153.8569628,148.0726647,108.4721423,180.8863928,249.4906167,265.9827215,159.1273924,184.2774672,147.5991214
GBP2,92.17395955,77.54894901,87.08273288,80.6564957,80.69646735,77.41360244,91.59783457,88.72300827,83.44773054,85.09036942,96.83980562,120.6442604,101.2787209,82.01009916,74.68461784,81.92371399
CAALFM_C700450CA,13.86628607,13.56953106,12.2624029,13.63302966,11.47618528,11.95480038,11.1213432,13.5196965,10.66625127,10.7668645,14.46659304,14.44548222,17.85875511,14.12241708,14.24825778,11.53505738
CAALFM_C700460WA,3.41633135,3.008629059,2.688548229,3.156415735,3.123265613,3.093200098,0.788126684,3.591169382,3.450846,3.213989402,2.321132465,1.836290113,2.610582143,3.61400437,5.224361184,4.093084878
PEL1,41.86680575,56.67274738,49.50863202,64.40431255,76.12052006,52.25000165,52.89205744,35.55961839,55.213536,47.96879182,29.58094397,30.23757719,27.29244968,37.41884524,24.45950918,33.05476121
FGR2,1.406724673,2.517424315,1.836081717,1.813260103,2.033754353,0.501600016,1.225974841,0.492905602,1.463995273,0.964196821,0.053979825,0.183629011,0.355988474,2.168402622,0.356206444,0.372098625
CAALFM_C700490CA,14.2682074,15.53435004,17.37720197,20.48312339,19.46593452,25.66520081,23.73137014,16.47713011,27.81591018,24.34596972,13.06311759,19.34225586,17.7994237,13.0660158,10.62682559,13.14748476
CAALFM_C700500WA,1.339737784,2.149020757,0,0.134315563,1.525315765,0,0,0,0,0,0,2.632015829,0,0.945201143,0,0
MAC1,30.81396904,33.34052202,35.93474218,36.46667541,37.47918736,26.16680083,23.55623088,27.10980808,26.87477036,22.33722634,31.03839924,34.21620577,39.39605779,32.08123879,25.88433496,23.93834489
CAALFM_C700520WA,54.5943147,50.04148333,47.93484769,50.97275623,42.92674366,36.03160114,51.4033737,46.68520197,45.17471127,43.38885693,63.80415286,67.82031484,60.45870917,48.98365923,39.47954759,46.07821309
PSF3,6.497728253,5.403252188,5.180373417,5.708411436,5.738092638,7.356800232,3.677924524,6.05569739,4.078272545,6.427978804,6.153700022,5.202821987,5.873809821,7.172408672,5.936774073,4.589216378
CAALFM_C700540WA,0,0,0,0,0,0,0.087569632,0,0.104571091,0.080349735,0.053979825,0,0,0.055600067,0.059367741,0
GLN4,190.9126342,187.3332094,192.5262829,183.0049549,188.1949117,145.7984046,133.2809792,111.3966659,114.7144867,112.8913777,137.7565128,142.0676451,115.399597,90.18330904,92.25746909,99.35033294
THG1,2.880436236,2.640225501,1.704933023,3.76083577,2.905363361,3.511200111,4.816329734,3.309509039,4.914841272,4.499585163,3.778587733,5.019192975,4.924507224,4.781605782,4.927522481,5.643495816
RPA135,418.6010707,474.6265842,417.7085907,385.8214553,377.6246029,328.5480104,426.0262574,278.8437403,389.945598,356.9938728,495.5347913,582.4100142,476.0752526,340.4392116,218.3545504,275.4770156
CAALFM_C700580CA,7.368557813,5.64885456,6.163988623,3.895151333,3.994874621,3.260400103,3.853063787,5.562791788,3.450846,4.901333838,7.71911494,10.16080529,9.018374675,5.393206521,6.174245036,5.581479379
CAALFM_C700590WA,16.21082719,11.54331149,12.78699767,7.99177601,6.101263058,5.935600187,7.706127574,9.646866772,4.914841272,6.588678274,17.92130182,18.48532047,16.31613839,11.34241371,9.914412702,10.66682726
CAALFM_C700600CA,11.99065317,12.28011861,11.40993639,11.685454,8.861358251,9.446800298,12.25974841,16.97003571,10.14339582,12.93630734,16.40986673,18.36290113,21.77462833,17.62522131,19.05704477,18.48089839
CAALFM_C700610CA,30.4120477,29.96348941,34.95112698,28.74353052,25.27666124,20.14760064,24.43192719,24.43403482,19.34565182,23.94422104,28.60930712,31.15572225,33.28492232,25.79843119,25.29065755,25.67480514
GUS1,108.5187605,104.5038094,98.03364884,83.81291143,76.55632456,94.46800298,125.2245731,109.0729681,113.877918,121.3280999,136.9468154,167.2860293,139.1321619,124.3217503,87.32994661,104.5597137
CAALFM_C700630CA,3.885239574,2.701626094,2.491825188,2.283364574,2.396924773,1.25400004,2.802228209,1.971622406,2.718848364,2.972940197,2.213172815,2.693225499,0.889971185,2.946803563,2.196606407,2.790739689
GAC1,1327.211236,1322.507374,1349.323339,1288.690671,1615.164126,1087.886834,1367.574935,1325.563993,1396.233206,1118.227263,706.919785,614.8511395,594.5007516,684.0476271,460.5155648,333.8964997
CAALFM_C700670CA,35.03414306,24.80583959,28.52484097,28.00479493,23.67871139,24.32760077,23.03081309,47.31893774,25.72448836,36.63947918,45.39703262,47.07023656,53.3982711,42.53405143,63.87968903,54.5124486
CAALFM_C700680WA,0.736855781,0.429804151,0.459020429,0.40294669,0.36317042,0.668800021,0.350278526,1.267471547,1.150282,0.964196821,0.701737722,0.856935386,0.889971185,1.112001345,1.365458037,1.054279438
NOP15,32.82357571,34.69133507,26.49203621,35.45930868,36.68021243,72.06320227,45.36106913,34.22173176,52.28554545,51.50418017,43.45375893,31.09451258,35.06486469,57.54606958,34.67076059,43.96965422
CYB5,68.72854833,64.90042685,61.57431188,59.70326784,54.98400161,43.38840137,28.02228209,34.15131668,29.38447654,27.72065859,92.19754069,69.59539528,59.50940657,58.43567066,35.97685088,33.55089271
RPS28B,127.1411157,139.256545,139.0831901,143.5161793,145.9945089,169.3736053,182.5826817,106.4676099,155.9154965,120.0425042,146.8251233,136.9872424,131.2410841,126.0453524,106.0307849,123.4747271
RTF1,51.11099646,43.16461691,43.47579209,50.09970507,44.16152309,45.06040142,38.70577713,32.32052444,40.46901218,31.81849508,35.41076504,32.56354467,31.44564854,40.92164948,30.63375422,30.3880544
MET28,135.1795424,143.1247824,149.1816395,201.0032403,248.3359333,192.9488061,127.851662,99.84859185,125.1715958,95.61618471,111.3603785,107.5453909,85.615228,104.8061267,71.18192114,75.53602093
RIM15,629.4757979,514.9053733,574.8903006,509.5932468,531.3909587,268.6904085,258.1552737,374.9603326,298.6550356,280.9830235,529.3261616,518.3846989,513.8100308,353.5608275,366.6551668,346.7959187
ACB1,10.18200716,7.552272944,7.278752522,9.939351677,14.74471906,51.49760163,5.254177891,9.153961171,13.28052854,7.63322483,22.94142552,12.79282112,17.50276664,43.03445203,29.98070907,21.45768739
CAALFM_C700760CA,10.78488916,11.17490793,8.786962505,21.22185899,36.8254806,31.600801,14.36141957,12.67471547,21.22793145,13.90050416,0.215919299,0.183629011,0.237325649,1.056401277,0.474941926,0.620164375
CAALFM_C700770WA,485.7889205,516.1333851,429.2496758,1030.939105,1800.671577,1549.944049,877.7104167,663.9438452,1536.253896,769.991511,9.662388632,2.938064181,4.153198864,91.96251119,27.30916074,55.38067873
CAALFM_C700780WA,35.50305128,46.05044478,44.59055599,64.53862812,89.92099602,67.38160213,48.77628476,37.17916537,55.84096254,39.04997123,47.66418526,33.42048006,36.0734987,82.56609983,52.24361184,52.27985685
CAALFM_C700790WA,9.110216932,6.815465828,5.049224723,4.969675838,7.118140235,8.945200282,7.180709785,9.998942202,10.56168018,7.7939243,11.60566232,7.834837815,7.060438068,13.78881667,15.61371581,12.40328751
YAE1,12.66052206,10.43810082,12.32797725,9.536404987,10.0235036,12.7072004,11.1213432,10.56226289,11.50282,10.20441635,15.27629041,13.83338552,11.45096258,13.51081634,14.36699326,14.2017642
CAALFM_C700810WA,30.21108703,25.17424315,20.45919628,20.55028117,19.1027641,24.82920078,16.55066036,22.18075207,24.46963527,26.5957623,25.96429571,24.60628751,24.68186753,21.68402622,22.67847696,22.38793395
RFC2,4.957029801,3.62263499,4.918076029,5.775569217,4.939117714,10.53360033,6.655291996,11.97056461,9.097684909,9.240219531,8.420852662,7.834837815,8.425060552,15.23441842,20.65997377,16.6824217
CAALFM_C700830CA,80.98714905,63.48821321,59.80380451,54.26348753,52.36917458,43.72280138,51.84122186,57.10663469,50.08955254,58.0125087,70.38969148,64.27015395,73.27429424,67.22048128,63.16727614,62.57458548
CAALFM_C700840CA,49.50331112,41.62960208,43.54136644,44.5256092,42.63620732,52.33360165,26.88387688,30.84180764,31.37132727,26.03331416,58.78402916,30.23757719,39.98937192,55.37766696,42.74477333,41.7990789
CAALFM_C700850WA,21.56977832,21.85861112,21.83625757,18.06544325,16.63320524,22.73920072,15.76253367,23.65946887,18.71822527,23.6228221,25.31653781,18.4241108,21.29997703,31.08043758,24.99381885,25.17867364
SSR1,121.7151777,94.98671744,100.2631766,83.27564918,93.62533431,105.4196033,97.11472136,67.24640706,114.9236289,79.30518849,92.46743981,111.0955518,96.29488222,116.8157412,62.21739229,79.31902362
CAALFM_C700870WA,20.96689632,19.34118681,20.00017585,23.77385469,25.85773391,14.54640046,14.09871067,9.576451686,21.33250254,12.77560787,6.531558796,3.488951215,9.196368912,9.896811966,15.73245129,16.6824217
CAALFM_C700880CA,188.7690538,223.9893634,252.2645131,301.4712816,406.9687728,143.2068045,123.6483197,193.5710712,147.5498093,163.1099621,199.1855534,215.3968302,326.1447736,141.0573706,206.2435313,222.8870765
MCM1,55.33117048,53.47991654,60.39397363,54.93506535,60.72209425,45.98000145,45.88648692,52.67048427,45.38385345,40.09451779,54.35768353,62.55628318,70.12972938,52.31966326,52.89665699,41.86109534
CAALFM_C700910CA,7.368557813,6.385661677,7.803347299,6.984409286,7.190774319,14.46280046,13.39815362,12.39305512,15.79023473,11.81141105,9.608408807,9.732337599,13.4682306,15.84601916,14.48572874,11.78312313
CAALFM_C700920CA,2.277554233,2.026219571,2.622973882,5.238306965,4.358045042,14.12840045,3.415215629,5.210716359,6.901692,5.142383043,7.449215817,4.529515612,7.060438068,15.79041909,8.786425628,9.798597132
GPH1,619.8966727,539.3428093,684.5961832,471.4476268,512.6513651,457.7100144,563.5105788,565.5035551,458.5442336,419.9880651,619.0406303,926.224733,630.3369247,602.5935286,412.843269,417.1225589
CAALFM_C700940WA,192.9892278,233.7520577,241.2480228,242.2381182,265.7681135,305.3072096,291.9571515,201.8800514,287.8842133,235.4247237,106.6641337,110.4222455,103.7706402,120.4853457,96.53194643,99.35033294
YML6,24.8521359,30.33189296,30.88551746,30.95973732,30.50631529,17.05440054,21.80483825,18.16709217,21.12336036,20.00708403,27.4757308,24.78991652,28.3604151,24.90883012,16.74170289,19.10106276
RPS18,389.3278001,430.6637596,408.9216282,379.8444127,375.8087507,421.5112133,412.0151163,305.5310578,348.2217327,280.0188266,471.0819307,503.4495393,453.113996,339.8276109,241.0923951,274.546769
YOX1,0.535895114,0.184201779,0.065574347,0,0,0.919600029,1.313544473,0.422490516,1.045710909,0.723147615,0.971636846,0.244838682,0.177994237,2.335202824,1.068619333,2.046542439
PHM5,48.96741601,55.69033789,51.34471374,46.87613156,40.09401438,44.89320142,56.21970344,39.85493864,43.60614491,39.13032097,76.32747221,82.93910343,77.36816169,80.95369788,42.50730236,52.0317911
RPP0,855.6905227,783.7785702,791.9413893,620.0677975,589.1350555,580.6856183,761.680655,506.6365433,637.3607991,578.5984421,838.7385171,1077.657458,964.4914389,603.0939292,516.9742863,562.1169899
CAALFM_C701000CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAALFM_C701010WA,5.559911804,5.03484863,3.409866047,3.895151333,4.648581378,2.006400063,2.27681042,2.323697836,2.091421818,2.008743376,0.377858773,0.489677363,0.296657062,3.280403966,1.721664481,2.232591752
CAALFM_C701020CA,11.7896925,14.24493759,13.70503853,15.64776311,13.29203738,12.95800041,13.92357141,10.42143272,12.86224418,13.01665708,10.58004565,11.87467606,12.22227094,12.45441506,10.32998689,9.922630007
CAALFM_C701030CA,270.2920979,274.0308468,232.4610603,234.6492889,222.986638,223.5464071,245.720386,196.669335,252.2254713,233.6570295,344.0134232,343.0189931,330.8912866,259.4299137,150.0222808,203.2898823
