,GD1_S1_R1_001 RNA-Seq (Reads) (extracted reads) [GD1_S1_R1_001] (single) sampled (GE) - CPM,GD2_S2_R1_001 RNA-Seq (Reads) (extracted reads) [GD2_S2_R1_001] (single) sampled (GE) - CPM,GD3_S3_R1_001 RNA-Seq (Reads) (extracted reads) [GD3_S3_R1_001] (single) sampled (GE) - CPM,GD4_S4_R1_001 RNA-Seq (Reads) (extracted reads) [GD4_S4_R1_001] (single) sampled (GE) - CPM,GD5_S5_R1_001 RNA-Seq (Reads) (extracted reads) [GD5_S5_R1_001] (single) sampled (GE) - CPM,GD6_S6_R1_001 RNA-Seq (Reads) (extracted reads) [GD6_S6_R1_001] (single) sampled (GE) - CPM,GD7_S7_R1_001 RNA-Seq (Reads) (extracted reads) [GD7_S7_R1_001] (single) sampled (GE) - CPM,GD8_S8_R1_001 RNA-Seq (Reads) (extracted reads) [GD8_S8_R1_001] (single) sampled (GE) - CPM,GD9_S9_R1_001 RNA-Seq (Reads) (extracted reads) [GD9_S9_R1_001] (single) sampled (GE) - CPM,GD10_S10_R1_001 RNA-Seq (Reads) (extracted reads) [GD10_S10_R1_001] (single) sampled (GE) - CPM,GD14_S14_R1_001 RNA-Seq (Reads) (extracted reads) [GD14_S14_R1_001] (single) sampled (GE) - CPM,GD15_S15_R1_001 RNA-Seq (Reads) (extracted reads) [GD15_S15_R1_001] (single) sampled (GE) - CPM,GD16_S16_R1_001 RNA-Seq (Reads) (extracted reads) [GD16_S16_R1_001] (single) sampled (GE) - CPM,GD17_S17_R1_001 RNA-Seq (Reads) (extracted reads) [GD17_S17_R1_001] (single) sampled (GE) - CPM,GD18_S18_R1_001 RNA-Seq (Reads) (extracted reads) [GD18_S18_R1_001] (single) sampled (GE) - CPM,GD19_S19_R1_001 RNA-Seq (Reads) (extracted reads) [GD19_S19_R1_001] (single) sampled (GE) - CPM
CAALFM_C302970CA,17.41659119,15.28874767,17.96737109,16.92376096,13.94574413,13.62680043,13.0478751,25.70150636,10.14339582,22.65862528,15.60016936,19.21983652,20.64733149,12.45441506,27.36852848,22.6359997
CAALFM_C302980CA,6.698688921,7.429471758,7.147603828,6.514304815,8.062383327,10.70080034,15.93767294,15.42090382,14.22166836,14.30225284,5.6678816,7.406370122,7.831746429,8.61801042,13.23900618,13.7056327
CAALFM_C302990CA,10.78488916,10.68370319,9.705003363,10.9467184,7.626578823,5.768400182,7.180709785,9.153961171,6.901692,7.552875095,6.099720198,9.487498917,8.721717614,4.058804908,10.15188366,8.992383444
CAALFM_C303000WA,4.756069134,4.482243292,4.131183864,3.425046862,3.050631529,1.504800048,2.451949683,3.80241464,1.777708545,3.053289932,3.238789486,3.366531874,3.085233442,2.61320316,4.03700637,3.78300269
DTD2,25.65597857,25.17424315,27.08220533,22.83364574,20.62807986,14.79720047,15.85010331,21.19494086,14.953666,21.93547767,16.40986673,21.48459432,15.54483003,13.95561687,20.89744474,20.34139151
CAALFM_C303020WA,4.823056023,6.815465828,9.639429016,7.857460447,9.587699091,8.025600253,8.319114995,15.98422451,8.15654509,13.09700681,5.344002651,10.03838595,10.97631128,8.451210219,24.69698014,15.81419157
ECM14,66.58496787,75.33852767,90.23030154,95.29689209,99.5813292,81.92800259,114.2783691,156.2510757,98.08768327,142.4600802,73.79042044,106.8720846,136.4622484,90.73930971,241.9829112,180.4678333
AIP2,96.32714668,102.8459933,112.9190256,127.8684162,137.6415892,82.17880259,89.32102415,136.6052667,77.17346509,102.2852127,84.10056697,114.033616,106.4405537,73.44768881,131.5589135,109.4590123
PGA18,19.96209298,23.39362595,25.04940057,16.85660318,14.52681681,20.48200065,40.36960013,33.16550547,36.39073963,46.28144739,24.50684044,26.13652927,22.54593669,25.85403126,26.35927688,31.25628452
CAALFM_C303060WA,6.162793807,5.955857525,5.311522111,7.387355976,6.900237983,7.942000251,4.641190471,9.576451686,6.901692,9.400919001,4.264406156,3.733789896,4.983838636,5.726806924,9.261367554,8.558268381
CAALFM_C303070WA,138.7298475,110.3368657,113.5091947,97.04299441,105.8278604,75.40720238,61.21117243,52.45923902,73.93176127,53.35222407,30.87645976,24.23902949,23.85122776,29.13443523,28.79335425,31.56636671
CAALFM_C303080WA,15.13903696,12.64852217,13.11486941,15.64776311,14.81735314,14.79720047,8.319114995,18.16709217,10.352538,13.73980469,24.72275974,18.73015915,18.45206924,20.29402454,30.51501874,27.84538046
USO5,4.086200242,4.973448037,5.049224723,6.044200344,7.553944739,5.266800166,4.991468997,8.30898014,5.855981091,6.910077214,4.480325455,2.87685451,3.203896266,9.118411025,8.786425628,10.23271219
CAALFM_C303100CA,37.78060551,37.51576235,39.60690562,35.52646647,37.33391919,38.45600121,41.42043571,50.41720152,33.14903582,44.99585163,32.65779398,31.21693192,33.28492232,40.36564881,43.81339266,46.88442678
CAALFM_C303110WA,91.63806443,105.7932218,116.394466,132.7709342,189.5023252,88.44880279,94.13735389,68.44346352,71.317484,80.02833611,48.25796333,37.39910863,33.58157938,43.20125224,45.95063133,34.10904065
DAL5,6.363754475,8.227679468,9.836152057,11.75261178,10.24140585,6.771600214,8.406684626,10.84392323,8.679400545,14.30225284,5.236043002,8.018466827,6.882443831,5.671206857,17.27601255,14.57386282
CAALFM_C303130CA,4.086200242,3.561234397,4.459055599,4.902518057,4.721215462,3.762000119,5.604456417,9.083546085,5.123983454,8.356372445,3.238789486,3.427741544,3.915873214,3.892004706,5.402464407,7.56600538
DAL4,6.296767585,7.675074131,9.77057771,7.521671539,3.849606453,0.752400024,6.480152733,15.06882839,4.705699091,11.40966238,6.423599146,11.3849987,9.789683036,7.061208538,12.70469652,13.08546832
CAALFM_C303150WA,56.20200004,46.29604716,48.13157073,45.46581814,36.53494427,34.44320109,33.45159924,59.92323812,32.31246709,52.22732778,52.14451072,60.96483175,58.6787668,44.03525324,74.32841139,70.26462374
CAALFM_C303160CA,5.425938026,6.754065235,6.22956297,4.969675838,5.22965405,5.768400182,5.516886786,11.61848918,5.019412363,8.27602271,6.045740373,9.548708587,8.543723377,7.283608807,12.28912233,8.992383444
SEC13,24.11528011,20.44639748,20.91821671,15.84923646,14.30891455,23.99320076,29.68610509,65.83810534,25.61991727,42.10326116,23.103365,34.09378643,31.56431136,27.74443355,65.66072125,45.14796653
PNP1,10.24899405,7.613673538,9.245982934,5.506938091,5.520190386,8.025600253,8.581823889,19.15290337,9.829682545,19.04288721,9.446469333,13.09886947,13.23090495,11.62041405,22.20353503,23.1321312
CAALFM_C303190CA,40.86200242,45.06803529,50.29552419,51.91296518,51.78810191,31.18280098,23.46866125,31.12346798,18.61365418,29.08660409,26.8279729,27.48314202,20.52866867,16.68002017,25.9437027,26.41900239
CAALFM_C303200CA,1.875632898,1.41221364,1.049189553,1.410313414,1.162145344,0.836000026,0.875696315,2.112452578,0.731997636,2.169442846,1.511435093,1.652661102,2.254593669,1.501201815,1.484193518,1.240328751
CAALFM_C303210WA,25.05309656,23.76202951,26.81990794,20.14733448,22.08076154,30.76480097,59.02193165,22.11033698,52.49468763,47.96879182,31.74013696,23.32088443,14.65485885,16.34641976,13.47647715,21.95381889
tK(CUU)1,1.272750895,0.552605337,0,0.537262253,0.653706756,1.003200032,3.240076366,1.126641375,0,1.446295231,0,1.040564397,0.415319886,0,0,0
CAALFM_C303230CA,48.49850779,42.48921039,48.9184629,37.67551548,30.14314487,43.72280138,33.18889035,32.67259987,24.26049309,36.47877971,24.29092114,21.17854597,15.01084732,23.85242884,28.85272199,30.26402152
CAALFM_C303250WA,375.6624747,392.0427866,399.1510505,341.1615305,320.7521151,313.4164099,398.9672412,447.6991163,346.6531663,492.9456245,344.5532214,435.8740631,369.219379,257.4839113,459.9812552,465.8674788
CAALFM_C303260WA,81.79099172,75.46132885,77.7711756,69.57546174,62.68321451,48.73880154,65.06423622,92.52542291,56.25924691,89.02750643,78.81054415,83.55120014,74.34225966,64.66287819,96.88815287,101.5829247
CAALFM_C303270WA,2.679475568,2.517424315,3.672163435,3.156415735,3.631704201,3.427600108,4.903899365,7.463999108,4.914841272,5.544131718,4.102466682,5.080402646,5.57715276,4.448005378,5.521199888,6.883824567
HTA3,15.5409583,13.69233225,14.62307939,11.21534953,12.34779428,12.95800041,11.82190026,17.60377148,11.71196218,16.63239515,15.11435093,16.40419168,19.16404618,11.73161418,20.30376733,18.85299701
NPR2,33.35947082,33.95452795,29.57403052,24.91553697,23.24290689,20.81640066,25.13248425,41.12241018,21.64621582,42.10326116,36.97617996,35.1955605,35.42085317,29.3568355,49.75016673,47.81467335
