,cyr1∆/∆ pH 4 replicate 1,cyr1∆/∆ pH 4 replicate 2,cyr1∆/∆::CYR1 pH 4 replicate 1,cyr1∆/∆::CYR1 pH 4 replicate 2,cyr1∆/∆ pH 7 replicate 1,cyr1∆/∆ pH 7 replicate 2,cyr1∆/∆::CYR1 pH 7 replicate 1,cyr1∆/∆::CYR1 pH 7 replicate 2
orf19.6552,2641,2240,1825,1812,1538,2179,761,761
orf19.6553,2872,2540,1596,1663,2302,2185,1316,1046
orf19.6554,1123,735,2760,2725,963,876,4992,5796
orf19.6555,123,48,150,105,37,48,115,162
orf19.6556,456,714,1379,1204,418,449,1219,1433
orf19.6557,43,66,309,326,41,34,444,459
orf19.6558,288,301,806,802,354,363,502,654
orf19.6559,3066,2992,2029,2243,1298,1433,1092,1382
orf19.656,131,116,43,36,190,177,18,29
orf19.6561,5007,5024,1938,1949,8002,7430,912,1001
orf19.6562,107,142,171,184,317,333,166,145
orf19.6563,198,222,563,542,201,232,448,514
orf19.6563.1,1161,764,2658,2472,725,769,1840,1653
orf19.6565,254,262,813,823,496,569,274,265
orf19.6566,275,283,347,320,241,289,181,175
orf19.6568,437,533,1325,1211,866,924,1179,1347
orf19.6569,4,11,86,83,12,11,35,59
orf19.657,2494,1802,8933,9127,2306,2490,2442,3244
orf19.6570,2,10,44,48,4,7,13,23
orf19.6573,1556,2078,9635,9437,2358,2509,10832,12540
orf19.6574,54,41,46,66,10,19,25,15
orf19.6575,0,0,2,2,1,0,1,0
orf19.6577,360,400,1757,1507,249,274,443,531
orf19.6578,3183,1135,21280,16036,1812,1893,41618,49924
orf19.6579,144,144,1329,1358,223,224,1688,1853
orf19.658,180,294,310,340,635,647,262,227
orf19.6580,277,350,637,606,302,331,552,536
orf19.6581,462,539,471,385,521,602,261,300
orf19.6582,1751,1692,1825,1712,1833,1776,1119,1323
orf19.6583,140,164,198,227,244,257,250,171
orf19.6584,997,1461,1343,1235,2468,2506,876,1022
orf19.6585,141,98,553,656,104,126,317,298
orf19.6586,529,654,2547,2598,225,292,824,1175
orf19.6587,643,690,278,309,820,861,224,247
orf19.6588,7957,3332,5022,6987,3062,4013,3343,2025
orf19.6589,41,59,145,114,46,61,65,91
orf19.6590,69,45,44,99,60,79,41,45
orf19.6591,914,743,1294,1403,684,780,488,618
orf19.6592,2814,1924,892,1037,1693,1773,264,234
orf19.6594,17113,10180,16941,16515,4339,4768,5884,7600
orf19.6595,18,31,573,424,4,9,140,119
orf19.6596,5863,4714,4384,4270,2472,2407,540,532
orf19.6597,158,155,209,224,121,166,96,110
orf19.6598,776,854,1096,1126,555,433,380,589
orf19.6599.1,584,490,707,579,460,534,233,278
orf19.660,142,176,189,182,364,362,169,180
orf19.6600,1685,1407,1821,1667,995,1163,902,1054
orf19.6601,2055,2216,2057,1776,2307,2740,1192,1566
orf19.6601.1,17373,13987,7290,7896,13103,11770,10455,10372
orf19.6602,2224,1934,4152,4216,1384,1364,5044,4250
orf19.6604,4206,3957,5805,6032,4814,5717,5255,4358
orf19.6605,387,326,826,732,326,384,1221,1267
orf19.6606,143,129,398,452,184,172,500,592
orf19.6607,10729,4125,13556,19598,6734,12548,13344,7303
orf19.6608,3142,2828,8487,7931,4404,4356,10170,10748
orf19.661,141,157,374,372,235,250,323,338
orf19.6610,194,207,860,977,382,387,827,636
orf19.6612,655,733,1062,1067,1069,1109,656,574
orf19.6621,3110,2735,16076,13685,2352,2436,18220,21142
orf19.6623,621,513,604,627,465,413,348,391
orf19.6624,138,176,178,171,154,185,183,195
orf19.6625,535,658,898,954,775,706,595,706
orf19.6626,443,546,437,398,624,602,322,305
orf19.6627,362,423,1096,1144,458,500,674,816
orf19.6628,266,273,402,467,426,410,376,374
orf19.6629,169,211,362,253,173,216,298,407
orf19.663,647,1065,1166,1076,1773,1955,1094,1152
orf19.6630,410,297,511,523,433,479,563,695
orf19.6632,412,995,1671,1689,1174,1238,789,1222
orf19.6634,6197,6709,4462,4427,8050,8047,3910,3973
orf19.6635,395,442,507,482,398,433,501,713
orf19.6636,256,283,317,279,518,524,335,418
orf19.6637,2434,2302,2076,1669,1974,2110,1238,1747
orf19.6638,1264,824,1267,1219,636,711,677,798
orf19.6639,2377,1969,7426,7023,1704,1726,7906,8818
orf19.664,2,2,18,6,3,5,9,14
orf19.6640,21128,22515,7577,6496,18593,20041,3424,4442
orf19.6641,276,351,495,452,588,705,306,404
orf19.6642,799,714,683,680,833,915,450,495
orf19.6643,301,258,1279,1111,335,358,1247,1602
orf19.6644,119,112,148,125,90,96,131,179
orf19.6645,6436,5974,5613,5438,4638,4693,5898,6725
orf19.6648,248,303,547,540,378,346,296,442
orf19.6649,1124,1177,955,1129,1377,1492,562,816
orf19.665,146,189,425,390,288,337,272,348
orf19.6650,329,316,366,324,399,441,201,258
orf19.6652,79,114,329,256,118,129,142,241
orf19.6653,161,255,207,209,308,300,178,195
orf19.6654,358,412,265,257,370,454,215,269
orf19.6656,1781,2421,557,570,1630,1721,340,617
orf19.6658,1790,1784,1118,1065,1841,1900,562,693
orf19.6659,1231,1225,1370,1361,3541,3758,6043,5848
orf19.666,424,671,453,416,639,611,291,400
orf19.6660,8131,8033,2345,2817,3349,4085,327,386
orf19.6661,17,14,17,35,4,8,16,27
orf19.6662,82,94,40,47,234,221,38,36
orf19.6663,6653,7650,3363,3963,8565,8297,2016,2369
orf19.6665,2269,2897,1020,1098,3126,3162,512,652
orf19.6667,438,320,448,449,493,462,290,303
orf19.6668,922,728,1367,1348,655,622,559,655
orf19.667.1,6347,6951,3258,4307,7672,7276,2333,2768
orf19.6670,339,319,381,430,474,503,263,314
orf19.6671,642,629,1062,923,652,638,806,897
orf19.6672,2480,1805,14070,10687,1719,1884,10386,15725
orf19.6673,1122,1119,1029,1051,1282,1178,544,664
orf19.6674,327,309,462,525,216,271,249,369
orf19.6675,64,36,128,122,39,42,77,103
orf19.6676,130,243,462,575,259,247,232,286
orf19.6678,37,35,236,176,14,20,112,155
orf19.6679,106,116,325,347,261,250,275,330
orf19.668,744,734,2028,1860,1377,1270,1485,1528
orf19.6680,1279,1446,1664,1319,1313,1272,788,1175
orf19.6681,363,387,1304,1267,288,307,660,816
orf19.6684,1390,1374,550,469,1086,1255,299,331
orf19.6685,174,165,174,121,155,119,114,132
orf19.6686,67,75,252,291,77,78,181,270
orf19.6687,2,11,9,10,1,3,54,64
orf19.6688,348,268,171,157,398,473,678,994
orf19.6689,548,1049,3934,4386,1164,1221,2094,2444
orf19.669,78,110,167,140,84,77,249,229
orf19.6690,648,489,2071,1621,377,414,1593,1874
orf19.6691,362,378,680,574,401,484,457,594
orf19.6692,675,665,733,697,765,848,434,489
orf19.6693,697,881,875,914,939,911,675,879
orf19.6694,322,408,999,806,624,891,664,895
orf19.6696,149,75,280,286,111,122,150,154
orf19.6698,269,278,644,577,255,241,310,392
orf19.6699,250,298,194,217,243,262,119,142
orf19.670,4543,4775,5511,5623,4272,4106,5421,4870
orf19.670.2,1982,957,63775,57633,7565,7001,109230,94967
orf19.6701,2192,2692,2680,2523,3192,3193,1373,1619
orf19.6702,1280,1743,5454,6074,2759,2516,3151,3820
orf19.6703,803,911,521,520,1060,1117,331,493
orf19.6704,83,108,46,43,84,117,26,52
orf19.6705,1592,1863,10856,9932,2250,2361,11633,12835
orf19.6706,3960,3350,2615,2520,2551,2616,1305,1582
orf19.6707,1440,1447,2252,2508,859,1004,971,1210
orf19.6709,396,397,351,344,812,793,257,288
orf19.671,943,1006,2350,2219,1198,1279,3573,4442
orf19.6710,264,428,536,574,555,587,345,541
orf19.6712,1692,1696,2378,2315,1979,1965,1176,1494
orf19.6713,1400,1724,1824,1798,1286,1245,1365,2112
orf19.6715,0,0,0,3,0,0,3,13
orf19.6716,1076,1120,1731,1475,1235,1262,983,1178
orf19.6717,293,286,499,501,160,215,225,382
orf19.6718,784,675,591,633,600,626,362,451
orf19.6719,2152,2407,2041,1765,2864,2914,1374,1614
orf19.672,810,691,1039,956,695,602,679,846
orf19.6720,2238,1615,352,402,1046,915,128,188
orf19.6722,442,555,565,481,674,720,233,329
orf19.6723,83,93,163,191,133,154,173,161
orf19.6724,1297,807,18962,18664,2244,2150,12275,11311
orf19.6726,431,409,490,463,596,547,228,322
orf19.6727,308,265,332,296,208,218,159,205
orf19.6729,1889,2184,1490,1272,1925,1895,863,1068
orf19.673,793,714,854,817,519,509,721,825
orf19.6730,149,145,269,263,109,122,147,172
orf19.6731,489,399,234,139,335,317,24,58
orf19.6731.1,1294,1382,479,463,1396,1322,253,260
orf19.6732,372,284,307,286,215,234,196,219
orf19.6734,5002,6854,1025,934,5275,5125,738,971
orf19.6736,609,597,416,458,577,652,189,271
orf19.6737,703,1147,322,370,1566,1571,232,213
orf19.6738,1132,1485,1459,1454,1859,1971,894,1185
orf19.6739,3841,4458,2601,1861,3438,3474,954,1122
orf19.674,847,860,1164,1174,1076,966,1281,1640
orf19.6740,599,686,531,548,789,780,390,455
orf19.6741,512,578,4038,4304,307,352,3941,4600
orf19.6742,669,724,1521,1337,1019,959,1241,1429
orf19.6744,85,113,171,177,110,107,205,204
orf19.6745,93153,112233,11177,11014,79219,79400,9755,9215
orf19.6747,713,555,3422,3177,612,688,2947,2990
orf19.6748,647,980,995,1098,1586,1821,694,749
orf19.6749,991,1174,2787,2973,2118,2177,1320,1521
orf19.675,35759,27456,73180,77486,7130,7321,23834,24949
orf19.675.1,15,27,276,317,2,0,127,123
orf19.6751,163,182,297,291,177,170,179,207
orf19.6752,408,419,851,923,654,637,548,582
orf19.6753,1053,954,651,640,903,845,367,508
orf19.6754,770,1101,1385,1408,1040,1025,765,912
orf19.6755,388,567,1020,980,450,521,223,236
orf19.6756,1787,1452,1399,1227,1648,1709,962,1114
orf19.6757,5176,5825,2783,2867,340,296,518,471
orf19.6758,429,440,785,751,95,86,274,381
orf19.676,441,541,1244,1250,865,911,805,830
orf19.6760,1503,1517,911,784,1809,1692,577,738
orf19.6763,21372,23083,17637,15034,22105,22900,14884,17491
orf19.6766,59,60,229,311,50,49,193,252
orf19.6769,539,841,1312,1118,781,773,551,729
orf19.677,923,782,1040,1079,1718,1645,829,1034
orf19.6770,1455,1422,3877,4211,361,397,393,497
orf19.6771,32350,28207,48159,51186,23863,23743,57649,60088
orf19.6773,1761,2035,2486,2255,1447,1565,1548,2153
orf19.6776,1152,1306,1687,1474,1092,1047,853,958
orf19.6777,60,26,63,55,12,25,45,40
orf19.6778,881,988,1592,1570,1671,1800,1224,1400
orf19.6779,748,1387,2618,2900,1711,1879,1374,1804
orf19.6780,183,294,526,535,314,352,461,448
orf19.6781,586,339,4424,5827,516,810,3340,2489
orf19.6782,297,340,2031,1712,374,455,820,878
orf19.6783,1639,1292,2836,2727,1476,1433,1524,1777
orf19.6784,118,99,1474,1001,120,133,225,499
orf19.6785,4665,4794,2225,2555,5420,5398,1148,1435
orf19.6786,141,168,156,165,267,273,127,149
orf19.6787,639,737,656,726,805,876,428,412
orf19.6788,125,102,255,242,141,180,153,181
orf19.6789,222,295,594,676,378,386,618,622
orf19.679,70,61,217,213,55,79,124,131
orf19.6790,474,468,622,460,368,400,357,495
orf19.6791,18672,16552,12892,13347,17880,17743,12975,14860
orf19.6792,1148,710,1368,1561,739,1075,840,845
orf19.6793,1321,1365,636,610,1425,1330,316,505
orf19.6794,2876,2559,3982,3874,2997,3081,3426,3492
orf19.6795,165,134,146,169,135,184,139,120
orf19.6796,621,558,358,381,751,683,334,306
orf19.6797,489,477,463,445,441,410,212,260
orf19.6798,20890,11628,13282,19924,8906,9378,8134,5371
orf19.68.2,145,136,268,285,81,83,208,219
orf19.680,965,964,1612,1560,1908,1852,751,768
orf19.6800,2869,3115,1173,1215,1912,1983,565,576
orf19.6801,969,1137,1042,889,1079,1149,543,690
orf19.6802,408,320,357,401,290,384,220,255
orf19.6803,179,170,106,160,128,127,79,87
orf19.6804,329,433,559,539,462,581,456,439
orf19.6805,303,279,356,238,170,190,246,345
orf19.6807,2249,2160,4154,3614,2157,2202,2889,3221
orf19.6809,820,974,714,816,841,1037,362,527
orf19.681,1002,1246,3402,2819,1598,1670,1366,1906
orf19.6810,2114,2060,1483,1294,2298,2439,1097,1186
orf19.6811,540,288,2064,2095,233,271,1152,1406
orf19.6812,3122,2333,1779,1711,4239,4300,1437,1176
orf19.6813,70,89,48,44,125,137,43,33
orf19.6814,1122292,1459579,93708,86090,1071608,1069707,57496,62148
orf19.6816,6665,7492,1015,816,8016,8348,748,845
orf19.6817,792,1330,1445,1608,2246,2810,457,605
orf19.6818,209,368,494,421,545,578,252,317
orf19.6820,1290,1263,1527,1445,885,851,828,1122
orf19.6821,908,847,769,827,731,749,485,520
orf19.6822,495,464,814,880,602,611,845,911
orf19.6824,62,102,79,45,75,94,159,287
orf19.6826,241,251,218,191,285,293,95,163
orf19.6827,122,152,101,72,168,171,45,89
orf19.6828,28,40,168,177,24,32,103,128
orf19.6828.1,1122,786,406,518,1139,1054,339,330
orf19.6829,217,212,474,462,363,404,357,480
orf19.6830,523,452,905,922,512,500,517,567
orf19.6831,1288,1147,2160,2667,954,1241,1219,1305
orf19.6832,1672,1686,932,879,1994,2163,688,791
orf19.6833.2,1,0,1,1,3,2,0,0
orf19.6834.10,3,0,0,2,2,1,1,2
orf19.6837,3552,2662,4799,4912,76,88,1906,1385
orf19.6838,912,478,2125,2168,204,187,779,715
orf19.684,1142,1381,1097,1045,1182,1152,641,761
orf19.6840,16,8,160,196,14,9,172,188
orf19.6842,3141,2761,4948,3780,3061,3021,4925,6673
orf19.6843,723,730,1767,1641,1360,1393,2946,4161
orf19.6844,1723,605,119512,117808,729,624,93482,101513
orf19.6845,67,55,114,103,58,80,69,106
orf19.6846,2193,2028,1296,1256,1562,1579,562,695
orf19.6847,259,332,508,439,406,471,316,387
orf19.6848,1271,1222,1020,961,1211,1265,563,692
orf19.6849,323,242,444,437,202,231,260,249
orf19.685,458,598,3621,3762,867,935,1839,1779
orf19.685.1,26,20,337,367,14,23,348,392
orf19.6850,947,1068,540,534,858,967,381,367
orf19.6851,95,111,202,183,119,117,263,307
orf19.6852,462,539,581,474,938,886,883,1007
orf19.6852.1,7931,7038,8259,8380,10200,10299,17435,13933
orf19.6853,634,553,1408,1201,957,971,516,636
orf19.6854,24906,20843,45014,43865,32459,31369,25531,23764
orf19.6855,938,906,1401,1516,1250,1133,1428,1390
orf19.6858,192,246,282,231,321,398,198,261
orf19.6859,5,2,38,51,2,3,23,23
orf19.686,924,1033,664,682,1206,1194,461,526
orf19.6860,383,403,398,436,420,480,274,325
orf19.6861,431,420,534,462,345,394,369,383
orf19.6862,68,98,149,177,76,102,93,97
orf19.6863,3012,2987,3419,2955,3127,3313,2775,3126
orf19.6864,19,17,308,412,10,12,398,368
orf19.6866,191,218,267,320,317,362,209,201
orf19.6867,1389,1312,1018,1030,1166,1134,603,545
orf19.6868,660,693,436,403,629,705,236,215
orf19.6869,804,728,1142,1050,1376,1516,1334,1562
orf19.687,227,235,261,268,312,368,243,222
orf19.687.1,9922,9936,4574,5516,10048,9258,2695,3136
orf19.6871,331,396,794,635,641,773,482,650
orf19.6872,242,210,407,470,130,153,242,267
orf19.6873,12838,13633,6385,7033,15055,15370,3079,3810
orf19.6873.1,19,33,92,130,27,26,95,152
orf19.6874,792,948,1511,1519,509,585,836,1112
orf19.6875,1792,1863,1054,1010,1580,1771,710,737
orf19.6877,32667,37140,8257,6497,22886,23727,1264,1620
orf19.6879,97,53,144,125,81,67,111,139
orf19.688,547,592,848,760,726,814,276,469
orf19.6880,474,516,341,288,723,721,235,258
orf19.6881,4262,2989,8996,9231,1812,1980,7110,7286
orf19.6882,71508,79916,29364,22775,39073,43359,11025,14310
orf19.6882.1,5265,5548,3321,3705,6246,6349,1896,2300
orf19.6883,2584,2674,1577,1486,3061,3234,896,1060
orf19.6884,683,568,835,721,672,686,622,697
orf19.6885,640,715,1986,1551,697,787,1236,1548
orf19.6886,46,132,209,210,148,195,129,205
orf19.6887,3405,2765,3994,4177,3235,2988,3386,3040
orf19.6888,799,408,3091,2866,366,354,2686,3489
orf19.6889,1839,1926,2120,2136,1968,2056,1586,1841
orf19.689,46,155,40,28,9,14,17,19
orf19.6891,2871,3302,1826,1520,3227,3455,1126,1282
orf19.6893,420,472,379,355,708,741,334,401
orf19.6896,208,376,184,137,668,706,144,202
orf19.6897,1,0,1,9,0,0,5,6
orf19.6898,384,386,444,383,203,233,212,242
orf19.6898.1,963,807,1773,2122,1021,1018,1470,1203
orf19.6899,331,583,5969,5590,148,243,1838,2811
orf19.69,138,153,250,266,62,64,192,266
orf19.69.2,52,44,60,48,17,12,65,59
orf19.690,24,43,654,774,7,8,447,435
orf19.6900,240,295,1367,1042,247,253,418,509
orf19.6901,223,231,211,226,222,223,105,119
orf19.6902,209,251,488,481,224,236,290,367
orf19.6903,146,220,387,419,299,262,355,453
orf19.6904,445,439,674,644,584,576,382,442
orf19.6905,1190,1045,1427,1405,1010,1051,1209,1482
orf19.6906,4752,5616,3433,3334,7881,7974,1442,1889
orf19.6907,140,176,273,346,227,238,252,263
orf19.6908,450,407,306,345,262,260,131,164
orf19.6909,336,361,361,423,416,449,269,301
orf19.691,1298,2003,67,62,1454,1970,64,107
orf19.6910,223,219,394,381,209,222,467,436
orf19.6911,1,0,2,3,1,1,9,10
orf19.6912,1308,1268,1044,977,1171,1447,765,889
orf19.6913,1156,1132,930,762,1080,1120,536,607
orf19.6915,735,772,642,604,797,774,449,518
orf19.6916,93,91,302,294,115,110,119,108
orf19.6917,34,23,84,60,29,29,57,50
orf19.6918,91,107,209,200,131,137,121,154
orf19.6919,27,43,30,48,0,0,9,14
orf19.692,454,251,913,916,216,209,453,580
orf19.6920,153,178,399,383,57,41,128,160
orf19.6921,358,319,538,504,289,267,231,243
orf19.6922,0,2,0,0,0,0,0,0
orf19.6923,902,1043,1197,923,1124,1381,316,435
orf19.6923.1,1315,1146,1480,1471,1197,1088,692,747
orf19.6924,11595,9939,6881,7933,8817,8375,5440,4455
orf19.6925,9309,8104,6032,6237,6557,5893,4512,3977
orf19.6926,3302,3807,1923,1699,3792,3774,1270,1707
orf19.6927,1330,1210,1249,1224,1157,1161,791,925
orf19.6928,2489,2255,5796,4981,3521,3748,5872,7400
orf19.6929,116,104,235,204,90,96,186,251
orf19.693,0,1,706,623,0,0,374,526
orf19.6930,821,725,1741,1759,720,812,1218,1295
orf19.6931,995,932,964,923,1109,1086,660,743
orf19.6933,628,598,665,713,748,838,417,498
orf19.6934,452,539,605,541,587,600,285,337
orf19.6936,259,392,1078,845,616,634,496,558
orf19.6937,4081,5117,3006,2265,2352,2596,595,494
orf19.6938,166,151,981,938,291,391,369,455
orf19.6939,454,512,1655,1653,411,408,720,1010
orf19.6940,21,18,66,60,16,19,43,54
orf19.6941,3684,3345,2032,1762,3562,3555,684,799
orf19.6942,778,765,974,1109,1048,968,733,722
orf19.6943,431,368,325,351,327,326,211,222
orf19.6944,2320,2190,2293,1843,2714,2748,1102,1332
orf19.6947,3266,3091,2052,1999,3576,3612,1765,1757
orf19.6948,1139,1455,711,772,1141,1250,717,761
orf19.6949,17,29,25,25,11,20,40,42
orf19.695,359,335,966,865,196,208,789,839
orf19.6950,48,73,258,220,47,67,212,290
orf19.6951,3294,3149,2899,2741,3749,4246,1341,1633
orf19.6952,448,525,527,391,567,594,339,363
orf19.6953,624,733,814,663,784,805,383,535
orf19.6955,120,163,557,520,200,209,351,479
orf19.6956,145,152,352,355,85,92,112,174
orf19.6957,1,0,0,0,0,0,2,3
orf19.6958,7,6,61,99,0,10,46,55
orf19.696,53,36,41,28,34,48,22,12
orf19.6966,803,961,387,317,883,1112,278,309
orf19.6967,1528,2140,865,800,1593,1588,418,559
orf19.6968,1051,1180,757,560,910,1031,541,561
orf19.697,1759,2121,1506,1419,1627,1824,684,773
orf19.6970,66,87,20,42,31,43,8,24
orf19.6971,32,39,63,66,44,48,31,32
orf19.6972,258,227,617,487,281,314,416,390
orf19.6973,2280,1945,4588,4014,1675,1750,2965,4245
orf19.6975,5375,6538,2997,3531,9028,8555,1628,2133
orf19.6976,246,264,137,194,217,227,119,141
orf19.6977,348,399,122,107,421,571,103,126
orf19.6978,94,134,20,38,109,192,12,29
orf19.6979,3522,2921,4679,4126,3727,3958,2236,2726
orf19.698,1522,1398,3474,2913,910,1161,2283,2839
orf19.6980,552,550,717,800,486,562,366,435
orf19.6981,414,340,378,403,263,279,215,231
orf19.6982,45,54,103,148,109,108,57,87
orf19.6983,4938,5497,260,236,2524,3222,222,280
orf19.6984,119,151,263,217,210,187,122,154
orf19.6985,651,672,581,539,536,557,199,279
orf19.6986,176,174,139,156,108,143,56,65
orf19.6987,2280,2338,3421,3202,2814,3200,1694,1915
orf19.6988,1125,1053,603,585,1433,1492,263,273
orf19.6989,46,60,137,167,36,32,110,104
orf19.699,150,64,513,545,98,107,843,1106
orf19.6990,1520,1046,961,948,1155,1232,598,672
orf19.6991,2814,2770,3260,3184,2292,2436,2049,2707
orf19.6992,368,278,1204,1156,264,224,256,295
orf19.6993,65,148,601,505,181,159,828,1192
orf19.6994,5370,8711,7694,8439,5673,5670,1649,2737
orf19.6995,138,287,135,116,135,160,112,178
orf19.6996,392,519,234,224,326,365,374,536
orf19.6997,23,11,99,94,12,11,48,81
orf19.6998,22,11,427,237,2,4,43,144
orf19.6999,0,1,11,7,5,0,9,6
orf19.700,123,228,1370,1332,98,130,601,815
orf19.7001,4372,4266,13031,11204,3913,3946,10164,13507
orf19.7002,2,3,12,24,1,1,10,9
orf19.7006,2315,1646,6269,5452,1908,2021,3219,5047
orf19.7007,1,0,3,3,0,0,5,2
orf19.7009,39,27,56,59,22,33,35,43
orf19.701,9,3,528,506,1,3,1352,1483
orf19.7010,274,253,850,789,238,269,467,595
orf19.7011,184,256,474,306,342,420,234,364
orf19.7012,230,167,693,756,310,338,482,419
orf19.7013,15,22,35,31,4,9,34,44
orf19.7014,2,0,2,3,0,0,2,1
orf19.7015,10434,11086,6216,6756,11669,10876,2370,2598
orf19.7016,1071,1620,675,693,2062,2275,437,550
orf19.7017,353,701,147,158,1033,1123,127,111
orf19.7018,5838,6706,3397,4160,8339,8110,2162,2621
orf19.7019,230,302,579,694,337,343,261,305
orf19.702,258,320,605,550,374,434,286,462
orf19.7020,1810,1682,4530,4070,1258,1383,1606,2084
orf19.7021,99794,118173,25975,22261,90207,104108,19943,24439
orf19.7022,1841,1680,1691,1548,1396,1651,1192,1572
orf19.7023,3157,2814,1151,1006,2095,2280,609,741
orf19.7024,1,4,10,9,1,0,7,15
orf19.7025,2041,2034,1073,1066,2062,2107,733,893
orf19.7027,2580,2718,3083,2199,1951,1971,1157,1232
orf19.7029,190,125,782,769,64,63,253,287
orf19.703,1542,1431,984,996,1520,1499,683,647
orf19.7030,4210,4678,3118,3250,5669,6040,1735,2022
orf19.7032,3457,1736,858,1157,1788,2877,626,342
orf19.7033,1087,554,1179,1711,725,1117,898,553
orf19.7034,874,999,1197,963,728,613,467,525
orf19.7035,456,441,440,471,503,515,295,347
orf19.7036,841,735,1162,965,714,868,566,665
orf19.7037,795,680,898,810,410,375,583,703
orf19.7038,926,929,620,509,861,1080,462,488
orf19.704,2049,1895,1407,1337,1776,1789,678,701
orf19.7041,313,353,585,519,478,538,362,445
orf19.7042,136,112,888,1060,256,329,1057,1512
orf19.7043,28,26,53,79,53,68,46,63
orf19.7043.1,8389,7014,5273,6118,5721,5579,6520,5014
orf19.7044,3316,3905,2788,2380,2703,2777,1550,1854
orf19.7046,3594,3773,11417,12150,3115,3003,7946,8920
orf19.7047,1088,1262,701,753,1361,1500,424,549
orf19.7048.1,2416,2410,1669,2201,3223,2920,983,1167
orf19.7049,1046,1346,841,1035,1338,1442,781,733
orf19.705,662,837,1008,952,934,911,521,700
orf19.7050,38,45,157,224,57,60,152,150
orf19.7051,44,60,18,26,79,80,28,20
orf19.7052,887,840,394,365,1072,1176,310,366
orf19.7053,16286,16167,16941,15127,10008,10282,11891,12525
orf19.7054,8,4,5,8,12,11,5,10
orf19.7055,0,2,3,2,0,0,2,2
orf19.7056,11,16,154,175,8,6,149,178
orf19.7057,1301,1645,1064,1067,2051,2092,608,657
orf19.7058,878,1045,688,596,1198,1408,468,578
orf19.7059,574,765,857,764,910,1021,443,663
orf19.706,243,315,583,580,364,358,304,423
orf19.7060,970,1125,324,268,771,803,133,151
orf19.7061,542,496,370,374,398,393,243,274
orf19.7062,286,300,1233,1124,429,527,589,834
orf19.7063,115,141,208,218,111,117,133,120
orf19.7064,725,903,1337,1397,1415,1476,925,1133
orf19.7065,200,176,527,608,261,324,358,394
orf19.7067,1252,1594,1351,1167,2694,2775,1017,1167
orf19.7068,72,64,844,799,111,131,226,236
orf19.7069,88,117,432,355,130,152,151,276
orf19.707,623,651,749,737,641,721,316,444
orf19.7070,2,2,1,0,0,0,0,2
orf19.7071,0,0,21,10,0,0,11,10
orf19.7072,252,289,490,571,354,348,520,535
orf19.7073,95,99,97,89,81,75,75,66
orf19.7074,366,294,387,350,358,344,271,392
orf19.7076,3497,3719,2476,2214,4469,4633,1413,1704
orf19.7077,51,19,3225,3094,4,10,557,822
orf19.7078,1535,1331,609,586,1652,1732,375,416
orf19.7079,333,499,1045,953,856,789,695,868
orf19.708,309,313,500,506,388,370,323,324
orf19.7080,4973,5417,2495,2653,4835,4535,1274,1278
orf19.7081,4198,3178,6777,6435,3178,3278,3951,5102
orf19.7082,135,137,261,200,136,136,123,217
orf19.7083,59,71,268,273,181,135,251,239
orf19.7084,6370,5100,27095,24169,5060,5140,19612,21935
orf19.7085,22727,17332,186579,185577,15691,14887,201762,215481
orf19.7086,6994,6608,4889,4431,6010,6264,3017,3507
orf19.7088,57,86,314,319,85,96,202,308
orf19.7089,688,926,804,710,1686,1797,468,483
orf19.709,3716,3363,3326,3310,3435,3497,2318,2551
orf19.7091,697,615,2686,2872,392,419,587,684
orf19.7092,1477,1578,1261,1101,1671,1571,674,802
orf19.7093,537,437,334,236,242,230,160,217
orf19.7094,62,18,72,38,151,168,69,153
orf19.7095,1869,2201,2969,2667,1480,1443,775,1242
orf19.7096,2593,2348,3307,3101,1369,1533,1705,2074
orf19.7097,911,741,929,993,1043,1002,574,627
orf19.7098,330,478,2351,2507,472,411,1339,1670
orf19.71,1704,1545,1512,1399,1462,1431,751,746
orf19.7100,334,422,916,1009,602,675,802,908
orf19.7101,527,595,694,642,666,672,453,515
orf19.7102,39,53,89,72,70,89,58,75
orf19.7103,512,648,1185,1175,633,634,640,907
orf19.7104,563,695,3707,3709,524,546,2417,3087
orf19.7105,8,7,270,198,8,5,148,205
orf19.7106,1362,1666,1393,1143,2100,2069,965,1045
orf19.7107,239,211,592,810,209,188,353,416
orf19.7108,4949,4705,2759,2828,5035,5149,1757,1828
orf19.7109,593,679,504,544,628,604,257,291
orf19.711,146,112,195,160,33,46,106,102
orf19.7110,634,603,690,640,482,500,496,595
orf19.7111,923,914,1024,1085,990,911,817,947
orf19.7111.1,170,163,557,629,107,90,222,272
orf19.7112,506,512,652,665,376,375,1136,1468
orf19.7114,880,1092,2750,2457,1164,1358,1703,2218
orf19.7115,884,945,3121,2872,840,892,1535,2280
orf19.7116,1465,1513,1655,1635,1998,2003,1080,1221
orf19.7118,943,803,2057,1871,945,861,1386,1339
orf19.7119,2702,3103,6505,4953,2605,2828,2525,3909
orf19.712,220,283,520,598,410,318,447,432
orf19.7121,505,588,606,427,523,471,163,273
orf19.7123,1899,1701,2731,2720,1426,1194,1097,1338
orf19.7124,12520,10708,9955,8334,8818,9672,5029,6540
orf19.7125,524,874,636,427,1088,1176,318,545
orf19.7127,1545,1681,725,715,1859,1902,417,604
orf19.7127.1,51,71,110,102,100,108,63,64
