,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24
orf19.149,-1.241702963,-0.415915508,-1.254418422,-2.747619203,-1.522396989,-2.0711879,-1.662570956,-3.155674075,-0.998150148,-1.040619587,-1.920974538,-1.470252338,-0.849912224,-1.270578636,-1.170611113,-5.708308745,-3.576866392,-2.774004631,-0.802857715,-2.041740043,-1.900850135,-2.174386262,-2.617052194,-3.368129056
orf19.1490,8.175938418,8.310092612,8.160098878,8.103980312,7.892046947,8.042254053,8.19480548,8.196883966,8.084453825,7.826998878,7.658070937,7.829610929,6.590382417,6.673694813,6.650851742,6.743395125,6.643044513,6.776348491,6.848862137,7.042869249,6.800649947,6.665729748,6.708955972,6.494685009
orf19.1490.1,-0.678656675,-0.982587762,-2.190046716,-0.893766618,-0.562584802,-0.565677363,-0.706923106,-0.576170682,-0.431677536,-0.218073553,-0.974188828,-2.395756594,-1.700985733,-1.822633839,-1.969753213,-1.42312326,-2.230028125,-2.774004631,-1.15173927,-1.283916971,-2.801321374,-1.23804743,-1.149603774,-1.042578188
orf19.1491,4.599552773,4.869665523,4.745321306,4.887853775,4.936136164,5.153002334,5.016355025,5.087302645,4.808759295,4.981296417,5.010334011,5.081366622,4.142067501,4.257655402,4.069292654,4.365202932,4.215769977,4.382591565,4.337175824,4.31298805,4.246362653,4.315124403,4.170198401,4.544471514
orf19.1492,3.969410594,3.07363651,3.448916344,3.548245202,2.923279841,3.365199824,3.250220735,3.805531585,3.363374892,4.112520702,3.830480537,4.347368715,2.76941166,2.310694298,2.622827321,2.86926985,2.561852632,3.049420771,2.710400546,3.081591856,2.926613688,2.776201218,2.761544303,2.947408166
orf19.1493,3.950697058,3.691888014,3.93739301,3.770300626,3.824289769,3.551752584,3.379255165,3.588261372,3.591800289,3.93008268,3.630999056,3.784115989,5.633212557,5.507362381,5.521386187,5.444064649,5.488783748,5.410227525,5.705005236,5.918531001,5.79848237,5.354238245,5.432338475,5.623368792
orf19.1494,7.111683285,7.498230646,7.083547899,7.443283543,7.612962572,7.290914868,7.141320469,7.168321075,7.028901067,7.505249503,7.45553874,7.454167147,7.465954836,7.53537103,7.366803878,7.673978782,7.763320364,7.705965026,7.525302267,7.482581251,7.588575755,7.786912386,7.657316621,7.727169973
orf19.1495,1.096800307,1.495214207,0.78180504,0.876494954,0.994950103,1.278779753,1.578514625,0.98110221,0.899125376,0.842936723,0.793917096,1.368809513,1.453541235,0.4190181,1.068620517,2.018703661,1.308488613,1.081210961,0.900011633,1.24393901,1.701193198,0.798764455,1.214817803,1.645246396
orf19.1496,4.068208888,3.940908526,3.757060886,3.926212406,3.879079018,3.939013876,3.854089323,4.052135864,4.020603826,3.93008268,3.891282628,3.895992953,4.175351892,4.507968879,4.352211937,4.000891579,4.133099765,4.05879576,3.974368013,3.981223509,3.749183639,4.063325726,4.07488363,4.030405014
orf19.1497,1.82859614,1.923320388,1.641272178,1.706367939,1.345574134,1.723202904,2.061299337,2.135620043,1.726605037,1.872500842,2.146728346,1.98175977,2.501948403,2.524051756,2.759923539,2.659096656,2.394484809,2.368917812,2.232070817,2.599371798,2.372620034,2.630552101,2.017068886,2.604416537
orf19.1499,6.986361965,7.017326253,6.959195522,7.066861831,6.998681112,6.916683559,6.972051539,6.96189971,6.90008108,7.041232137,7.031465502,7.073451475,5.190955295,5.118756597,5.220594506,5.413255413,4.851233444,6.171303951,5.403076553,5.595382267,5.643846302,6.098766747,6.197610077,5.630176688
orf19.150,7.451569408,7.677927546,7.248240094,7.427056875,7.535775813,7.452845794,7.560347031,7.413316064,7.419520656,7.447752093,7.443408013,7.390938396,5.288486252,5.226787239,5.122286037,5.344574249,5.31919526,5.738478543,5.02895197,4.985453462,5.285272025,5.914977961,5.900310226,5.543880172
orf19.1500,4.006124828,4.355496786,4.337779692,4.15361477,4.098127549,3.821111513,4.57640174,4.370488586,4.551692797,4.048816888,4.142047349,4.111003997,4.735463373,4.784663649,4.718554733,4.78731799,4.657801116,4.738995281,4.855728256,4.930941201,5.037477178,4.573028732,4.596339197,4.799277019
orf19.1502,0.876556498,1.144293608,1.150121635,0.975028298,1.281937251,1.06907017,1.317326825,0.98110221,1.128257284,1.052341561,-0.407409731,0.858808113,2.063863048,2.329729937,2.395641973,2.675167782,2.446764789,2.795879277,2.597534049,2.531205834,2.803555266,2.127943539,2.337632902,2.227265454
orf19.1504,5.657854504,5.686880405,5.747494959,5.522237547,5.559891158,5.66645508,5.768770069,5.549741883,5.658153952,5.459753541,5.475004891,5.568120457,6.405688398,6.412017502,6.357029411,6.248129417,6.379505074,6.098260378,6.456330552,6.459540455,6.44993918,6.139722994,6.154552747,6.20054151
orf19.1505,4.49364884,4.248685265,4.454249339,4.322198071,4.280139711,4.363860308,5.266698654,5.16796287,5.16559123,4.635935844,4.487489078,4.931879297,3.989489691,3.89194417,3.910691631,3.948960188,3.852189078,3.557443186,4.018880166,4.225104409,4.010763698,3.592459148,3.527204079,3.742797268
orf19.1506,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-3.082619412,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745,-5.708308745
orf19.1507,1.744177987,1.295047813,1.150121635,0.656605315,0.826754687,1.403362625,1.578514625,1.752873617,1.41546698,1.67566923,1.503883,1.816601528,3.499510717,3.586396696,3.47497348,3.321302591,3.041417403,3.027105035,3.210061587,3.681280255,3.243087408,3.327460056,3.136758602,3.393912905
orf19.1508,-0.108492158,-0.010110829,-0.945716652,-0.108553067,0.41689354,-0.160886223,-0.490979496,0.403112094,-0.025974611,-0.069283621,0.314842307,-1.163696376,0.419812231,0.102240275,0.424041872,0.111645811,0.591370422,0.846498715,0.639931544,0.186308497,0.405543472,0.91946832,0.543861074,0.041963877
orf19.1509,7.275724601,7.015969899,7.18122492,6.216793833,6.173439385,6.271812221,7.534409465,7.600711937,7.653725007,6.456374382,6.21172231,6.40716984,6.496716183,6.475356918,6.524050618,5.79786965,6.002548971,5.797351559,6.421523456,6.431765942,6.418829937,5.860733895,5.765630344,5.804811546
orf19.151,4.714942438,4.875660347,4.734522287,4.655039932,4.682552891,4.831268107,4.877613436,4.705079382,4.585842368,4.709880934,4.658152421,4.827206533,4.819974221,4.825469429,4.7990881,4.627188289,4.661492804,4.728660771,4.676305128,4.683348598,4.640807551,4.630157396,4.638617033,4.5588151
orf19.1510,4.519275844,4.649431221,4.286947508,4.009941529,4.178959659,3.95945264,4.064884491,3.977370448,3.94744339,3.647835425,3.938144168,3.76610726,5.731592768,5.821624882,5.820462836,5.722542562,5.794708274,5.752148604,5.316572481,5.433019814,5.437894174,5.605811858,5.707234616,5.595811331
orf19.1513,4.742403351,4.635366815,4.712678677,3.901369303,3.743911614,4.009317533,4.307605669,4.350878053,4.600234019,3.848246854,3.779923734,3.810714475,6.404285315,6.480689218,6.430763738,6.1393815,6.092808898,5.966671895,6.265174577,6.38425275,6.30434014,5.827694932,5.910698516,5.90177128
