Gene,Mac1.BCS.R1,Mac1.BCS.R2,Mac1.R1,Mac1.R2,WT.BCS.R1,WT.BCS.R2,WT.Copper.R1,WT.Copper.R2,WT.R1,WT.R2
C2_10630W_A,847,1047,776,971,863,1185,916,962,631,813
C2_10640C_A,3115,1730,2357,2643,1951,3749,3706,2527,2477,3081
C2_10650W_A,359,438,228,338,249,894,433,113,243,491
C2_10660W_A,7592,4778,5680,5535,4202,6477,7982,4182,4105,5256
C2_10670W_A,10913,9327,7711,11246,12941,17265,12132,19988,10657,11679
C2_10680W_A,2442,2342,1961,3092,2596,4373,2742,2194,2598,3181
C2_10690W_A,9140,22684,7490,23817,8992,33560,7719,10272,13469,46550
C2_10700C_A,3143,2228,2353,2657,3065,3789,3508,3078,2892,2449
C2_10710W_A,51235,31332,37330,39405,43238,53106,53491,22736,39640,32311
C2_10720C_A,3432,3626,3213,3309,3646,5104,3707,2812,2878,3476
C2_10730W_A,34,43,18,43,34,40,67,56,35,18
C2_10740C_A,11493,4383,8288,6983,4254,8009,15515,13698,4317,4012
C2_10750C_A,5697,4423,4479,5001,6317,8884,7011,9734,4922,5583
C2_10760C_A,4411,2813,3399,3345,2802,5126,5845,4403,2371,3476
C2_10770W_A,3393,1845,2611,2490,2487,3344,4361,2301,2522,2220
C2_10780C_A,137,50,94,77,83,131,220,118,105,118
C2_10790C_A,1904,1428,1536,1673,1305,2673,1849,1173,1288,1509
C2_10800W_A,433,237,373,228,447,386,498,131,325,174
C2_10810W_A,2851,1377,2105,2091,2005,2803,3809,2372,1928,1973
C2_10820C_A,4874,2644,3410,3717,3020,4826,7198,4297,2695,3594
C2_10830W_A,1893,1550,1515,1797,1706,2425,1963,1514,1735,1673
C2_10840W_A,1776,1544,1459,2023,1722,2339,2227,2220,1357,1794
C2_10850C_A,6359,3765,4461,4986,4125,7753,9039,9606,3988,5765
C2_10860C_A,16475,13068,12216,16458,14443,21744,18285,15956,12108,15714
C2_10870W_A,1741,2140,1432,2052,2660,3669,1621,1876,2201,2362
