gene_name,SC5314_count,JL01_count
CAALFM_C114190CA,403,94
CAALFM_C114200WA,1418,775
IML2,1966,1349
FTR2,4351,535
IRR 1,110,288
CAALFM_C114240WA,656,1307
RPS21,104764,62901
CAALFM_C114250CA,376,284
TIF35,6183,3680
CAALFM_C114270WA,227,76
NPL3,6977,5570
MDG1,6357,1419
NCR1,875,599
CAALFM_C114310WA,1319,728
CAALFM_C114320CA,2584,1793
CAALFM_C114330WA,560,254
RIM101,3115,2173
CAALFM_C101490WA,4047,3995
CAALFM_C114350WA,553,250
WSC4,1137,575
CAALFM_C114380CA,555,360
RPC10,1260,1006
MLH3,1116,485
CAALFM_C114410WA,1168,1133
DDI1,7839,4240
CAALFM_C114430CA,1988,1052
GDI1,16987,12004
CAALFM_C114450CA,8497,4552
CAALFM_C101510WA,9,20
CAALFM_C114460WA,7314,6237
CAALFM_C114470WA,4277,3543
CAALFM_C114480WA,718,536
SAM35,1239,772
CAALFM_C114500CA,15248,6848
CAALFM_C114520WA,2390,703
CAALFM_C114530WA,568,126
CAALFM_C114550CA,23,13
CAALFM_C114560CA,445,303
FGR24,551,208
LEU4,1655,3006
SOD2,4417,3115
CAALFM_C114580CA,572,232
TLO4,736,371
CAALFM_C114630CA,0,0
TLO5,2505,753
RRN3,2597,1176
tV(CAC)1,0,0
CAALFM_C200050CA,0,5
CAALFM_C200060CA,4643,4059
MPP10,946,796
FAV3,931,170
CAALFM_C101530CA,4226,3050
CAALFM_C200090WA,606,105
PGA52,10260,5758
CAALFM_C200110WA,630,112
EMC9,1042,686
NDT80,1125,848
LEU5,1333,634
NAT2,2192,1132
CAALFM_C200170CA,1943,724
CAALFM_C200180CA,180,214
CAALFM_C200190CA,1160,1222
CAALFM_C101540WA,269,379
CAALFM_C200200WA,309,218
RPL38,18648,15173
CAALFM_C200220CA,339,378
CAALFM_C200230WA,393,204
SOD6,603,467
STF2,12043,9117
MUQ1,1635,1481
CAALFM_C200270CA,659,460
CAALFM_C200280CA,221,124
CAALFM_C200290WA,452,294
VPS17,99,300
CKB1,334,270
CAALFM_C200310WA,0,0
CAALFM_C200320WA,2086,1066
HIR1,465,540
ARO8,10998,5665
CAALFM_C200350WA,192,335
CAALFM_C200360CA,1284,1303
PDR6,358,239
RFA1,1409,1733
CAALFM_C200390CA,1754,1058
SIZ1,257,420
CAALFM_C200400CA,1313,1366
CAALFM_C200410CA,453,567
CAALFM_C200420WA,254,411
DPB4,93,237
SAS2,278,202
CDH1,180,278
SAP30,11,9
POM152,263,317
PHHB,1332,1324
CAALFM_C200490WA,275,432
