,WT air-1,WT air-2,WT CO2-1,WT CO2-2,sfl2 air-1,sfl2 air-2,sfl2 CO2-1,sfl2 CO2-2
VPS17,985.858,918.725,999.973,953.457,957.411,899.932,926.047,999.396
SIZ1,2942.74,2821.77,3009.3,3396.47,1847.06,1705.5,1892.95,1745.05
RPB7,853.558,794.356,862.601,870.063,718.503,678.065,679.383,763.264
orf19.3348,2294.32,2440.63,2462.79,2375.15,2878.32,2580.48,2565.17,2709.3
orf19.3349,7362.4,7072.45,7464.4,7617.17,5649.4,5090.46,5148.25,5323.03
orf19.335,464.563,473.288,474.014,480.39,706.442,773.071,1059.41,1170.14
MRP20,2190.26,2305.04,2103.37,2068.98,2505.28,2616.49,2727.39,2775.33
orf19.3351,216.796,275.019,234.402,196.898,844.284,813.678,831.752,1018.66
orf19.3352,159.81,184.199,131.265,109.273,266.208,222.191,240.204,234.029
orf19.3353,649.15,704.815,726.126,670.073,1121.69,1045.06,1063.89,1154.61
orf19.3354,2549.52,2709.25,2685.73,2912.24,2351.07,2124.6,2111.65,2114.03
ISN1,1728.18,1829.19,1350.16,1287.57,2014.22,1832.69,1867.86,1919.81
ESP1,586.128,608.931,725.585,800.392,681.878,644.141,815.431,825.616
orf19.3357,1657.85,1892.5,1793.18,1596.07,2455.91,2530.61,2606.53,2771.68
LSC1,8416.3,8659.51,7922.7,7724.05,6279.7,5683.29,5310.51,5548.27
ARP8,2878.39,2837.17,3101.46,2921.52,3375.17,3527.67,3597.23,3542.89
YAH1,930.179,1042.96,1169.37,1232.17,1153.14,1003.52,1039.22,1108.09
orf19.3360,462.086,488.638,538.605,504.101,908.898,1027.44,1096.16,1124.5
orf19.3362,370.412,370.955,308.369,302.048,247.255,228.32,207.938,207.81
VTC4,2442.85,2431.43,1918.93,1904.4,2368.17,1997.02,1902.96,1965.62
orf19.3364,297.321,330.022,347.957,345.345,798.624,898.723,1041.48,1028.37
DAO2,605.791,592.25,699.04,628.837,521.216,512.571,574.518,523.409
CSH3,3078.51,3036.72,2386.74,2542.15,2738.75,2169.81,2179.76,2079.07
