,WTCA14,CA14 ^GDT1,CA14 ^PMR1,CA14 ^GDT1^PMR1
CAWG_01061,594,297,204,254
CAWG_01062,8223,7518,7553,7881
CAWG_01063,405,516,634,763
CAWG_01064,256,249,306,269
CAWG_01065,5755,5653,8658,7201
CAWG_01067,37,65,54,58
CAWG_01068,354,359,415,368
CAWG_01069,731,607,582,564
CAWG_01071,1307,1728,1210,1308
CAWG_01076,230,274,326,249
CAWG_01082,4737,2960,3621,5990
CAWG_01085,250,202,87,165
CAWG_01088,1314,1754,1375,1205
CAWG_01090,196,213,240,175
CAWG_01091,209,139,147,169
CAWG_01093,86,65,37,33
CAWG_01094,181,229,112,128
CAWG_01095,96,84,49,60
CAWG_01096,522,482,356,367
CAWG_01098,219,284,241,252
CAWG_01108,1283,1192,1234,1406
CAWG_01109,37,47,45,46
CAWG_01113,264,193,221,151
CAWG_01114,0,0,0,2
CAWG_01115,87,117,94,134
CAWG_01116,3,7,16,9
CAWG_01117,187,158,151,128
CAWG_01119,281,235,201,240
CAWG_01120,10,15,23,33
CAWG_01121,434,303,260,341
CAWG_01124,5022,4607,2030,2559
CAWG_01126,59,78,53,56
CAWG_01128,3127,2675,1360,1726
CAWG_01132,137,99,42,58
CAWG_01136,21,10,12,11
CAWG_01137,99,143,100,108
CAWG_01138,264,196,176,333
CAWG_01139,1029,1040,918,1491
CAWG_01143,129,182,148,216
CAWG_01144,24,49,68,85
CAWG_01146,14,14,14,18
CAWG_01147,152,232,202,469
CAWG_01148,2,6,12,8
CAWG_01150,648,415,544,914
CAWG_01151,775,795,789,691
CAWG_01152,39,43,36,39
CAWG_01154,168,128,75,104
CAWG_01155,60,110,30,53
CAWG_01156,90,162,156,99
CAWG_01157,307,389,242,347
CAWG_01161,1068,991,623,491
CAWG_01163,221,228,177,141
CAWG_01166,531,375,224,155
CAWG_01169,2,0,2,0
CAWG_01170,2170,2001,2171,754
CAWG_01171,8762,2628,1601,1482
CAWG_01172,3389,11339,7887,3460
CAWG_01174,32,16,8,19
CAWG_01177,1052,1029,1058,1087
CAWG_01178,640,1141,735,743
CAWG_01179,82,80,96,103
CAWG_01181,58,52,125,102
CAWG_01185,190,232,256,298
CAWG_01186,7,5,4,4
CAWG_01190,263,200,185,170
CAWG_01191,1241,1621,1150,962
CAWG_01192,219,251,155,160
CAWG_01193,3578,2920,1424,2313
CAWG_01195,193,224,246,170
CAWG_01196,566,603,838,828
CAWG_01197,1782,1803,1957,1661
CAWG_01198,132,120,71,69
CAWG_01199,2690,2021,2284,1644
CAWG_01202,536,519,413,396
CAWG_01209,4232,3751,5590,5383
CAWG_01210,57,51,34,40
CAWG_01211,176,247,97,221
CAWG_01215,73,106,157,61
CAWG_01216,35,29,10,12
CAWG_01218,1827,2034,2147,2393
CAWG_01220,111,142,145,165
CAWG_01224,2671,2232,2027,2009
CAWG_01225,2751,2386,2123,1588
CAWG_01230,3573,1813,2182,4601
CAWG_01234,0,0,0,0
CAWG_01235,434,664,460,688
CAWG_01236,786,733,1069,1144
CAWG_01237,258,245,145,193
CAWG_01238,100,73,77,76
CAWG_01239,2504,1364,2031,3176
CAWG_01240,8514,6085,7350,8276
CAWG_01241,6313,4601,4784,6614
CAWG_01242,77,119,107,83
